Setting,Seed,Modes,High-Quality Samples,Reverse KL
alpha-1.0_dlayers-0_glayers-4_dwidth-50_gwidth-400_dlr-0.0001_glr-0.0001_,4,4,0.208,0.9315008143449328
alpha-1.0_dlayers-0_glayers-4_dwidth-50_gwidth-400_dlr-0.0001_glr-0.0001_,5,2,0.256,0.7754440228385673
alpha-0.9_dlayers-0_glayers-4_dwidth-50_gwidth-400_dlr-0.0001_glr-0.0001_,17,5,0.176,0.35998988306946145
alpha-1.0_dlayers-0_glayers-4_dwidth-50_gwidth-400_dlr-0.0001_glr-0.0001_,11,6,0.1915,0.6974997238440557
alpha-1.0_dlayers-0_glayers-4_dwidth-50_gwidth-400_dlr-0.0001_glr-0.0001_,13,5,0.234,0.7039476298222689
alpha-1.0_dlayers-0_glayers-4_dwidth-50_gwidth-400_dlr-0.0001_glr-0.0001_,9,6,0.147,0.7643284660322022
alpha-1.0_dlayers-0_glayers-4_dwidth-50_gwidth-400_dlr-0.0001_glr-0.0001_,7,3,0.309,0.7695068155572318
alpha-1.0_dlayers-0_glayers-4_dwidth-50_gwidth-400_dlr-0.0001_glr-0.0001_,12,5,0.142,0.7576741573615586
alpha-1.0_dlayers-0_glayers-4_dwidth-50_gwidth-400_dlr-0.0001_glr-0.0001_,6,8,0.2895,0.41095149012073035
alpha-1.0_dlayers-0_glayers-4_dwidth-50_gwidth-400_dlr-0.0001_glr-0.0001_,8,7,0.1485,0.5860731797092436
alpha-1.0_dlayers-0_glayers-4_dwidth-50_gwidth-400_dlr-0.0001_glr-0.0001_,14,6,0.1465,0.44469431448294844
alpha-0.9_dlayers-0_glayers-4_dwidth-50_gwidth-400_dlr-0.0001_glr-0.0001_,18,7,0.2635,0.6590249850488249
alpha-0.9_dlayers-0_glayers-4_dwidth-50_gwidth-400_dlr-0.0001_glr-0.0001_,19,3,0.1735,0.6774868837296351
alpha-1.0_dlayers-0_glayers-4_dwidth-50_gwidth-400_dlr-0.0001_glr-0.0001_,10,3,0.2095,0.7698220698400186
alpha-1.0_dlayers-0_glayers-4_dwidth-50_gwidth-400_dlr-0.0001_glr-0.0001_,15,2,0.029,0.7337181728565183
alpha-0.9_dlayers-0_glayers-4_dwidth-50_gwidth-400_dlr-0.0001_glr-0.0001_,20,6,0.2255,0.4742315610161783
alpha-1.0_dlayers-0_glayers-4_dwidth-50_gwidth-400_dlr-0.0001_glr-0.0001_,16,3,0.124,0.5905896039548294
alpha-1.0_dlayers-0_glayers-4_dwidth-50_gwidth-400_dlr-0.0001_glr-0.0001_,18,10,0.238,0.46790244286049076
alpha-1.0_dlayers-0_glayers-4_dwidth-50_gwidth-400_dlr-0.0001_glr-0.0001_,19,5,0.1375,0.5547577712291193
alpha-1.0_dlayers-0_glayers-4_dwidth-50_gwidth-400_dlr-0.0001_glr-0.0001_,17,2,0.1335,0.6215875006942483
alpha-1.0_dlayers-0_glayers-4_dwidth-50_gwidth-400_dlr-0.0001_glr-0.0001_,20,4,0.3255,0.7313095971711149
alpha-1.1_dlayers-0_glayers-4_dwidth-50_gwidth-400_dlr-0.0001_glr-0.0001_,4,5,0.1625,0.6185734446476578
alpha-1.1_dlayers-0_glayers-4_dwidth-50_gwidth-400_dlr-0.0001_glr-0.0001_,7,11,0.2415,0.2874384761478998
alpha-1.1_dlayers-0_glayers-4_dwidth-50_gwidth-400_dlr-0.0001_glr-0.0001_,5,3,0.0765,0.5547763163329202
alpha-1.1_dlayers-0_glayers-4_dwidth-50_gwidth-400_dlr-0.0001_glr-0.0001_,6,4,0.1615,0.5262490392904743
alpha-1.1_dlayers-0_glayers-4_dwidth-50_gwidth-400_dlr-0.0001_glr-0.0001_,1,7,0.179,0.5853217272887596
alpha-1.1_dlayers-0_glayers-4_dwidth-50_gwidth-400_dlr-0.0001_glr-0.0001_,8,8,0.361,0.8779867655605867
alpha-1.1_dlayers-0_glayers-4_dwidth-50_gwidth-400_dlr-0.0001_glr-0.0001_,3,6,0.1835,0.4445958903581882
alpha-1.1_dlayers-0_glayers-4_dwidth-50_gwidth-400_dlr-0.0001_glr-0.0001_,13,7,0.174,0.4359810258815652
alpha-1.1_dlayers-0_glayers-4_dwidth-50_gwidth-400_dlr-0.0001_glr-0.0001_,9,5,0.236,0.7265835107339764
alpha-1.1_dlayers-0_glayers-4_dwidth-50_gwidth-400_dlr-0.0001_glr-0.0001_,16,6,0.18,0.6087135725589093
alpha-1.1_dlayers-0_glayers-4_dwidth-50_gwidth-400_dlr-0.0001_glr-0.0001_,10,4,0.088,0.35586172948589995
alpha-1.1_dlayers-0_glayers-4_dwidth-50_gwidth-400_dlr-0.0001_glr-0.0001_,14,5,0.0955,0.5439242547787023
alpha-1.1_dlayers-0_glayers-4_dwidth-50_gwidth-400_dlr-0.0001_glr-0.0001_,2,8,0.181,0.4894262199516239
alpha-1.1_dlayers-0_glayers-4_dwidth-50_gwidth-400_dlr-0.0001_glr-0.0001_,12,5,0.3115,0.6597519539937436
alpha-1.1_dlayers-0_glayers-4_dwidth-50_gwidth-400_dlr-0.0001_glr-0.0001_,19,7,0.2935,0.5555474660112821
alpha-1.1_dlayers-0_glayers-4_dwidth-50_gwidth-400_dlr-0.0001_glr-0.0001_,17,9,0.1425,0.5937222778950506
alpha-1.1_dlayers-0_glayers-4_dwidth-50_gwidth-400_dlr-0.0001_glr-0.0001_,18,10,0.2945,0.37496444989554784
alpha-1.1_dlayers-0_glayers-4_dwidth-50_gwidth-400_dlr-0.0001_glr-0.0001_,11,5,0.247,0.7615564202794081
alpha-1.1_dlayers-0_glayers-4_dwidth-50_gwidth-400_dlr-0.0001_glr-0.0001_,20,8,0.3375,0.6931732659324751
alpha-1.1_dlayers-0_glayers-4_dwidth-50_gwidth-400_dlr-0.0001_glr-0.0001_,15,7,0.177,0.35837644114434053
alpha-1.2_dlayers-0_glayers-4_dwidth-50_gwidth-400_dlr-0.0001_glr-0.0001_,1,7,0.191,0.43781783794156764
alpha-1.2_dlayers-0_glayers-4_dwidth-50_gwidth-400_dlr-0.0001_glr-0.0001_,2,4,0.0515,0.8185833811325026
alpha-1.2_dlayers-0_glayers-4_dwidth-50_gwidth-400_dlr-0.0001_glr-0.0001_,3,4,0.214,0.8230439242844838
alpha-1.2_dlayers-0_glayers-4_dwidth-50_gwidth-400_dlr-0.0001_glr-0.0001_,4,6,0.267,0.5941177936870214
alpha-1.2_dlayers-0_glayers-4_dwidth-50_gwidth-400_dlr-0.0001_glr-0.0001_,10,5,0.1295,0.5227207965619036
alpha-1.2_dlayers-0_glayers-4_dwidth-50_gwidth-400_dlr-0.0001_glr-0.0001_,8,4,0.2265,0.46819295610664136
alpha-1.2_dlayers-0_glayers-4_dwidth-50_gwidth-400_dlr-0.0001_glr-0.0001_,7,5,0.107,0.49023434283889655
alpha-1.2_dlayers-0_glayers-4_dwidth-50_gwidth-400_dlr-0.0001_glr-0.0001_,6,5,0.156,0.5046630567000349
alpha-1.2_dlayers-0_glayers-4_dwidth-50_gwidth-400_dlr-0.0001_glr-0.0001_,12,8,0.274,0.4748302047046243
alpha-1.2_dlayers-0_glayers-4_dwidth-50_gwidth-400_dlr-0.0001_glr-0.0001_,5,2,0.073,0.5064232748871287
alpha-1.2_dlayers-0_glayers-4_dwidth-50_gwidth-400_dlr-0.0001_glr-0.0001_,9,6,0.2115,0.5484688334497394
alpha-1.2_dlayers-0_glayers-4_dwidth-50_gwidth-400_dlr-0.0001_glr-0.0001_,11,5,0.2995,0.6610162425043395
alpha-1.2_dlayers-0_glayers-4_dwidth-50_gwidth-400_dlr-0.0001_glr-0.0001_,15,4,0.129,0.7237991287044359
alpha-1.2_dlayers-0_glayers-4_dwidth-50_gwidth-400_dlr-0.0001_glr-0.0001_,17,12,0.2165,0.4014879037741317
alpha-1.2_dlayers-0_glayers-4_dwidth-50_gwidth-400_dlr-0.0001_glr-0.0001_,16,5,0.1655,0.6540876579178644
alpha-1.2_dlayers-0_glayers-4_dwidth-50_gwidth-400_dlr-0.0001_glr-0.0001_,19,5,0.156,0.8635555847588355
alpha-1.5_dlayers-0_glayers-4_dwidth-50_gwidth-400_dlr-0.0001_glr-0.0001_,1,4,0.0465,0.6708851918542501
alpha-1.5_dlayers-0_glayers-4_dwidth-50_gwidth-400_dlr-0.0001_glr-0.0001_,2,7,0.25,0.5167477349001035
alpha-1.2_dlayers-0_glayers-4_dwidth-50_gwidth-400_dlr-0.0001_glr-0.0001_,14,4,0.244,0.6790841102524716
alpha-1.5_dlayers-0_glayers-4_dwidth-50_gwidth-400_dlr-0.0001_glr-0.0001_,3,3,0.0315,0.7338986583194657
alpha-1.2_dlayers-0_glayers-4_dwidth-50_gwidth-400_dlr-0.0001_glr-0.0001_,13,10,0.2705,0.4445330718806779
alpha-1.2_dlayers-0_glayers-4_dwidth-50_gwidth-400_dlr-0.0001_glr-0.0001_,18,7,0.2315,0.2824499934742364
alpha-1.5_dlayers-0_glayers-4_dwidth-50_gwidth-400_dlr-0.0001_glr-0.0001_,6,3,0.0445,0.6532646905836176
alpha-1.5_dlayers-0_glayers-4_dwidth-50_gwidth-400_dlr-0.0001_glr-0.0001_,11,4,0.135,0.6328788681980013
alpha-1.5_dlayers-0_glayers-4_dwidth-50_gwidth-400_dlr-0.0001_glr-0.0001_,10,4,0.057,0.5513198009255914
alpha-1.5_dlayers-0_glayers-4_dwidth-50_gwidth-400_dlr-0.0001_glr-0.0001_,7,4,0.099,0.6283858170867338
alpha-1.5_dlayers-0_glayers-4_dwidth-50_gwidth-400_dlr-0.0001_glr-0.0001_,4,5,0.2565,0.5528197263818615
alpha-1.5_dlayers-0_glayers-4_dwidth-50_gwidth-400_dlr-0.0001_glr-0.0001_,5,7,0.327,0.7512546705496043
alpha-1.5_dlayers-0_glayers-4_dwidth-50_gwidth-400_dlr-0.0001_glr-0.0001_,8,5,0.24,0.7243058719568248
alpha-1.5_dlayers-0_glayers-4_dwidth-50_gwidth-400_dlr-0.0001_glr-0.0001_,9,6,0.119,0.3983156519025532
alpha-1.5_dlayers-0_glayers-4_dwidth-50_gwidth-400_dlr-0.0001_glr-0.0001_,12,2,0.0665,0.7372665133626357
alpha-1.2_dlayers-0_glayers-4_dwidth-50_gwidth-400_dlr-0.0001_glr-0.0001_,20,7,0.1715,0.5887767563417085
