Setting,Seed,Modes,Major-Modes,Minor-Modes,HQS,Real-KL,Real-RKL,Real-JSD,Real-TVD,Uniform-KL,Uniform-RKL,Uniform-JSD,Uniform-TVD
-major_weight-10-dataset-lattice-d_layers-2-g_layers-2-d_alpha-1.2-g_alpha-2,1,23,16,7,0.7716,0.03445460399057652,0.01920981434694719,0.005643816641741387,0.04730346576500423,0.7391008302084857,0.3236372287520397,0.09820502453603144,0.32215784215784216
-major_weight-10-dataset-lattice-d_layers-2-g_layers-2-d_alpha-1.5-g_alpha-1,1,22,16,6,0.759,0.031481411056048576,0.012712170204503844,0.003776800770915062,0.04347652347652349,0.7119836906563951,0.3150233225860653,0.09458544413097006,0.3212387612387612
-major_weight-10-dataset-lattice-d_layers-2-g_layers-2-d_alpha-2-g_alpha-1,1,24,16,8,0.6696,0.016184697883183476,0.011098339187802345,0.0031431862240659334,0.04534542380696227,0.594960426047495,0.30678467132178855,0.09174166941695672,0.31836163836163833
-major_weight-10-dataset-lattice-d_layers-2-g_layers-2-d_alpha-1.5-g_alpha-0.5,1,22,16,6,0.67764,0.05466448824985575,0.05007237923512321,0.012538210677851939,0.09217244294167372,0.5841257484739885,0.3375696974519678,0.09614458530596086,0.3313086913086913
-major_weight-10-dataset-lattice-d_layers-2-g_layers-2-d_alpha-1.5-g_alpha-1.2,1,24,16,8,0.7816,0.03526249808927963,0.014614345920447802,0.004392013049965093,0.0449827095980942,0.7507484453275999,0.3193177945025226,0.09650152049819258,0.3222777222777223
-major_weight-10-dataset-lattice-d_layers-2-g_layers-2-d_alpha-1.5-g_alpha-0.8,1,0,0,0,0.0,6.578482799606761,2.81747033096035,0.5755152529645697,0.939869361407823,6.5036879351932075,3.2082044313685767,0.6046010598822593,0.9590409590409589
-major_weight-10-dataset-lattice-d_layers-2-g_layers-2-d_alpha-1.5-g_alpha-1.5,1,23,16,7,0.7156,0.021807734205796958,0.012354280110831005,0.0035173367271548834,0.03967417198186429,0.5960105051354588,0.29479097174966673,0.0878641010634235,0.3126073926073926
-major_weight-10-dataset-lattice-d_layers-2-g_layers-2-d_alpha-1.5-g_alpha-2,1,24,16,8,0.70652,0.08027100797270592,0.07277622732511246,0.018426139530168747,0.117002997002997,0.522744071516603,0.34757597340077107,0.09626099645658376,0.34681318681318685
-major_weight-10-dataset-lattice-d_layers-2-g_layers-2-d_alpha-2-g_alpha-0.5,1,0,0,0,0.0,6.0640482043673165,2.148282596231168,0.5022005924914732,0.880737723814647,6.1559301488113425,2.5390166966393943,0.5478196422090895,0.919080919080919
-major_weight-10-dataset-lattice-d_layers-2-g_layers-2-d_alpha-2-g_alpha-0.8,1,0,0,0,0.0,6.578482799606761,2.81747033096035,0.5755152529645697,0.939869361407823,6.5036879351932075,3.2082044313685767,0.6046010598822593,0.9590409590409589
-major_weight-10-dataset-lattice-d_layers-2-g_layers-2-d_alpha-2-g_alpha-1.2,1,22,16,6,0.69852,0.0608412089746873,0.022255895040024124,0.006918503310214339,0.044109736417428734,0.9173708608860435,0.32511911577555025,0.09935188213048354,0.32147852147852146
-major_weight-10-dataset-lattice-d_layers-2-g_layers-2-d_alpha-2-g_alpha-1.5,1,24,16,8,0.7834,0.017814584365754966,0.010558340549671103,0.0030215685243623162,0.04090678552217014,0.5665112184387159,0.2881184283951528,0.085805483101809,0.31048951048951046
-major_weight-10-dataset-lattice-d_layers-2-g_layers-2-d_alpha-2-g_alpha-2,1,24,16,8,0.7994,0.012579585544704617,0.00969539184864464,0.0026636678212930576,0.040916007069853225,0.5733867407704907,0.30556574676728576,0.09124792168589149,0.3184415584415584
-major_weight-10-dataset-lattice-d_layers-2-g_layers-3-d_alpha-0.5-g_alpha-0.8,1,25,16,9,0.9226,0.005010861252635785,0.004952302066393406,0.0012421930138157803,0.037777607008376235,0.4757835001867779,0.2842606063660963,0.08345206124462369,0.31124875124875123
-major_weight-10-dataset-lattice-d_layers-2-g_layers-3-d_alpha-0.5-g_alpha-1,1,25,16,9,0.94,0.00931174696708679,0.008274204940304772,0.002161876490503755,0.04547145162529779,0.520098942445211,0.2953114661955122,0.08735060482738266,0.31460539460539455
-major_weight-10-dataset-lattice-d_layers-2-g_layers-3-d_alpha-0.5-g_alpha-0.5,1,25,16,9,0.82732,0.005868212274394641,0.005600907702896876,0.001418654428150841,0.03212787212787214,0.5065083079812679,0.2896938044036264,0.08582755240249804,0.3133266733266733
-major_weight-10-dataset-lattice-d_layers-2-g_layers-3-d_alpha-0.5-g_alpha-1.5,1,25,16,9,0.88916,0.006022252467538391,0.006119207199864924,0.0015143613759720238,0.04736186890033044,0.4440792510550486,0.272545916573727,0.07951415215207533,0.3056543456543457
-major_weight-10-dataset-lattice-d_layers-2-g_layers-3-d_alpha-0.5-g_alpha-2,1,23,16,7,0.88808,0.031367954365569536,0.012144743699469523,0.003661841982101955,0.035312379927764544,0.7138452609710191,0.31077544038793364,0.09357104269420208,0.3196403596403596
-major_weight-10-dataset-lattice-d_layers-2-g_layers-3-d_alpha-0.5-g_alpha-1.2,1,25,16,9,0.935,0.004496697752180314,0.004526344692446229,0.0011265151173736922,0.03741489279950819,0.43556274952924323,0.2694808717890694,0.0785621541549816,0.30501498501498503
-major_weight-10-dataset-lattice-d_layers-2-g_layers-3-d_alpha-0.8-g_alpha-1,1,25,16,9,0.9294,0.005848322459618547,0.00502013661810977,0.0013370666513677154,0.03016368247137478,0.5163442922789491,0.29316153458124644,0.08692435208209714,0.31508491508491515
-major_weight-10-dataset-lattice-d_layers-2-g_layers-3-d_alpha-0.8-g_alpha-0.5,1,0,0,0,0.0,6.578482799606761,2.81747033096035,0.5755152529645697,0.939869361407823,6.5036879351932075,3.2082044313685767,0.6046010598822593,0.9590409590409589
-major_weight-10-dataset-lattice-d_layers-2-g_layers-3-d_alpha-0.8-g_alpha-0.8,1,25,16,9,0.91096,0.006198424538599886,0.005568489817057225,0.0014443745381940952,0.033338968723584106,0.4691264601642223,0.2757676662763442,0.08109509282144245,0.3072927072927073
-major_weight-10-dataset-lattice-d_layers-2-g_layers-3-d_alpha-1-g_alpha-0.5,1,0,0,0,0.0,7.117772976692282,5.11775513914621,0.6713927071162258,0.9931237992776455,6.5036879351932075,3.2082044313685767,0.6046010598822593,0.9590409590409589
-major_weight-10-dataset-lattice-d_layers-2-g_layers-3-d_alpha-1-g_alpha-0.8,1,23,16,7,0.85192,0.05708064129116104,0.02003252328359369,0.006152466262547406,0.052430646276800115,0.9499575253591782,0.3476468085551997,0.10623791873140331,0.33222777222777217
-major_weight-10-dataset-lattice-d_layers-2-g_layers-3-d_alpha-0.8-g_alpha-1.5,1,25,16,9,0.93608,0.00887963655160308,0.00794769304791393,0.00206536006973215,0.04096826250672404,0.5225254122145692,0.2945248973414842,0.0872535786612875,0.31440559440559446
-major_weight-10-dataset-lattice-d_layers-2-g_layers-3-d_alpha-1-g_alpha-1,1,24,16,8,0.9452,0.026860605033544722,0.008955649403100133,0.0027471834610696445,0.02890033043879197,0.6225773003210607,0.2824672359861747,0.08400913968383167,0.3087312687312687
-major_weight-10-dataset-lattice-d_layers-2-g_layers-3-d_alpha-1-g_alpha-1.2,1,25,16,9,0.94056,0.004432005932661978,0.004335448867507865,0.0010906963620308315,0.03252747252747254,0.44295787848933504,0.26910595317947617,0.07874625165959495,0.30493506493506495
-major_weight-10-dataset-lattice-d_layers-2-g_layers-3-d_alpha-0.8-g_alpha-2,1,25,16,9,0.92628,0.004793045438448976,0.004410768022933528,0.0011325806416442622,0.023425804964266505,0.4641249003875463,0.27332178498963633,0.08045507330647884,0.3067332667332668
-major_weight-10-dataset-lattice-d_layers-2-g_layers-3-d_alpha-0.8-g_alpha-1.2,1,25,16,9,0.92264,0.003384655570279917,0.0034749489637493506,0.0008555669943611249,0.03002843310535618,0.42229867106810043,0.2630928153053813,0.07664818977593393,0.3026973026973027
-major_weight-10-dataset-lattice-d_layers-2-g_layers-3-d_alpha-1-g_alpha-1.5,1,24,16,8,0.9378,0.007636630159238786,0.006410745259548982,0.0017055494683426032,0.035112579727964346,0.46910886243039385,0.2721013634947916,0.08007116473485673,0.30533466533466536
-major_weight-10-dataset-lattice-d_layers-2-g_layers-3-d_alpha-1-g_alpha-2,1,25,16,9,0.9444,0.00212998022763768,0.002191807367798176,0.0005393370480858781,0.024495504495504493,0.40094429176241825,0.2544487623232354,0.07389309539749331,0.2995004995004995
-major_weight-10-dataset-lattice-d_layers-2-g_layers-3-d_alpha-1.2-g_alpha-1,1,24,16,8,0.89312,0.0027109520243004644,0.002762838385005948,0.0006825799449693973,0.024944286482748018,0.42501678858237835,0.26274875029594763,0.0767015390301923,0.3028571428571429
-major_weight-10-dataset-lattice-d_layers-2-g_layers-3-d_alpha-1.2-g_alpha-0.5,1,0,0,0,0.0,6.578482799606761,2.8174703309603504,0.5755152529645697,0.939869361407823,6.5036879351932075,3.2082044313685767,0.6046010598822593,0.9590409590409589
-major_weight-10-dataset-lattice-d_layers-2-g_layers-3-d_alpha-1.2-g_alpha-0.8,1,0,0,0,0.0,6.578482799606761,2.8174703309603504,0.5755152529645697,0.939869361407823,6.5036879351932075,3.2082044313685767,0.6046010598822593,0.9590409590409589
-major_weight-10-dataset-lattice-d_layers-2-g_layers-3-d_alpha-1.2-g_alpha-1.5,1,25,16,9,0.91764,0.001927072984497079,0.0019358817323041396,0.00048234324790432965,0.023908399293014682,0.41802642052178207,0.26146173668160866,0.07617293044338858,0.3026573426573427
-major_weight-10-dataset-lattice-d_layers-2-g_layers-3-d_alpha-1.2-g_alpha-1.2,1,25,16,9,0.95312,0.00273737006729963,0.0028073261885852947,0.000691884219707148,0.0279474371782064,0.4125283259762345,0.25929680519108445,0.07542924806125668,0.30133866133866133
-major_weight-10-dataset-lattice-d_layers-2-g_layers-3-d_alpha-1.5-g_alpha-0.8,1,0,0,0,0.0,6.578482799606761,2.8174703309603504,0.5755152529645697,0.939869361407823,6.5036879351932075,3.2082044313685767,0.6046010598822593,0.9590409590409589
-major_weight-10-dataset-lattice-d_layers-2-g_layers-3-d_alpha-1.2-g_alpha-2,1,25,16,9,0.93236,0.007279861172852399,0.007418467138916551,0.0018186649265016694,0.037753016214554666,0.4294617321522045,0.26151564994090243,0.07632857865096708,0.3002997002997003
-major_weight-10-dataset-lattice-d_layers-2-g_layers-3-d_alpha-1.5-g_alpha-1,1,0,0,0,0.0,6.578482799606761,2.8174703309603504,0.5755152529645697,0.939869361407823,6.5036879351932075,3.2082044313685767,0.6046010598822593,0.9590409590409589
-major_weight-10-dataset-lattice-d_layers-2-g_layers-3-d_alpha-1.5-g_alpha-0.5,1,0,0,0,0.0,6.116586200314476,2.470901791808697,0.5242211781247157,0.8807377238146469,6.1914458340716205,2.8616358922169227,0.5635109399117839,0.919080919080919
-major_weight-10-dataset-lattice-d_layers-2-g_layers-3-d_alpha-1.5-g_alpha-1.5,1,23,16,7,0.90104,0.03542299829905409,0.014480961651075153,0.004367245341568985,0.03982786444324905,0.751088294441335,0.3180802735252208,0.09615396415280968,0.32179820179820173
-major_weight-10-dataset-lattice-d_layers-2-g_layers-3-d_alpha-1.5-g_alpha-1.2,1,25,16,9,0.91992,0.007593893259889841,0.006432056068225285,0.0017070069807121585,0.031829708752785686,0.506880653116267,0.2869365084681849,0.08495799817490535,0.31176823176823176
-major_weight-10-dataset-lattice-d_layers-2-g_layers-3-d_alpha-1.5-g_alpha-2,1,24,15,9,0.9066,0.6325015173068148,0.2678797701387441,0.073771712463238,0.1800814570045339,0.8743947063318362,0.5359626845745,0.1413094472639268,0.41946053946053946
-major_weight-10-dataset-lattice-d_layers-2-g_layers-3-d_alpha-2-g_alpha-0.5,1,0,0,0,0.0,6.602939567941479,3.990959284488663,0.5972478081603361,0.9339921616844694,6.165880570200402,2.649946969902247,0.5523642554903745,0.9190809190809189
-major_weight-10-dataset-lattice-d_layers-2-g_layers-3-d_alpha-2-g_alpha-1,1,0,0,0,0.0,6.578482799606761,2.81747033096035,0.5755152529645697,0.939869361407823,6.5036879351932075,3.2082044313685767,0.6046010598822593,0.9590409590409589
-major_weight-10-dataset-lattice-d_layers-2-g_layers-3-d_alpha-2-g_alpha-0.8,1,0,0,0,0.0,6.578482799606761,2.8174703309603504,0.5755152529645697,0.939869361407823,6.5036879351932075,3.2082044313685767,0.6046010598822593,0.9590409590409589
-major_weight-10-dataset-lattice-d_layers-2-g_layers-3-d_alpha-2-g_alpha-1.5,1,0,0,0,0.0,6.5784827996067605,2.8174703309603504,0.5755152529645697,0.9398693614078228,6.503687935193207,3.2082044313685767,0.6046010598822594,0.959040959040959
-major_weight-10-dataset-lattice-d_layers-2-g_layers-3-d_alpha-2-g_alpha-2,1,21,16,5,0.80576,0.03697229165710956,0.017763880064801906,0.005074599051977723,0.061255667409513576,0.7272905667698867,0.3198910096617086,0.0958885701746968,0.3211588411588412
-major_weight-10-dataset-lattice-d_layers-2-g_layers-3-d_alpha-2-g_alpha-1.2,1,0,0,0,0.0,6.5784827996067605,2.8174703309603504,0.5755152529645697,0.9398693614078228,6.503687935193207,3.2082044313685767,0.6046010598822594,0.959040959040959
