Setting,Seed,0.0-1,0.0-3,0.0-5,0.0-10,0.1-1,0.1-3,0.1-5,0.1-10,0.2-1,0.2-3,0.2-5,0.2-10,0.3-1,0.3-3,0.3-5,0.3-10,0.4-1,0.4-3,0.4-5,0.4-10,0.5-1,0.5-3,0.5-5,0.5-10,0.6-1,0.6-3,0.6-5,0.6-10,0.7-1,0.7-3,0.7-5,0.7-10,0.8-1,0.8-3,0.8-5,0.8-10,0.9-1,0.9-3,0.9-5,0.9-10
-non_saturating-n_epochs-50-d_alpha-0.85,62,817,627,533,374,793,601,505,350,719,516,398,281,622,409,313,217,522,308,228,157,418,223,163,107,332,169,115,70,240,110,75,37,156,64,34,15,70,18,6,0
-non_saturating-n_epochs-50-d_alpha-1,60,723,522,426,317,682,499,406,295,595,414,351,235,498,334,262,183,402,248,194,127,324,184,135,79,247,126,88,60,186,88,60,32,116,47,27,10,42,9,4,1
-non_saturating-n_epochs-50-d_alpha-0.9,62,841,659,552,422,821,641,536,403,751,552,460,339,652,463,377,271,544,370,300,188,450,298,215,126,378,212,142,69,293,134,77,43,188,60,36,16,74,16,8,2
-non_saturating-n_epochs-50-d_alpha-0.85,61,804,622,521,420,794,604,508,406,734,544,448,358,650,459,388,295,566,388,318,222,485,320,252,152,400,250,175,95,322,172,106,63,222,90,61,21,99,33,17,5
-non_saturating-n_epochs-50-d_alpha-1,62,755,507,410,259,726,487,382,242,642,406,313,199,543,320,237,155,419,232,169,124,315,169,136,109,241,133,114,91,172,111,93,71,136,88,65,37,88,34,19,8
-non_saturating-n_epochs-50-d_alpha-0.95,63,28,20,19,16,14,8,8,7,3,3,3,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-non_saturating-n_epochs-50-d_alpha-0.95,62,748,560,460,337,697,510,424,305,573,399,325,224,464,293,235,154,366,214,157,92,276,135,95,50,195,79,50,29,120,33,26,13,61,21,11,6,17,3,1,1
-non_saturating-n_epochs-50-d_alpha-1,63,15,11,10,9,12,8,8,8,3,2,2,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-non_saturating-n_epochs-50-d_alpha-0.85,63,3,2,2,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-non_saturating-n_epochs-50-d_alpha-0.9,63,836,634,529,371,802,602,498,343,720,508,403,275,616,401,313,202,506,306,225,141,407,217,155,100,307,150,106,65,214,99,66,40,142,60,38,22,70,22,13,4
-non_saturating-n_epochs-50-d_alpha-0.9,64,707,482,407,300,681,461,385,283,578,400,326,226,480,319,254,160,391,231,175,120,312,169,130,85,239,127,87,55,168,78,57,42,107,49,40,24,52,24,12,8
-non_saturating-n_epochs-50-d_alpha-0.95,64,2,1,1,1,2,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
-non_saturating-n_epochs-50-d_alpha-1,64,581,388,314,220,531,353,281,201,422,260,212,158,325,192,154,121,226,135,112,84,164,99,82,55,122,66,46,33,81,41,31,20,41,17,14,7,14,4,1,1
-non_saturating-n_epochs-50-d_alpha-0.85,64,757,558,475,348,726,538,439,326,634,437,371,262,531,357,282,190,440,267,194,128,361,186,145,96,276,134,95,53,203,91,53,30,113,42,24,8,40,11,4,1
-non_saturating-n_epochs-50-d_alpha-0.85,65,63,37,34,25,32,28,23,16,16,12,9,6,7,4,3,3,4,3,3,3,3,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-non_saturating-n_epochs-50-d_alpha-0.9,65,664,493,392,287,628,453,365,265,529,355,284,209,431,271,221,157,334,203,164,107,259,146,116,63,200,110,74,44,134,69,41,27,88,34,23,10,37,9,5,3
-non_saturating-n_epochs-50-d_alpha-0.95,65,17,14,13,11,13,10,10,10,9,8,7,6,6,4,4,2,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-non_saturating-n_epochs-50-d_alpha-0.85,66,794,600,498,369,758,565,466,342,660,455,374,273,554,364,292,204,443,279,208,137,344,187,138,89,260,124,89,48,174,75,54,20,102,37,19,6,42,11,4,0
-non_saturating-n_epochs-50-d_alpha-1,66,780,556,423,290,749,526,396,277,667,426,321,229,535,324,251,180,413,240,204,145,309,189,150,110,240,143,110,71,189,99,68,39,127,52,33,13,52,12,7,1
