setting,seed,train_test_split,noise_dim,batch_size,save_images,n_epochs,epoch_step,lr,model_width,beta1,amp,d_alpha,g_alpha,non_saturating,ls_gan,errors,epochs,fid_scores,time
non_saturating-n_epochs-100-epoch_step-10-lr-0.0005-d_alpha-0.9-g_alpha-1,3,0.8,100,128,False,100,10,0.0005,64,0.9,False,0.9,1.0,True,False,"[0.13115745310957552, 0.11644866732477789, 0.15948914116485685, 0.2020730503455084, 0.26871915103652516, 0.17961500493583415, 0.19882773938795656, 0.19577986179664364, 0.49163376110562684, 0.30619447186574533]","[10, 20, 30, 40, 50, 60, 70, 80, 90, 100]","[805.6018379015821, 315.88441244405703, 145.96319308371244, 77.84973718980484, 66.76510987068923, 61.270579477787805, 47.790153149915795, 48.47384024629969, 57.94873256837286, 46.09852222210975]",3000
non_saturating-n_epochs-100-epoch_step-10-lr-0.005-d_alpha-0.9-g_alpha-1,3,0.8,100,128,False,100,10,0.005,64,0.9,False,0.9,1.0,True,False,"[0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5]","[10, 20, 30, 40, 50, 60, 70, 80, 90, 100]","[1788.664882427538, 1789.2732389597813, 1788.8514822729705, 1788.962364753559, 1788.7573583988808, 1788.853545248624, 1788.5278239249576, 1788.565384871407, 1788.284441577603, 1788.901117536351]",2997
non_saturating-n_epochs-100-epoch_step-10-lr-0.005-d_alpha-0.8-g_alpha-1,5,0.8,100,128,False,100,10,0.005,64,0.9,False,0.8,1.0,True,False,"[0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5]","[10, 20, 30, 40, 50, 60, 70, 80, 90, 100]","[2218.6862288074217, 2218.6891268331246, 2217.8158263983255, 2219.2062409311284, 2218.068975288791, 2218.3615616305606, 2218.523400464021, 2218.5269162633763, 2218.5496358277255, 2218.7491313649457]",3017
non_saturating-n_epochs-100-epoch_step-10-lr-0.0001-d_alpha-0.9-g_alpha-1,6,0.8,100,128,False,100,10,0.0001,64,0.9,False,0.9,1.0,True,False,"[0.07981243830207305, 0.14617472852912142, 0.15857601184600198, 0.1762339585389931, 0.18846248766041462, 0.18764807502467917, 0.1284797630799605, 0.1363400789733465, 0.12158193484698915, 0.1710143139190523]","[10, 20, 30, 40, 50, 60, 70, 80, 90, 100]","[618.1468609911177, 167.66886756230372, 105.90433835081353, 76.09648378985423, 66.23905068663998, 67.5824368858664, 57.43371442393982, 55.86908399342701, 64.03170738276276, 54.51666565341998]",2985
non_saturating-n_epochs-100-epoch_step-10-lr-0.01-d_alpha-0.8-g_alpha-1,4,0.8,100,128,False,100,10,0.01,64,0.9,False,0.8,1.0,True,False,"[0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5]","[10, 20, 30, 40, 50, 60, 70, 80, 90, 100]","[2327.6840465066502, 2326.6216267061054, 2327.543533650464, 2327.8397582284215, 2327.7198683497536, 2326.6320676552177, 2327.1887641562575, 2327.439494761931, 2327.544028555659, 2327.8665872013416]",3002
non_saturating-n_epochs-100-epoch_step-10-lr-0.01-d_alpha-0.9-g_alpha-1,4,0.8,100,128,False,100,10,0.01,64,0.9,False,0.9,1.0,True,False,"[0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5]","[10, 20, 30, 40, 50, 60, 70, 80, 90, 100]","[1624.9526018784798, 1624.8048419070537, 1625.0390808643133, 1624.7491996465442, 1624.6809412987836, 1624.3640343062, 1624.664668405236, 1624.5874486637506, 1624.750934541521, 1624.720563117827]",3015
non_saturating-n_epochs-100-epoch_step-10-lr-0.01-d_alpha-0.9-g_alpha-1,5,0.8,100,128,False,100,10,0.01,64,0.9,False,0.9,1.0,True,False,"[0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5]","[10, 20, 30, 40, 50, 60, 70, 80, 90, 100]","[1768.7168998997547, 1769.1471677604845, 1768.5663514806904, 1768.9582178919184, 1768.6703241729233, 1768.8394394935128, 1768.722898351289, 1768.4368613198415, 1768.48393379021, 1769.0846815111995]",3007
non_saturating-n_epochs-100-epoch_step-10-lr-0.005-d_alpha-0.9-g_alpha-1,5,0.8,100,128,False,100,10,0.005,64,0.9,False,0.9,1.0,True,False,"[0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5]","[10, 20, 30, 40, 50, 60, 70, 80, 90, 100]","[1906.249038917799, 1910.7975354074586, 1910.8290445888038, 1911.355529005962, 1910.1446815027657, 1904.7058855671041, 1909.6912943957332, 1902.0571579679604, 1907.8073581947847, 1907.1276398476168]",3049
non_saturating-n_epochs-100-epoch_step-10-lr-0.001-d_alpha-0.8-g_alpha-1,2,0.8,100,128,False,100,10,0.001,64,0.9,False,0.8,1.0,True,False,"[0.18535291214215202, 0.05823050345508391, 0.09613770977295164, 0.2112166831194472, 0.10953849950641659, 0.1259131293188549, 0.36335143139190523, 0.30104886475814413, 0.4880923000987167, 0.49792694965449164]","[10, 20, 30, 40, 50, 60, 70, 80, 90, 100]","[1252.142522434312, 503.98681376445995, 210.6923988376509, 101.13234511349015, 102.10029692287026, 75.3063013600945, 82.78013420575724, 70.12269862336689, 101.10001331783837, 70.6694145611309]",3029
non_saturating-n_epochs-100-epoch_step-10-lr-0.005-d_alpha-1-g_alpha-1,2,0.8,100,128,False,100,10,0.005,64,0.9,False,1.0,1.0,True,False,"[0.14431145113524185, 0.12725814412635736, 0.16475814412635736, 0.1607354392892399, 0.32781342546890424, 0.29809970384995066, 0.08883267522211254, 0.08282329713721619, 0.084822309970385, 0.0829096742349457]","[10, 20, 30, 40, 50, 60, 70, 80, 90, 100]","[1322.01908435766, 304.64649944835696, 168.55979696059194, 103.20079737761353, 114.75399622708096, 81.98994273039466, 1724.2245109234568, 1724.2245109234568, 1724.2245109234568, 1724.2245109234568]",3043
non_saturating-n_epochs-100-epoch_step-10-lr-0.0005-d_alpha-1-g_alpha-1,4,0.8,100,128,False,100,10,0.0005,64,0.9,False,1.0,1.0,True,False,"[0.1273568608094768, 0.07982477788746298, 0.14074531095755183, 0.1460143139190523, 0.2018385982230997, 0.28050345508390917, 0.2713474827245805, 0.23910414610069103, 0.2636105626850938, 0.16651036525172755]","[10, 20, 30, 40, 50, 60, 70, 80, 90, 100]","[771.2058678573076, 229.58660506080446, 130.39295034080385, 86.04219870516147, 60.23787542883815, 62.986461330342536, 49.3169084468293, 54.82473773310983, 59.12794355291544, 56.66569370691195]",3073
