Setting,Seed,FID Score,0.0-1,0.0-3,0.0-5,0.0-10,0.1-1,0.1-3,0.1-5,0.1-10,0.2-1,0.2-3,0.2-5,0.2-10,0.3-1,0.3-3,0.3-5,0.3-10,0.4-1,0.4-3,0.4-5,0.4-10,0.5-1,0.5-3,0.5-5,0.5-10,0.6-1,0.6-3,0.6-5,0.6-10,0.7-1,0.7-3,0.7-5,0.7-10,0.8-1,0.8-3,0.8-5,0.8-10,0.9-1,0.9-3,0.9-5,0.9-10,Epochs,FIDs
-non_saturating-n_epochs-200-epoch_step-10-g_lr-0.001-g_alpha-1.1-d_alpha-1.5-beta1-0.5-g_width-64-d_width-64,3,159.69276923140205,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,"[10, 20, 30, 40, 50, 60, 70, 80, 90, 100, 110, 120, 130, 140, 150, 160, 170, 180, 190, 200]","[612.4645270022179, 316.77601863209975, 206.6499944424379, 181.04506428434797, 159.58486902935624, 155.79426558493083, 146.93459771876178, 155.25535628334183, 155.70144930980246, 147.5902558940536, 152.71959451143857, 147.10650793209402, 149.0976804705656, 147.8585693464329, 149.78436901904115, 152.29094935833564, 152.35412210101458, 163.7440550490901, 158.18651010305075, 159.69276923140205]"
-non_saturating-n_epochs-200-epoch_step-10-g_lr-0.001-g_alpha-1.5-d_alpha-0.8-beta1-0.5-g_width-64-d_width-64,3,148.8132845139744,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,9,"[10, 20, 30, 40, 50, 60, 70, 80, 90, 100, 110, 120, 130, 140, 150, 160, 170, 180, 190, 200]","[505.56575585309724, 246.8359162733218, 204.64467715912497, 249.69473560022288, 152.8150854879591, 154.23052345539054, 151.97916417586475, 150.92681777442112, 135.54858394010375, 142.85190845565216, 144.1439198421599, 146.47963321959014, 149.52621303635442, 142.66496813147728, 143.36695479831792, 143.96989448766544, 144.28523435386387, 148.2260016492164, 144.47023048131723, 148.8132845139744]"
-non_saturating-n_epochs-200-epoch_step-10-g_lr-0.001-g_alpha-1.5-d_alpha-1.1-beta1-0.5-g_width-64-d_width-64,3,158.25470640595768,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,"[10, 20, 30, 40, 50, 60, 70, 80, 90, 100, 110, 120, 130, 140, 150, 160, 170, 180, 190, 200]","[461.90427017471234, 334.8411065200571, 241.6119033187531, 183.88644488085265, 175.23725455613385, 166.50224277788402, 164.87146554216406, 148.45268621134642, 146.56406297065018, 150.2843359446572, 149.17029633631478, 152.38457544438756, 150.1821444247455, 151.71838887512467, 150.37079687635423, 159.7132046316815, 161.77063024784002, 157.95615177276977, 172.77607802535385, 158.25470640595768]"
-non_saturating-n_epochs-200-epoch_step-10-g_lr-0.001-g_alpha-1.5-d_alpha-1-beta1-0.5-g_width-64-d_width-64,3,156.15969717444796,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,"[10, 20, 30, 40, 50, 60, 70, 80, 90, 100, 110, 120, 130, 140, 150, 160, 170, 180, 190, 200]","[449.62926640983824, 321.7637143592592, 232.9189230915615, 189.4938041892724, 162.86143509122712, 158.68756766380056, 145.21314529310234, 155.72559737869278, 164.27430925804288, 153.64941726354755, 158.11287975769892, 156.2711498986048, 157.27472693518393, 152.8844407234974, 158.06782596093035, 164.25071916271054, 168.1696310461973, 162.91608424565788, 177.41990607915113, 156.15969717444796]"
-non_saturating-n_epochs-200-epoch_step-10-g_lr-0.001-g_alpha-1.5-d_alpha-1.5-beta1-0.5-g_width-64-d_width-64,3,161.1741070030739,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,9,"[10, 20, 30, 40, 50, 60, 70, 80, 90, 100, 110, 120, 130, 140, 150, 160, 170, 180, 190, 200]","[526.8221098408999, 295.2438309247086, 224.03464734925433, 191.76391030837453, 158.69940130037912, 167.51325145634223, 157.8378030975623, 148.9103022796619, 157.86801009550254, 145.1561857304191, 154.61409202817526, 151.3730666338647, 152.94466405278513, 143.78244250497914, 153.31362102151866, 152.27237981423832, 154.96284724909992, 153.76999899043926, 153.254254434298, 161.1741070030739]"
-non_saturating-n_epochs-200-epoch_step-10-g_lr-0.0001-g_alpha-0.8-d_alpha-1-beta1-0.5-g_width-64-d_width-64,4,175.73246369038407,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,9,"[10, 20, 30, 40, 50, 60, 70, 80, 90, 100, 110, 120, 130, 140, 150, 160, 170, 180, 190, 200]","[633.1513664191293, 485.2964928745673, 285.72141882276355, 286.07007853802634, 213.45212169891875, 189.6475405740348, 146.64207408214816, 176.64620212940986, 154.1256333614126, 169.4073527571029, 166.7515261941776, 166.88405392214122, 164.03444439019222, 163.97266215566196, 165.1364366015855, 164.16603105116315, 165.6770407255176, 163.69159227028013, 165.03032077389503, 175.73246369038407]"
-non_saturating-n_epochs-200-epoch_step-10-g_lr-0.001-g_alpha-1.5-d_alpha-0.9-beta1-0.5-g_width-64-d_width-64,3,156.65501395524961,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,9,9,"[10, 20, 30, 40, 50, 60, 70, 80, 90, 100, 110, 120, 130, 140, 150, 160, 170, 180, 190, 200]","[636.4673048102882, 257.8186107835859, 249.19683647722786, 190.68050274523375, 156.93266379453235, 139.22168525663847, 151.47819695937596, 147.65257609905666, 145.0562787131421, 151.39539916858894, 153.63501615063774, 148.3527413761526, 147.72326035166225, 144.37783017762627, 143.46410811988767, 157.25061473002893, 155.78028475968085, 159.28409224880033, 156.10041279806092, 156.65501395524961]"
-non_saturating-n_epochs-200-epoch_step-10-g_lr-0.0001-g_alpha-0.8-d_alpha-1.5-beta1-0.5-g_width-64-d_width-64,4,163.32219650472825,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,9,"[10, 20, 30, 40, 50, 60, 70, 80, 90, 100, 110, 120, 130, 140, 150, 160, 170, 180, 190, 200]","[717.000023579677, 437.19773371621045, 273.3585086579942, 238.2989536188827, 196.42897786024923, 204.7645992212349, 166.87308796574712, 180.48115335510556, 176.2329397433341, 164.65684547089768, 157.11244316948637, 158.09615905997543, 147.9294507140944, 155.02612384308304, 162.41470873960543, 168.0635419457883, 160.72020834647037, 162.4644997125538, 166.148955271231, 163.32219650472825]"
-non_saturating-n_epochs-200-epoch_step-10-g_lr-0.0001-g_alpha-0.8-d_alpha-1.1-beta1-0.5-g_width-64-d_width-64,4,153.637751816251,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,9,"[10, 20, 30, 40, 50, 60, 70, 80, 90, 100, 110, 120, 130, 140, 150, 160, 170, 180, 190, 200]","[664.5674875636737, 475.01365007805657, 489.09514140729743, 305.3963785447204, 245.5787956880199, 211.4002296139638, 174.31881009861263, 170.36822935438568, 164.4265806936362, 171.6799410917538, 171.11284956102622, 161.60963797871773, 151.34931050753767, 152.25959119523213, 158.66623043497452, 161.1381117959877, 153.70896249547786, 150.09055310032772, 156.25810885584224, 153.637751816251]"
-non_saturating-n_epochs-200-epoch_step-10-g_lr-0.0001-g_alpha-0.8-d_alpha-0.8-beta1-0.5-g_width-64-d_width-64,4,176.02140069567486,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,9,9,9,"[10, 20, 30, 40, 50, 60, 70, 80, 90, 100, 110, 120, 130, 140, 150, 160, 170, 180, 190, 200]","[518.0823520061838, 399.2772253180849, 375.1183367938295, 218.62706051324244, 204.33746535171576, 177.9842034827418, 229.30716563717533, 159.07448334914784, 152.26913665333632, 158.69113461828738, 158.9358354041965, 167.77009313826443, 168.7843465071801, 166.51617682839878, 163.50150204927445, 163.8263765005006, 172.6344610964793, 174.47716483492695, 172.1442013704027, 176.02140069567486]"
-non_saturating-n_epochs-200-epoch_step-10-g_lr-0.0001-g_alpha-0.9-d_alpha-0.8-beta1-0.5-g_width-64-d_width-64,4,154.1590067453185,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,9,"[10, 20, 30, 40, 50, 60, 70, 80, 90, 100, 110, 120, 130, 140, 150, 160, 170, 180, 190, 200]","[628.9762624568655, 455.13927066534234, 326.84772012689587, 256.29209327945273, 221.2813891065589, 182.50806920629338, 166.56547777585888, 159.76028575952205, 136.9462247238357, 159.61014407047378, 155.00313805021506, 149.79995440117727, 152.99865679902177, 160.69256177788066, 156.39641639413912, 149.14052702349954, 150.96242144280563, 154.5932844562244, 158.41740583385945, 154.1590067453185]"
-non_saturating-n_epochs-200-epoch_step-10-g_lr-0.0001-g_alpha-0.8-d_alpha-0.9-beta1-0.5-g_width-64-d_width-64,4,149.8428063145168,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,9,"[10, 20, 30, 40, 50, 60, 70, 80, 90, 100, 110, 120, 130, 140, 150, 160, 170, 180, 190, 200]","[570.0567010119448, 640.8696347836571, 384.0485166692674, 247.30704401630328, 210.10466665479044, 194.52343771528285, 156.17330417856147, 160.69417895650918, 161.28313898634246, 171.32329210423268, 151.22135128582067, 149.53221169312246, 157.23689825836368, 159.6637261951896, 152.71407439489258, 154.01795682798638, 154.04599399723338, 154.50265335208314, 158.64533730928815, 149.8428063145168]"
-non_saturating-n_epochs-200-epoch_step-10-g_lr-0.0001-g_alpha-0.9-d_alpha-0.9-beta1-0.5-g_width-64-d_width-64,4,166.30370917668915,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,9,"[10, 20, 30, 40, 50, 60, 70, 80, 90, 100, 110, 120, 130, 140, 150, 160, 170, 180, 190, 200]","[555.8808431153411, 389.3175188990731, 296.45943828308555, 213.45649609293946, 200.86019984942254, 179.78659723050396, 151.57863249404045, 167.41542337429019, 169.4182163076789, 170.63540732598813, 164.63357420339685, 167.92188388745035, 168.7584406991266, 157.26412280498062, 163.75661195286398, 162.78558019852767, 157.83154632019136, 155.96189158295374, 165.74364129845662, 166.30370917668915]"
-non_saturating-n_epochs-200-epoch_step-10-g_lr-0.0001-g_alpha-0.9-d_alpha-1-beta1-0.5-g_width-64-d_width-64,4,163.24761925852454,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,9,10,10,9,9,"[10, 20, 30, 40, 50, 60, 70, 80, 90, 100, 110, 120, 130, 140, 150, 160, 170, 180, 190, 200]","[656.8210866321926, 391.92295219125776, 296.61811423719246, 289.5258591115412, 197.06096754194505, 201.5840810105483, 187.90871916995957, 181.2987700177962, 163.14272071350297, 163.9889285020463, 159.30943013745377, 162.19845625212542, 159.11974350850346, 157.5731929147239, 156.90715780400774, 169.46196657239466, 169.77688932250135, 164.31623550109703, 165.38426167286707, 163.24761925852454]"
-non_saturating-n_epochs-200-epoch_step-10-g_lr-0.0001-g_alpha-0.9-d_alpha-1.1-beta1-0.5-g_width-64-d_width-64,4,153.38446982093683,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,"[10, 20, 30, 40, 50, 60, 70, 80, 90, 100, 110, 120, 130, 140, 150, 160, 170, 180, 190, 200]","[533.1950336575701, 507.4524147333141, 313.1839130077565, 269.0943004088481, 246.77164796755733, 217.83067008394528, 191.5028049187158, 179.26004950182573, 160.98732095099194, 176.38299993746546, 170.49600829791734, 159.59182913993754, 160.56768815528267, 163.71894671401833, 158.8025192076418, 153.0922674147796, 165.26697026143938, 156.49378922385608, 164.59173398971598, 153.38446982093683]"
-non_saturating-n_epochs-200-epoch_step-10-g_lr-0.0001-g_alpha-1-d_alpha-0.8-beta1-0.5-g_width-64-d_width-64,4,174.40233060387754,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,"[10, 20, 30, 40, 50, 60, 70, 80, 90, 100, 110, 120, 130, 140, 150, 160, 170, 180, 190, 200]","[706.1703944205894, 484.2700319195385, 316.73922899225863, 250.03912563334188, 197.31035301336624, 192.5423812260392, 172.20342422929366, 156.79541262871203, 155.70787587404766, 164.50249929644838, 156.79690568957358, 161.19180767375383, 160.27232810081682, 162.1361475815786, 161.24337184853857, 160.54577698770618, 162.42221760812163, 160.12027824648135, 161.01330876799466, 174.40233060387754]"
-non_saturating-n_epochs-200-epoch_step-10-g_lr-0.0001-g_alpha-1-d_alpha-0.9-beta1-0.5-g_width-64-d_width-64,4,148.25029435356532,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,9,"[10, 20, 30, 40, 50, 60, 70, 80, 90, 100, 110, 120, 130, 140, 150, 160, 170, 180, 190, 200]","[565.7537120030443, 337.4549303144581, 304.2694054782655, 320.06970141571446, 188.03732374562924, 204.23975649725708, 169.22726978973742, 169.58062619022644, 166.00969659963494, 158.87960684022778, 164.4173190468432, 151.45382381997024, 137.68634793521255, 147.25428258561124, 155.40242533595801, 146.42190655577656, 147.80027597950357, 145.76330945073778, 151.03405063235186, 148.25029435356532]"
-non_saturating-n_epochs-200-epoch_step-10-g_lr-0.0001-g_alpha-1-d_alpha-1.1-beta1-0.5-g_width-64-d_width-64,4,177.6236929954075,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,9,9,"[10, 20, 30, 40, 50, 60, 70, 80, 90, 100, 110, 120, 130, 140, 150, 160, 170, 180, 190, 200]","[658.5846856720661, 386.01948230260086, 344.9673784926631, 284.4263681444395, 229.95185813797366, 197.42734492788668, 177.19816205113375, 175.47045253129477, 173.3993934534542, 165.2937743690627, 165.3495620982003, 170.7241103038525, 157.5639611721631, 155.61838184663907, 157.34172985789655, 156.9146006523963, 164.14897389746739, 163.55613217982227, 160.29521816350734, 177.6236929954075]"
-non_saturating-n_epochs-200-epoch_step-10-g_lr-0.0001-g_alpha-1-d_alpha-1.5-beta1-0.5-g_width-64-d_width-64,4,167.505328749638,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,9,"[10, 20, 30, 40, 50, 60, 70, 80, 90, 100, 110, 120, 130, 140, 150, 160, 170, 180, 190, 200]","[641.9410896822033, 519.017780315191, 239.58131250061433, 245.54949340401618, 196.5173255825507, 164.7410540484941, 158.4924766360989, 170.27606864698555, 165.90904314526006, 178.87687506491375, 153.8667310094463, 168.69390582678943, 166.6265931479361, 160.89131992789976, 166.3140645161452, 166.86012527538242, 170.498266882204, 162.76418242188765, 168.2108399862309, 167.505328749638]"
-non_saturating-n_epochs-200-epoch_step-10-g_lr-0.0001-g_alpha-0.9-d_alpha-1.5-beta1-0.5-g_width-64-d_width-64,4,167.03075827815155,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,9,"[10, 20, 30, 40, 50, 60, 70, 80, 90, 100, 110, 120, 130, 140, 150, 160, 170, 180, 190, 200]","[546.0049424601862, 549.6644249997628, 320.69739945903075, 243.4695038207983, 203.19220858138533, 172.1852712958546, 176.8465165238972, 157.23729462143456, 164.22107289461928, 164.32493088267188, 158.51355751837286, 164.43353414021885, 167.00486842003374, 161.94546116484003, 163.79622621053431, 165.2036709070635, 157.56564874648666, 161.99577204572233, 166.31978716147796, 167.03075827815155]"
-non_saturating-n_epochs-200-epoch_step-10-g_lr-0.0001-g_alpha-1-d_alpha-1-beta1-0.5-g_width-64-d_width-64,4,175.83141429232137,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,"[10, 20, 30, 40, 50, 60, 70, 80, 90, 100, 110, 120, 130, 140, 150, 160, 170, 180, 190, 200]","[647.6090039907349, 466.5052474184954, 369.50430519288057, 224.30950677674696, 171.54887524427386, 177.6726334156342, 164.47118361351727, 168.637298665868, 157.28178928969896, 166.61737968597322, 168.49674219291092, 170.70330267905365, 175.268237426332, 167.8171839298402, 174.51583808864598, 171.24552159926043, 178.7564379937021, 168.76119417980863, 175.59214088825502, 175.83141429232137]"
-non_saturating-n_epochs-200-epoch_step-10-g_lr-0.0001-g_alpha-1.1-d_alpha-0.9-beta1-0.5-g_width-64-d_width-64,4,174.59194360866127,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,"[10, 20, 30, 40, 50, 60, 70, 80, 90, 100, 110, 120, 130, 140, 150, 160, 170, 180, 190, 200]","[595.4398828969634, 476.988795221052, 344.4420590831128, 274.36229067959357, 212.81310993159968, 174.09949085830408, 172.04137669469173, 174.99869657395516, 165.2185180712804, 166.96852674905358, 165.30396358158805, 161.83179587089694, 163.71137069034285, 166.1514506289227, 165.62264785282423, 168.26052001110702, 176.48985524213845, 170.20921358571536, 176.14011361294956, 174.59194360866127]"
-non_saturating-n_epochs-200-epoch_step-10-g_lr-0.0001-g_alpha-1.1-d_alpha-1-beta1-0.5-g_width-64-d_width-64,4,161.44826077469816,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,9,"[10, 20, 30, 40, 50, 60, 70, 80, 90, 100, 110, 120, 130, 140, 150, 160, 170, 180, 190, 200]","[534.2286175615304, 364.9361552349867, 281.9254827763177, 224.11690774703266, 186.98661183710988, 200.41017082342933, 165.1230544682553, 147.9396539623217, 147.20129439357788, 163.47058597547107, 152.59558120730776, 151.6518581002215, 160.70560276335937, 160.27736240467925, 153.29133032042682, 158.28379036962724, 160.66455856109633, 160.69258965433573, 166.4677663548655, 161.44826077469816]"
-non_saturating-n_epochs-200-epoch_step-10-g_lr-0.0001-g_alpha-1.1-d_alpha-1.1-beta1-0.5-g_width-64-d_width-64,4,165.9801088464542,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,"[10, 20, 30, 40, 50, 60, 70, 80, 90, 100, 110, 120, 130, 140, 150, 160, 170, 180, 190, 200]","[485.76564176400166, 388.5876761995414, 345.38455736383867, 205.33848479095195, 186.47012549025703, 171.03392548111697, 168.23026421566374, 158.98131842142993, 169.843838624289, 165.19952771377666, 163.85126141436353, 162.21287210154424, 165.0560339714632, 160.73372536312627, 168.37705428499112, 162.1661953639873, 166.49746134078282, 165.6611285190329, 167.29020966097687, 165.9801088464542]"
-non_saturating-n_epochs-200-epoch_step-10-g_lr-0.0001-g_alpha-1.1-d_alpha-0.8-beta1-0.5-g_width-64-d_width-64,4,160.21982920302116,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,9,"[10, 20, 30, 40, 50, 60, 70, 80, 90, 100, 110, 120, 130, 140, 150, 160, 170, 180, 190, 200]","[868.3639198013598, 352.35951495068093, 251.62327016182985, 230.96549875824576, 177.88265680263612, 155.28946155708945, 171.31644832776828, 155.28526769179962, 151.9139028363461, 164.62364556731427, 147.17940944219072, 161.23321984727795, 156.8383058470854, 161.31220425531592, 157.35005199543025, 161.95092265403332, 159.1333250396833, 149.99798922965988, 157.84704679740207, 160.21982920302116]"
-non_saturating-n_epochs-200-epoch_step-10-g_lr-0.0001-g_alpha-1.1-d_alpha-1.5-beta1-0.5-g_width-64-d_width-64,4,166.28118657794357,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,"[10, 20, 30, 40, 50, 60, 70, 80, 90, 100, 110, 120, 130, 140, 150, 160, 170, 180, 190, 200]","[736.5001751804202, 387.19909530350947, 235.30038889104117, 192.5839273445365, 194.178136520306, 151.44117759293204, 165.29554024951358, 160.95577715849095, 150.2298448140798, 168.7069021221173, 160.1256995176343, 163.29967351283267, 163.6386784535821, 163.7868515626419, 169.85214149428657, 158.24331916094616, 167.48876870732602, 160.72981860449772, 159.94338487627874, 166.28118657794357]"
-non_saturating-n_epochs-200-epoch_step-10-g_lr-0.0001-g_alpha-1.5-d_alpha-0.8-beta1-0.5-g_width-64-d_width-64,4,168.5716060161119,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,"[10, 20, 30, 40, 50, 60, 70, 80, 90, 100, 110, 120, 130, 140, 150, 160, 170, 180, 190, 200]","[587.5363666857934, 387.6632345832297, 372.65607686672206, 243.24043982908188, 190.0039390053753, 178.1593456941896, 165.52948215102833, 158.84602542007497, 168.11463785512342, 159.33829752554038, 155.60585290144377, 165.24554710502753, 159.9547402315743, 164.04966765660788, 158.96153609977455, 161.632876369413, 163.7281515465811, 165.30249053659418, 161.81977125606318, 168.5716060161119]"
-non_saturating-n_epochs-200-epoch_step-10-g_lr-0.0001-g_alpha-1.5-d_alpha-1.5-beta1-0.5-g_width-64-d_width-64,4,183.57588653803077,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,9,10,10,9,9,10,9,9,9,"[10, 20, 30, 40, 50, 60, 70, 80, 90, 100, 110, 120, 130, 140, 150, 160, 170, 180, 190, 200]","[659.8996680202306, 485.9976357098576, 317.61593522369344, 219.13390315436982, 206.42092338883276, 166.76129609757822, 186.52734047833724, 177.84495538995816, 177.26351080381755, 185.27166426123722, 180.261920957028, 181.32593653242066, 184.21839173112062, 177.53593495812447, 181.76153635140417, 182.38958701805518, 180.64629500318233, 185.20595965550729, 185.15406855942024, 183.57588653803077]"
-non_saturating-n_epochs-200-epoch_step-10-g_lr-0.0001-g_alpha-1.5-d_alpha-1.1-beta1-0.5-g_width-64-d_width-64,4,167.9644161610322,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,9,"[10, 20, 30, 40, 50, 60, 70, 80, 90, 100, 110, 120, 130, 140, 150, 160, 170, 180, 190, 200]","[530.1758253551211, 337.15709802602896, 301.96942901544367, 220.3708211891601, 187.74314307495933, 176.65114342893526, 170.22831366993296, 176.50041547520004, 165.27933746288386, 173.9417221692147, 159.8785178798471, 170.48784398419502, 170.5567230211791, 161.52850743960607, 169.2727149574714, 162.00431236917484, 167.48654765761967, 166.57796370238702, 170.15324304361548, 167.9644161610322]"
-non_saturating-n_epochs-200-epoch_step-10-g_lr-0.0002-g_alpha-0.8-d_alpha-0.8-beta1-0.5-g_width-64-d_width-64,4,152.87142415217795,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,"[10, 20, 30, 40, 50, 60, 70, 80, 90, 100, 110, 120, 130, 140, 150, 160, 170, 180, 190, 200]","[574.1438102685552, 354.1217339892205, 276.912300623339, 217.17113133420366, 166.76210377804705, 155.43237202860405, 150.32788846084713, 141.32686600806528, 156.84510041420072, 153.85191441342636, 144.2003006524228, 149.7228151512893, 155.7079262854877, 160.47230967971745, 157.23500839030612, 148.82463217579243, 155.6982925399018, 147.264419860619, 153.92185838568412, 152.87142415217795]"
-non_saturating-n_epochs-200-epoch_step-10-g_lr-0.0001-g_alpha-1.5-d_alpha-0.9-beta1-0.5-g_width-64-d_width-64,4,164.80123728172816,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,"[10, 20, 30, 40, 50, 60, 70, 80, 90, 100, 110, 120, 130, 140, 150, 160, 170, 180, 190, 200]","[635.4935673646746, 407.06683498790585, 268.4747513195325, 208.9581433530184, 167.32040920422492, 186.8593979620273, 138.54216688527777, 157.69202971770915, 144.0535502393252, 184.06853205715925, 154.522287965214, 152.03441095830271, 153.1747577271192, 155.6613797731352, 160.4330067571159, 150.92475347248546, 153.47977375106302, 156.96642284503832, 157.43544473245151, 164.80123728172816]"
-non_saturating-n_epochs-200-epoch_step-10-g_lr-0.0001-g_alpha-1.5-d_alpha-1-beta1-0.5-g_width-64-d_width-64,4,164.03884841699983,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,9,"[10, 20, 30, 40, 50, 60, 70, 80, 90, 100, 110, 120, 130, 140, 150, 160, 170, 180, 190, 200]","[591.5803952757819, 346.4080067807886, 282.39977016870307, 204.5684222934674, 203.1668171964966, 169.86970526902405, 152.8263990095811, 154.65282878861626, 157.57349039767314, 159.45174997296158, 166.2478997024209, 166.96631109199075, 157.77809573646755, 152.76866699330276, 161.68603255549806, 161.98753451244534, 162.90376818570667, 160.56729318111775, 166.87724087116067, 164.03884841699983]"
-non_saturating-n_epochs-200-epoch_step-10-g_lr-0.0002-g_alpha-0.8-d_alpha-0.9-beta1-0.5-g_width-64-d_width-64,4,159.32519640088776,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,"[10, 20, 30, 40, 50, 60, 70, 80, 90, 100, 110, 120, 130, 140, 150, 160, 170, 180, 190, 200]","[483.4717258451278, 306.85723307439866, 230.49517032062113, 224.6116523095161, 151.28599469188384, 148.1090607913693, 152.03637835181735, 150.1084558181053, 152.02514365905677, 145.95217113270655, 150.96351124494777, 161.11882489528853, 151.8446417068767, 146.42563449539875, 151.07184517252608, 149.91658515380436, 153.62302234848448, 161.4682760727428, 158.29527500752283, 159.32519640088776]"
