Setting,Seed,FID Score,0.0-1,0.0-3,0.0-5,0.0-10,0.1-1,0.1-3,0.1-5,0.1-10,0.2-1,0.2-3,0.2-5,0.2-10,0.3-1,0.3-3,0.3-5,0.3-10,0.4-1,0.4-3,0.4-5,0.4-10,0.5-1,0.5-3,0.5-5,0.5-10,0.6-1,0.6-3,0.6-5,0.6-10,0.7-1,0.7-3,0.7-5,0.7-10,0.8-1,0.8-3,0.8-5,0.8-10,0.9-1,0.9-3,0.9-5,0.9-10,Epochs,FIDs
-non_saturating-n_epochs-200-epoch_step-10-g_lr-0.0001-g_alpha-1-d_alpha-0.8-beta1-0.5-g_width-64-d_width-64,1,168.30876939511563,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,9,"[10, 20, 30, 40, 50, 60, 70, 80, 90, 100, 110, 120, 130, 140, 150, 160, 170, 180, 190, 200]","[707.7273478442075, 507.1572856684718, 298.80529298885403, 204.9903703157347, 263.113174499224, 148.05656514413886, 165.3428380390999, 169.27180918470276, 164.648008322255, 196.12111949868495, 159.2623077871424, 172.11260765633506, 160.9026861039888, 167.96788716319725, 163.35387670356727, 164.28475239267095, 168.0806090069898, 169.97157976506924, 161.3252417266749, 168.30876939511563]"
-non_saturating-n_epochs-200-epoch_step-10-g_lr-0.0001-g_alpha-1-d_alpha-1.1-beta1-0.5-g_width-64-d_width-64,1,173.3882049436338,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,9,"[10, 20, 30, 40, 50, 60, 70, 80, 90, 100, 110, 120, 130, 140, 150, 160, 170, 180, 190, 200]","[562.7986587150285, 486.44213455047725, 314.6170796578524, 224.02089743549186, 182.08028124826546, 139.80719584578264, 176.48875307402568, 164.56689089081578, 167.57512921867146, 162.7754969615164, 174.49506849784711, 175.5504654602123, 168.91582769352135, 169.64097072705385, 167.01406089224565, 168.1647947284332, 169.68149524364298, 169.80210614187672, 181.57454740165826, 173.3882049436338]"
-non_saturating-n_epochs-200-epoch_step-10-g_lr-0.0001-g_alpha-0.9-d_alpha-1.1-beta1-0.5-g_width-64-d_width-64,1,168.96626945369417,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,9,"[10, 20, 30, 40, 50, 60, 70, 80, 90, 100, 110, 120, 130, 140, 150, 160, 170, 180, 190, 200]","[649.1681543230809, 513.297818084, 277.48861718672856, 223.5742525115686, 178.32572909461032, 165.88568312512666, 164.3269937798841, 154.35143645645803, 163.1009329322253, 167.411025150755, 153.9386227400546, 161.87790662080238, 166.75201024579474, 173.4075138466369, 167.52503235822587, 165.64929171939275, 167.59950893273958, 163.83276677428762, 173.46449660312442, 168.96626945369417]"
-non_saturating-n_epochs-200-epoch_step-10-g_lr-0.0001-g_alpha-1-d_alpha-1.5-beta1-0.5-g_width-64-d_width-64,1,160.13717218186503,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,9,9,"[10, 20, 30, 40, 50, 60, 70, 80, 90, 100, 110, 120, 130, 140, 150, 160, 170, 180, 190, 200]","[653.0653362998892, 440.9510427424934, 365.58860510772456, 269.36957132467955, 188.45144474731, 176.80456728529998, 184.2565976869414, 164.5701414815826, 159.83980532767964, 165.17623015690288, 154.64867821266034, 165.0250386169082, 165.84387013081914, 157.00821920246108, 161.41935766321512, 159.41679567646815, 161.69047518054458, 167.78418912575398, 165.8140261215931, 160.13717218186503]"
-non_saturating-n_epochs-200-epoch_step-10-g_lr-0.0001-g_alpha-1.1-d_alpha-0.8-beta1-0.5-g_width-64-d_width-64,1,178.73430941084075,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,8,"[10, 20, 30, 40, 50, 60, 70, 80, 90, 100, 110, 120, 130, 140, 150, 160, 170, 180, 190, 200]","[765.9201704125649, 560.4871210487768, 363.2129798938654, 178.5225514112551, 217.76680480340178, 184.78452391964174, 178.22157003537427, 175.2775011509218, 170.7834819712591, 168.8902872129297, 159.471853478414, 170.0212959088601, 169.51613071789188, 174.44188880115576, 166.40483559332347, 167.12498427998048, 171.84047729844406, 170.87706319396057, 174.28824045948681, 178.73430941084075]"
-non_saturating-n_epochs-200-epoch_step-10-g_lr-0.0001-g_alpha-1.1-d_alpha-0.9-beta1-0.5-g_width-64-d_width-64,1,166.2298375799685,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,9,"[10, 20, 30, 40, 50, 60, 70, 80, 90, 100, 110, 120, 130, 140, 150, 160, 170, 180, 190, 200]","[560.8844420597998, 413.2756994917049, 319.802346643457, 202.96684158563357, 180.25981862641993, 185.57666304105192, 184.55602898577763, 177.40749279811575, 156.20674335804597, 168.39474813447464, 162.00514290081037, 167.2462115864148, 163.86469597335008, 168.56299494309383, 163.06693070715232, 165.28572715498467, 167.56761722999772, 165.33816214518038, 163.16313921091023, 166.2298375799685]"
-non_saturating-n_epochs-200-epoch_step-10-g_lr-0.0001-g_alpha-1.1-d_alpha-1-beta1-0.5-g_width-64-d_width-64,1,166.9195079422252,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,"[10, 20, 30, 40, 50, 60, 70, 80, 90, 100, 110, 120, 130, 140, 150, 160, 170, 180, 190, 200]","[603.2543649838278, 362.9057739648256, 258.07152112780705, 201.43445589222165, 166.64532464187005, 171.17856323564274, 162.8858567731263, 170.17952691694086, 162.1357942201514, 168.5013667195965, 167.79179375503463, 176.04690824799218, 172.02669194961186, 169.43113724555792, 164.01367218966993, 164.28269689476565, 161.10489725174102, 166.54381931787566, 171.36931591681832, 166.9195079422252]"
-non_saturating-n_epochs-200-epoch_step-10-g_lr-0.0002-g_alpha-1.1-d_alpha-0.9-beta1-0.5-g_width-64-d_width-64,2,166.76067174442096,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,"[10, 20, 30, 40, 50, 60, 70, 80, 90, 100, 110, 120, 130, 140, 150, 160, 170, 180, 190, 200]","[528.4529549069189, 318.51300951372014, 225.96781635829166, 174.1497871331585, 182.03249520884674, 149.1830842854106, 155.30805888374448, 152.50149938394134, 155.93033789227002, 152.2641319059053, 159.53800811107112, 158.71745746388433, 152.81213561881532, 159.8882614264412, 154.56266425856143, 156.32534633251817, 158.94619592622757, 165.36907306300577, 166.48504343710488, 166.76067174442096]"
-non_saturating-n_epochs-200-epoch_step-10-g_lr-0.0002-g_alpha-1.5-d_alpha-1.5-beta1-0.5-g_width-64-d_width-64,2,161.24641212354754,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,9,"[10, 20, 30, 40, 50, 60, 70, 80, 90, 100, 110, 120, 130, 140, 150, 160, 170, 180, 190, 200]","[529.1402546080449, 248.59507633648582, 209.79317055264346, 170.25728827945545, 172.5192701200101, 146.8926933550465, 150.25367499979143, 151.63929164253705, 148.15484509724502, 145.17702135537252, 145.15827080572808, 147.37183945680613, 144.6876303816132, 149.40572300349504, 151.93922524323762, 150.2535519414605, 142.8793458166681, 151.68653761805945, 155.4191605535118, 161.24641212354754]"
-non_saturating-n_epochs-200-epoch_step-10-g_lr-0.0005-g_alpha-0.8-d_alpha-0.8-beta1-0.5-g_width-64-d_width-64,2,162.52888015091776,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,9,"[10, 20, 30, 40, 50, 60, 70, 80, 90, 100, 110, 120, 130, 140, 150, 160, 170, 180, 190, 200]","[532.9798025599027, 337.0717904499097, 222.94310603734561, 172.2245540687527, 153.91489294844177, 142.21782947951124, 150.50084182915361, 148.5527492376243, 153.76534927092098, 152.28538334389373, 161.6256620278691, 144.53203397472862, 151.2644329132279, 154.3735303885469, 160.84857819848912, 159.85150178974277, 164.67480634101366, 170.67759808711412, 168.177796383716, 162.52888015091776]"
