setting,seed,train_test_split,noise_dim,batch_size,save_images,n_epochs,epoch_step,lr,model_width,beta1,amp,d_alpha,g_alpha,non_saturating,ls_gan,errors,epochs,fid_scores,time
non_saturating-n_epochs-150-epoch_step-10-lr-0.0005-d_alpha-0.9-g_alpha-1,2,0.8,100,128,False,150,10,0.0005,64,0.9,False,0.9,1.0,True,False,"[0.02898568608094768, 0.07609822309970385, 0.10665103652517276, 0.19718657453109575, 0.17039733464955578, 0.32956564659427445, 0.21422754195459032, 0.24705083909180653, 0.40004935834155975, 0.3076382033563672, 0.2740868706811451, 0.20108588351431392, 0.26859575518262585, 0.3525419545903258, 0.4425345508390918]","[10, 20, 30, 40, 50, 60, 70, 80, 90, 100, 110, 120, 130, 140, 150]","[747.4768574450459, 222.94444335571188, 142.80931148017385, 88.0505111344537, 65.52849911417002, 67.76123276777162, 59.64807628510357, 51.81995976184817, 62.581175322061085, 63.50582534865123, 75.74449039052888, 81.48857595558229, 69.65771138726507, 75.97696271627967, 72.88479626439266]",4494
non_saturating-n_epochs-150-epoch_step-10-lr-0.001-d_alpha-0.5-g_alpha-1,1,0.8,100,128,False,150,10,0.001,64,0.9,False,0.5,1.0,True,False,"[0.9750246791707798, 0.21419052319842052, 0.02706071076011846, 0.27481490621915106, 0.0814659427443238, 0.06440029615004936, 0.44966683119447187, 0.14610069101678183, 0.1313919052319842, 0.1479269496544916, 0.1505552813425469, 0.1281959526159921, 0.1583415597235933, 0.8533193484698914, 0.3781095755182626]","[10, 20, 30, 40, 50, 60, 70, 80, 90, 100, 110, 120, 130, 140, 150]","[1851.2770739123748, 1707.8471081263838, 1414.856744866019, 2165.0814711250114, 464.713414470094, 390.76967605246364, 180.78654375314636, 169.6071990311616, 200.0309377181153, 84.31345780467666, 101.67353178975554, 95.20604112503179, 527.001729454329, 1214.7286563606553, 520.5347446728018]",4480
non_saturating-n_epochs-150-epoch_step-10-lr-0.0001-d_alpha-0.7-g_alpha-1,2,0.8,100,128,False,150,10,0.0001,64,0.9,False,0.7,1.0,True,False,"[0.03324284304047384, 0.15288746298124384, 0.28456317867719644, 0.11901530108588351, 0.09028874629812439, 0.2464091806515301, 0.25318361303060216, 0.11711500493583415, 0.3555528134254689, 0.1230009871668312, 0.24874136229022706, 0.11578232971372161, 0.18149062191510365, 0.26072309970384994, 0.20932872655478776]","[10, 20, 30, 40, 50, 60, 70, 80, 90, 100, 110, 120, 130, 140, 150]","[524.2345052683894, 155.39901036625452, 95.45839395585176, 86.2189882173061, 74.34427491595557, 68.5876770719517, 55.196551132626155, 60.09151178159675, 60.015282185383626, 65.69378150205921, 57.39389909266947, 61.64598849704112, 58.73806212086606, 55.38071497006263, 51.96296926958564]",4517
non_saturating-n_epochs-150-epoch_step-10-lr-0.001-d_alpha-0.9-g_alpha-1,1,0.8,100,128,False,150,10,0.001,64,0.9,False,0.9,1.0,True,False,"[0.13636475814412635, 0.027813425468904245, 0.30697186574531093, 0.18356367226061204, 0.30244323790720634, 0.2508761105626851, 0.4716806515301086, 0.3477665350444225, 0.45373889437314907, 0.49555774925962487, 0.48579713721618956, 0.26574531095755183, 0.05470138203356367, 0.35157946692991116, 0.06933613030602172]","[10, 20, 30, 40, 50, 60, 70, 80, 90, 100, 110, 120, 130, 140, 150]","[945.7849710754781, 381.9120439727583, 172.60656042886853, 106.53431658455236, 86.78557236391862, 77.80774781118362, 84.07191456333248, 72.74769416372874, 71.84783185823858, 1642.7423114567027, 417.90674652799396, 297.3705578163451, 215.27385084303182, 174.38027261373077, 161.7072518283203]",4507
non_saturating-n_epochs-150-epoch_step-10-lr-0.0006-d_alpha-0.7-g_alpha-1,2,0.8,100,128,False,150,10,0.0006,64,0.9,False,0.7,1.0,True,False,"[0.024481737413622903, 0.07976307996051332, 0.140893385982231, 0.12326011846001975, 0.22026159921026653, 0.20683613030602171, 0.2852541954590326, 0.481256169792695, 0.2758761105626851, 0.24016535044422507, 0.29679170779861797, 0.24299111549851926, 0.1920533070088845, 0.36501727541954593, 0.30286278381046394]","[10, 20, 30, 40, 50, 60, 70, 80, 90, 100, 110, 120, 130, 140, 150]","[1113.582761905796, 363.39941022917674, 146.22223977486078, 105.43893354476427, 95.71594821601866, 76.07354408367382, 57.264698968475614, 64.29223792033645, 53.812656528624984, 51.82064287354865, 60.59220370503931, 57.131476875365934, 59.182281068971065, 74.17979203268169, 60.48637790707983]",4515
non_saturating-n_epochs-150-epoch_step-10-lr-0.0009-d_alpha-0.8-g_alpha-1,1,0.8,100,128,False,150,10,0.0009,64,0.9,False,0.8,1.0,True,False,"[0.02337117472852912, 0.08102171767028628, 0.14555774925962486, 0.1627344521224087, 0.13234205330700888, 0.2128208292201382, 0.40442991115498517, 0.4958785784797631, 0.1684106614017769, 0.38040473840078975, 0.3917201382033564, 0.350357847976308, 0.31955824284304046, 0.2878701875616979, 0.4440646594274432]","[10, 20, 30, 40, 50, 60, 70, 80, 90, 100, 110, 120, 130, 140, 150]","[1047.5168873970006, 387.94159844484614, 173.25566982988153, 103.09282250328056, 81.67764932569116, 65.14936342078704, 49.48153626381395, 49.5434583806566, 50.4828293466976, 46.97481885117895, 54.843823240674055, 55.071501954322, 51.1939314016729, 61.47276703527882, 1847.344147614157]",4503
non_saturating-n_epochs-150-epoch_step-10-lr-0.0001-d_alpha-0.8-g_alpha-1,2,0.8,100,128,False,150,10,0.0001,64,0.9,False,0.8,1.0,True,False,"[0.058995557749259624, 0.1405725567620928, 0.11563425468904245, 0.15613277393879565, 0.1812685093780849, 0.27053307008884503, 0.29078232971372164, 0.2011969397828233, 0.2421767028627838, 0.21447433366238894, 0.29829713721618956, 0.22881293188548865, 0.1961623889437315, 0.22249506416584403, 0.24141164856860808]","[10, 20, 30, 40, 50, 60, 70, 80, 90, 100, 110, 120, 130, 140, 150]","[858.6548359416726, 147.55244297463275, 112.05588418915738, 109.0189381451537, 79.560416178266, 67.03303275999588, 71.19662444360529, 75.86869835259142, 64.78951149819204, 70.12790113178494, 65.21170483039907, 63.712615691244764, 57.05796757405005, 63.65731569065713, 50.64723673929302]",4547
non_saturating-n_epochs-150-epoch_step-10-lr-0.0009-d_alpha-0.9-g_alpha-1,1,0.8,100,128,False,150,10,0.0009,64,0.9,False,0.9,1.0,True,False,"[0.09295409674234946, 0.039486673247778874, 0.1640547877591313, 0.12603652517275418, 0.21963228035538007, 0.14626110562685093, 0.4640918065153011, 0.4982477788746298, 0.43009624876604147, 0.20122161895360316, 0.30655231984205333, 0.3697680157946693, 0.3796767028627838, 0.27045903257650544, 0.2835266535044422]","[10, 20, 30, 40, 50, 60, 70, 80, 90, 100, 110, 120, 130, 140, 150]","[1300.7186179394862, 283.9101523383405, 136.77429015261782, 84.42763965659401, 79.10120136080786, 74.57880672832835, 61.62667173532327, 54.151869474264004, 66.81627178176132, 57.36296631443429, 72.09380078965637, 63.69054876238738, 397.95239133394375, 71.91623040296611, 86.46628019463628]",4558
non_saturating-n_epochs-150-epoch_step-10-lr-0.0001-d_alpha-1-g_alpha-1,1,0.8,100,128,False,150,10,0.0001,64,0.9,False,1.0,1.0,True,False,"[0.02708538993089832, 0.09459526159921026, 0.15871174728529122, 0.09475567620927937, 0.14526159921026655, 0.19323790720631787, 0.22633267522211253, 0.20122161895360316, 0.21504195459032577, 0.16966929911154985, 0.2401406712734452, 0.18460019743336623, 0.3073050345508391, 0.23983218163869693, 0.14613770977295162]","[10, 20, 30, 40, 50, 60, 70, 80, 90, 100, 110, 120, 130, 140, 150]","[629.2070893250409, 161.5595745303268, 92.23053986100877, 64.91732000099421, 60.203931504752745, 64.29896109273909, 56.630815093731144, 52.713135931293664, 58.48665194906857, 56.419343163142685, 48.47705924568345, 48.98400591349082, 52.57833466655018, 50.5913663152221, 47.399556883349305]",4612
non_saturating-n_epochs-150-epoch_step-10-lr-0.0008-d_alpha-0.7-g_alpha-1,1,0.8,100,128,False,150,10,0.0008,64,0.9,False,0.7,1.0,True,False,"[0.20350444225074038, 0.1449284304047384, 0.25661401776900294, 0.3665720631786772, 0.1525542941757157, 0.1407699901283317, 0.3657823297137216, 0.23340325765054293, 0.22852912142152024, 0.41858341559723594, 0.3443237907206318, 0.27105133267522213, 0.32678923988153996, 0.2998766041461007, 0.18439042448173742]","[10, 20, 30, 40, 50, 60, 70, 80, 90, 100, 110, 120, 130, 140, 150]","[1256.446605333409, 494.13588472325534, 190.24821432145563, 108.74425292983278, 81.06188647884119, 79.14744040042285, 85.06954177410717, 93.79880196908562, 67.1769731634945, 52.735431527343735, 61.10870917987609, 104.13597461152017, 59.47373172758978, 76.51180049506934, 81.36081043597494]",4587
