setting,seed,train_test_split,noise_dim,batch_size,save_images,n_epochs,epoch_step,lr,model_width,beta1,amp,d_alpha,g_alpha,non_saturating,ls_gan,errors,epochs,fid_scores,time
non_saturating-n_epochs-150-epoch_step-10-lr-0.0005-d_alpha-0.8-g_alpha-1,47,0.8,100,64,False,150,10,0.0005,64,0.9,False,0.8,1.0,True,False,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.040644240207013474, 0.1101989827786205, 0.14630736741917255, 0.2664554891288183, 0.26794265488831387, 0.28941732845542967, 0.25955504000475893, 0.0988965230064543, 0.22780405103952886, 0.2815650932452931]","[10, 20, 30, 40, 50, 60, 70, 80, 90, 100, 110, 120, 130, 140, 150]","[1941.9392558849545, 1942.4572249470173, 1942.5498648585626, 1942.7947310087773, 1943.6029880768604, 1684.2791815999774, 1573.9738855139874, 1019.2403450918314, 553.6902924121246, 603.919224629014, 540.6222017527621, 408.1111971741798, 410.8746895663312, 388.82343814314413, 453.5161631809033]",7951
non_saturating-n_epochs-150-epoch_step-10-lr-0.0005-d_alpha-0.9-g_alpha-1,47,0.8,100,64,False,150,10,0.0005,64,0.9,False,0.9,1.0,True,False,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[10, 20, 30, 40, 50, 60, 70, 80, 90, 100, 110, 120, 130, 140, 150]","[2475.912610570076, 2476.732967850277, 2475.6430904910953, 2477.1130309159207, 2476.706431087596, 2476.855309397948, 2477.3940259204896, 2475.7565924525184, 2476.278600608759, 2476.9388896712967, 2474.7891686040225, 2477.5400652148683, 2476.3051990268636, 2476.927039771385, 2477.5687986075104]",7996
non_saturating-n_epochs-150-epoch_step-10-lr-0.0001-d_alpha-0.7-g_alpha-1,50,0.8,100,64,False,150,10,0.0001,64,0.9,False,0.7,1.0,True,False,"[0.16494155438565183, 0.13656643169447666, 0.278605633383897, 0.1594390410755183, 0.20836679456292198, 0.18315933493947234, 0.24402902947562535, 0.29142500223074863, 0.1633800303381815, 0.49988102673924034, 0.1890633830046697, 0.12313732488623182, 0.21586210999077957, 0.13854436215460575, 0.24188751078195175]","[10, 20, 30, 40, 50, 60, 70, 80, 90, 100, 110, 120, 130, 140, 150]","[1416.2510341910568, 713.3837796480566, 503.42300517806166, 482.4610850599713, 467.4802716510078, 429.84785497612756, 421.64827920107246, 369.5695513001365, 358.50033344742656, 1655.8215998478684, 443.9239630785921, 357.7677966502115, 332.11730238058954, 346.89373226751786, 343.99095144077796]",7757
non_saturating-n_epochs-150-epoch_step-10-lr-0.0002-d_alpha-1-g_alpha-1,49,0.8,100,64,False,150,10,0.0002,64,0.9,False,1.0,1.0,True,False,"[0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5]","[10, 20, 30, 40, 50, 60, 70, 80, 90, 100, 110, 120, 130, 140, 150]","[2322.7225148756797, 2323.7744799214142, 2324.1190000295396, 2323.5771682975383, 2323.44687790627, 2323.6703644058534, 2323.3893136246834, 2323.440152214532, 2322.949507693066, 2323.0629953443736, 2323.7344547132197, 2323.9754650953346, 2323.485040740577, 2323.0769210245007, 2322.984388869747]",7723
non_saturating-n_epochs-150-epoch_step-10-lr-0.0001-d_alpha-0.8-g_alpha-1,51,0.8,100,64,False,150,10,0.0001,64,0.9,False,0.8,1.0,True,False,"[0.09778114868683263, 0.17774605157490853, 0.15259807858183874, 0.29999107700544303, 0.15821956515273192, 0.15185449570209095, 0.5, 0.15075399304006423, 0.26870110942565656, 0.22375896017370095, 0.22924660182623954, 0.1873531423812498, 0.22530561256357634, 0.09117813271467237, 0.2800481841706077]","[10, 20, 30, 40, 50, 60, 70, 80, 90, 100, 110, 120, 130, 140, 150]","[1481.3984427850437, 828.8249030564011, 595.3313734529286, 441.8194892613835, 454.01066081674935, 402.3587762290242, 914.059691575615, 421.01682911501075, 339.3731607464383, 327.9534593316805, 344.6706952083482, 319.2821905654914, 338.34743664887037, 311.16884590796826, 317.5510448958339]",7312
non_saturating-n_epochs-150-epoch_step-10-lr-0.0005-d_alpha-0.7-g_alpha-1,50,0.8,100,64,False,150,10,0.0005,64,0.9,False,0.7,1.0,True,False,"[0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5]","[10, 20, 30, 40, 50, 60, 70, 80, 90, 100, 110, 120, 130, 140, 150]","[1926.274289308348, 1925.9046869310187, 1926.43530823106, 1925.6579925533918, 1925.6343380744156, 1926.3563683123818, 1926.3010497299736, 1925.7003357720967, 1924.6592383781626, 1927.00140988782, 1927.3950638587883, 1926.861784211038, 1927.2428592390522, 1926.6211008428272, 1926.122897141755]",7810
non_saturating-n_epochs-150-epoch_step-10-lr-0.0004-d_alpha-1-g_alpha-1,47,0.8,100,64,False,150,10,0.0004,64,0.9,False,1.0,1.0,True,False,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[10, 20, 30, 40, 50, 60, 70, 80, 90, 100, 110, 120, 130, 140, 150]","[2629.65464720469, 2629.470353507425, 2629.204997161379, 2629.2104522272866, 2629.234557122212, 2629.573765917693, 2629.372055004792, 2629.5555357507956, 2629.5436181780233, 2629.411374314643, 2629.60942305487, 2629.570975002493, 2629.6878305978735, 2629.1336133516247, 2629.177018333178]",7832
non_saturating-n_epochs-150-epoch_step-10-lr-0.0002-d_alpha-0.6-g_alpha-1,49,0.8,100,64,False,150,10,0.0002,64,0.9,False,0.6,1.0,True,False,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[10, 20, 30, 40, 50, 60, 70, 80, 90, 100, 110, 120, 130, 140, 150]","[2381.556176535316, 2380.2102260557003, 2378.412331331705, 2380.3673935537395, 2380.4234384362526, 2379.3914994072675, 2380.4972469102754, 2380.8818300136963, 2380.899229245938, 2381.5380404491434, 2378.9849679755625, 2379.2941283893656, 2380.1026340419394, 2382.1823885948857, 2381.855589899125]",7793
non_saturating-n_epochs-150-epoch_step-10-lr-0.0004-d_alpha-0.8-g_alpha-1,48,0.8,100,64,False,150,10,0.0004,64,0.9,False,0.8,1.0,True,False,"[0.0, 0.0, 0.33141488950358405, 0.28965527497694893, 0.21618928645786858, 0.177255286874275, 0.29610957437315966, 0.23590910442877963, 0.15720829243627496, 0.26847803456173225, 0.2543202165313346, 0.1314654531394069, 0.23022813122750663, 0.33440409268017013, 0.3016269593408881]","[10, 20, 30, 40, 50, 60, 70, 80, 90, 100, 110, 120, 130, 140, 150]","[2547.5082536579994, 2390.1274784032194, 1867.5106054024504, 1078.019450476967, 825.5923558758436, 606.7608715971965, 496.3778473616437, 443.2367883342845, 469.946688341528, 446.3967508426549, 395.8038653480735, 377.6497898973548, 361.14186418428676, 384.47932596329247, 383.63190892760053]",7810
non_saturating-n_epochs-150-epoch_step-10-lr-0.0003-d_alpha-0.7-g_alpha-1,50,0.8,100,64,False,150,10,0.0003,64,0.9,False,0.7,1.0,True,False,"[0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5]","[10, 20, 30, 40, 50, 60, 70, 80, 90, 100, 110, 120, 130, 140, 150]","[3220.57671338726, 3224.9426200275425, 3225.3997954217252, 3216.0026407828022, 3219.151232116224, 3227.086188386731, 3222.352189698864, 3219.434512564497, 3217.522243792989, 3228.553533720862, 3230.5882270824777, 3225.2509177750494, 3228.957565843271, 3226.8376014132696, 3218.960146782879]",7878
