Setting,Seed,0.0-1,0.0-3,0.0-5,0.0-10,0.1-1,0.1-3,0.1-5,0.1-10,0.2-1,0.2-3,0.2-5,0.2-10,0.3-1,0.3-3,0.3-5,0.3-10,0.4-1,0.4-3,0.4-5,0.4-10,0.5-1,0.5-3,0.5-5,0.5-10,0.6-1,0.6-3,0.6-5,0.6-10,0.7-1,0.7-3,0.7-5,0.7-10,0.8-1,0.8-3,0.8-5,0.8-10,0.9-1,0.9-3,0.9-5,0.9-10
-non_saturating-n_epochs-50-d_alpha-1,10,825,647,532,413,806,622,512,401,736,529,440,336,660,434,364,258,553,350,280,180,456,257,202,116,378,190,137,71,278,115,70,34,167,54,28,9,62,14,6,0
-non_saturating-n_epochs-50-d_alpha-1.5,9,694,495,397,291,662,463,374,282,578,388,320,240,485,307,251,178,389,244,187,130,317,178,143,101,235,139,102,63,186,86,66,29,124,42,25,13,46,12,6,2
-non_saturating-n_epochs-50-d_alpha-3,9,799,607,519,383,769,567,485,341,687,477,379,251,584,363,281,181,467,262,204,130,387,192,152,83,279,134,89,53,193,81,56,34,121,42,28,15,46,15,10,1
-non_saturating-n_epochs-50-d_alpha-2,9,821,669,574,433,781,612,511,388,674,486,398,281,567,372,287,186,446,255,188,107,335,168,119,62,249,113,64,30,171,50,33,10,79,15,9,1,17,2,1,0
-non_saturating-n_epochs-50-d_alpha-3,8,374,264,214,164,329,237,193,147,259,167,143,114,184,127,110,86,152,96,78,58,112,68,58,32,77,47,31,18,48,19,12,6,23,8,2,0,2,0,0,0
-non_saturating-n_epochs-50-d_alpha-2,10,745,531,428,309,673,481,385,281,554,355,284,206,424,270,203,130,324,188,135,81,240,123,80,44,173,74,42,25,106,36,25,12,57,17,8,2,16,3,1,0
-non_saturating-n_epochs-50-d_alpha-3,10,458,295,237,183,371,232,192,143,256,164,130,100,177,110,96,59,128,76,53,40,88,46,41,24,60,32,23,14,40,18,13,7,22,6,3,1,8,0,0,0
-non_saturating-n_epochs-50-d_alpha-1,11,670,454,361,248,617,411,325,230,508,329,249,171,388,231,173,115,290,161,123,85,206,108,84,53,137,71,53,38,88,48,35,23,56,25,17,7,24,8,4,0
-non_saturating-n_epochs-50-d_alpha-1.5,10,703,505,421,310,669,474,388,287,566,383,316,226,463,303,245,165,384,233,173,112,299,165,119,83,235,114,82,45,160,67,53,29,80,42,26,11,30,7,6,3
-non_saturating-n_epochs-50-d_alpha-1.2,11,13,12,11,11,13,11,11,9,9,9,8,6,6,6,6,4,4,3,2,2,2,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-non_saturating-n_epochs-50-d_alpha-1.2,9,584,388,323,240,553,368,308,233,480,314,262,188,406,258,207,147,335,203,154,109,274,158,115,94,210,120,98,74,148,93,76,47,108,61,47,28,64,28,23,11
-non_saturating-n_epochs-50-d_alpha-1.2,10,64,51,44,41,19,13,11,10,8,4,3,2,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-non_saturating-n_epochs-50-d_alpha-1.5,11,721,557,468,358,700,530,450,339,630,454,384,285,562,375,311,212,470,304,235,140,386,229,160,96,305,154,110,67,224,102,72,40,143,61,38,26,74,24,16,11
-non_saturating-n_epochs-50-d_alpha-2,11,549,380,306,221,465,321,256,190,344,225,174,127,253,144,111,75,169,96,70,45,115,58,48,28,75,35,27,15,41,20,13,9,16,4,4,2,2,1,1,0
-non_saturating-n_epochs-50-d_alpha-1.2,12,738,554,459,325,699,515,422,296,606,410,332,230,495,306,235,164,381,215,167,117,292,162,121,71,222,110,76,45,161,65,44,21,86,30,19,9,29,14,6,3
-non_saturating-n_epochs-50-d_alpha-1,13,861,680,575,430,834,654,542,403,758,556,448,328,652,436,341,247,545,327,259,169,446,252,184,103,354,178,116,56,248,111,60,32,151,48,31,10,64,12,6,3
-non_saturating-n_epochs-50-d_alpha-2,12,886,692,582,421,845,637,534,379,737,520,408,271,623,384,290,161,490,259,174,95,380,164,95,43,252,92,53,21,149,41,21,11,63,14,9,3,14,5,1,0
-non_saturating-n_epochs-50-d_alpha-3,12,648,462,382,289,619,428,367,269,528,344,287,214,429,271,217,154,341,202,163,116,263,152,116,77,202,100,77,44,147,63,42,22,80,26,15,7,29,6,3,2
-non_saturating-n_epochs-50-d_alpha-1,12,818,625,519,371,799,601,490,359,738,510,416,302,642,411,339,232,527,335,260,170,430,261,191,121,361,197,139,85,260,129,86,54,159,70,49,20,79,29,9,5
-non_saturating-n_epochs-50-d_alpha-1.5,13,658,459,383,292,620,434,362,275,524,358,302,206,420,283,216,160,337,212,165,113,264,155,119,79,204,117,77,55,147,73,49,28,85,35,21,13,30,9,7,2
-non_saturating-n_epochs-50-d_alpha-3,11,377,243,197,151,307,199,161,129,217,139,112,85,156,94,74,56,108,63,49,32,65,40,28,20,47,21,17,12,26,13,9,6,10,4,4,3,4,1,1,1
-non_saturating-n_epochs-50-d_alpha-1,14,754,554,440,317,740,529,422,301,664,443,346,244,551,350,268,188,443,259,201,142,354,194,153,98,262,146,107,71,197,96,77,45,130,53,39,16,46,13,6,2
-non_saturating-n_epochs-50-d_alpha-2,13,782,585,496,379,751,553,471,354,665,475,390,290,574,379,301,191,468,288,203,146,373,203,153,90,273,141,100,56,187,94,55,22,116,42,21,5,54,6,3,0
-non_saturating-n_epochs-50-d_alpha-1.5,12,217,130,113,79,158,109,86,58,109,62,49,34,66,38,30,27,43,29,25,19,31,20,18,17,24,17,14,10,17,9,7,5,8,4,4,4,3,2,2,0
-non_saturating-n_epochs-50-d_alpha-3,13,271,186,158,121,228,159,131,103,162,113,93,78,117,84,72,63,88,67,53,42,73,45,36,29,52,33,26,18,32,18,16,10,19,10,9,6,8,1,1,1
-non_saturating-n_epochs-50-d_alpha-1.5,14,807,585,465,330,773,538,433,308,653,425,336,247,524,317,261,166,408,230,169,116,315,158,120,72,242,114,76,45,152,66,47,30,85,32,22,12,29,12,6,2
-non_saturating-n_epochs-50-d_alpha-3,14,447,295,246,191,357,245,206,162,273,181,153,111,202,128,98,68,143,80,63,42,105,52,40,20,65,29,16,10,38,13,9,8,21,7,4,3,8,1,0,0
-non_saturating-n_epochs-50-d_alpha-1.2,13,775,600,509,380,751,564,476,354,665,471,391,271,555,373,296,202,455,285,214,126,366,200,135,84,272,129,85,47,179,78,45,26,113,35,23,8,41,11,6,3
-non_saturating-n_epochs-50-d_alpha-1,15,876,702,599,474,866,678,580,455,811,606,514,394,724,519,427,325,633,434,352,237,550,355,279,169,465,274,196,104,382,178,117,57,262,102,64,27,118,33,18,7
-non_saturating-n_epochs-50-d_alpha-2,14,825,616,499,360,793,573,474,337,696,477,376,266,576,367,278,186,457,275,199,133,382,193,134,85,292,133,88,52,201,81,52,24,115,43,21,8,50,10,4,1
-non_saturating-n_epochs-50-d_alpha-1.2,14,619,409,335,269,581,394,323,257,498,338,284,220,412,288,232,180,343,221,186,140,282,179,142,105,220,135,104,67,163,96,64,35,106,45,34,17,52,17,13,6
-non_saturating-n_epochs-50-d_alpha-1.5,15,671,467,391,284,630,443,380,272,543,379,307,228,458,314,258,182,383,241,185,135,321,183,137,90,247,135,99,67,183,90,64,39,121,56,40,23,60,16,9,2
-non_saturating-n_epochs-50-d_alpha-1.2,15,812,603,505,355,786,582,487,335,697,509,399,279,612,399,310,215,506,314,243,163,422,235,173,118,327,166,128,74,241,114,77,49,157,68,45,20,83,22,14,1
-non_saturating-n_epochs-50-d_alpha-2,15,751,549,461,335,703,506,418,308,590,392,321,230,471,303,238,169,384,231,176,110,301,163,109,60,236,94,65,33,143,57,27,12,68,21,9,4,27,3,2,0
-non_saturating-n_epochs-50-d_alpha-3,15,395,259,208,147,275,177,135,97,168,88,69,55,95,51,42,34,58,32,26,19,35,21,16,11,19,11,9,6,14,6,6,4,11,4,3,1,1,1,1,1
-non_saturating-n_epochs-50-d_alpha-1.2,16,683,497,416,308,643,470,386,289,556,397,333,243,467,324,257,191,380,255,199,142,319,189,146,106,242,141,112,68,182,99,70,44,132,56,42,25,55,20,13,6
-non_saturating-n_epochs-50-d_alpha-2,16,815,648,533,401,791,631,516,386,733,540,441,323,652,445,344,232,554,343,263,164,446,260,184,116,356,176,127,79,265,121,86,44,182,65,40,18,87,19,9,3
-non_saturating-n_epochs-50-d_alpha-3,16,758,550,470,336,720,516,438,303,636,435,343,245,533,342,264,186,429,253,189,136,346,188,148,95,276,139,108,70,194,100,73,40,134,63,41,15,68,21,10,4
-non_saturating-n_epochs-50-d_alpha-1.2,17,749,549,449,312,714,515,417,291,621,421,325,240,522,327,251,187,422,249,200,132,331,187,150,93,252,147,102,52,188,94,55,32,122,46,30,19,58,19,13,9
-non_saturating-n_epochs-50-d_alpha-1,16,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0
-non_saturating-n_epochs-50-d_alpha-1.5,16,776,623,537,405,746,584,500,371,669,490,394,275,588,377,300,194,464,277,205,130,360,193,132,80,259,115,81,45,182,71,41,26,99,33,24,9,34,10,7,2
-non_saturating-n_epochs-50-d_alpha-1.5,17,782,595,518,367,753,574,492,351,666,498,394,282,566,387,307,220,468,292,229,159,379,232,180,101,299,164,117,59,217,107,61,34,145,49,25,10,62,11,5,0
-non_saturating-n_epochs-50-d_alpha-1,17,671,476,388,282,647,454,364,257,549,378,298,193,456,278,201,144,351,199,147,103,271,147,110,79,190,106,77,51,137,71,51,26,79,35,24,13,33,9,3,0
-non_saturating-n_epochs-50-d_alpha-2,17,719,475,382,264,698,456,362,254,610,390,304,195,506,302,227,146,411,218,165,107,315,152,114,83,224,112,88,67,170,89,73,53,114,63,50,27,57,25,17,4
-non_saturating-n_epochs-50-d_alpha-1,18,856,657,550,399,836,635,526,382,761,544,439,313,657,436,351,234,546,349,267,162,452,259,190,102,348,184,120,66,263,105,74,34,167,61,33,14,79,13,4,0
-non_saturating-n_epochs-50-d_alpha-1,19,57,49,44,38,17,15,14,13,9,6,6,4,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-non_saturating-n_epochs-50-d_alpha-3,17,442,280,225,162,373,222,179,135,242,157,127,84,168,105,79,55,127,68,54,37,87,46,36,26,52,32,24,21,34,23,18,15,27,15,12,10,11,5,3,3
-non_saturating-n_epochs-50-d_alpha-3,18,797,587,482,342,761,547,437,314,664,445,334,234,538,329,253,161,411,246,185,107,322,172,113,64,251,108,71,41,163,63,40,21,92,27,18,8,32,11,9,3
-non_saturating-n_epochs-50-d_alpha-2,18,889,725,619,459,865,702,589,437,797,609,505,350,717,500,381,253,624,385,277,179,509,285,198,115,408,193,140,59,298,126,77,24,189,49,23,6,73,7,3,1
-non_saturating-n_epochs-50-d_alpha-1.2,18,893,716,617,455,880,697,588,426,811,592,488,342,709,472,373,251,606,377,277,167,499,271,187,97,378,180,111,48,274,102,52,22,158,32,15,6,46,6,4,1
-non_saturating-n_epochs-50-d_alpha-1.2,19,8,6,6,5,3,3,3,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-non_saturating-n_epochs-50-d_alpha-1.5,19,816,647,561,425,787,627,528,401,707,536,433,317,624,425,349,242,516,326,254,161,419,259,177,102,340,175,119,65,249,106,76,29,162,54,28,8,58,13,7,2
-non_saturating-n_epochs-50-d_alpha-2,19,800,619,519,369,769,577,474,348,669,482,384,262,564,383,285,197,447,276,206,134,365,193,142,91,282,136,97,56,184,86,54,26,110,41,22,10,40,8,4,2
-non_saturating-n_epochs-50-d_alpha-3,19,436,328,288,210,376,267,233,175,288,198,154,112,204,128,101,75,147,91,72,43,103,57,38,28,68,31,23,17,38,20,16,7,23,7,4,3,3,1,1,0
-non_saturating-n_epochs-50-d_alpha-1,20,32,27,23,19,31,26,22,17,24,19,16,13,17,11,10,9,9,8,8,7,8,5,5,5,4,4,3,3,2,2,2,1,1,0,0,0,0,0,0,0
-non_saturating-n_epochs-50-d_alpha-1.2,20,843,660,555,407,826,631,539,382,744,532,436,309,624,420,332,234,510,318,238,151,414,232,169,98,322,157,105,46,224,93,52,27,135,46,25,12,59,15,7,3
-non_saturating-n_epochs-50-d_alpha-3,20,594,387,324,245,562,374,310,231,474,321,251,199,388,253,209,159,315,204,169,113,260,158,125,87,206,116,92,64,156,81,65,40,97,58,36,18,46,16,6,1
-non_saturating-n_epochs-50-d_alpha-1.5,18,838,636,533,391,810,607,510,373,735,522,425,310,636,420,349,234,519,328,263,163,438,263,189,112,347,183,126,78,251,121,85,43,166,62,33,13,81,23,9,2
-non_saturating-n_epochs-50-d_alpha-1.5,20,712,522,423,330,677,485,407,315,589,412,350,260,505,339,281,196,416,258,208,121,333,183,134,78,243,132,91,44,170,79,43,19,116,30,13,8,37,8,4,3
-non_saturating-n_epochs-50-d_alpha-2,20,710,511,432,324,684,487,407,308,588,424,347,244,500,332,261,178,401,241,196,126,311,179,135,84,248,128,96,56,178,83,49,24,105,36,20,12,41,13,8,5
-non_saturating-n_epochs-50-d_alpha-3,22,444,295,237,168,346,228,182,138,225,147,122,86,150,92,75,52,113,60,45,32,64,35,23,17,39,18,13,10,15,10,8,5,9,5,5,3,4,0,0,0
-non_saturating-n_epochs-50-d_alpha-1.5,23,801,594,486,370,773,563,477,359,696,487,411,291,585,407,326,217,490,309,239,160,387,232,171,105,310,166,118,77,216,111,83,52,145,72,47,18,74,20,10,1
-non_saturating-n_epochs-50-d_alpha-1.2,23,654,488,419,328,630,468,408,317,550,402,338,252,454,321,263,184,395,249,194,130,309,186,134,76,231,124,81,45,169,74,41,21,97,27,16,9,32,7,3,2
-non_saturating-n_epochs-50-d_alpha-1.5,21,784,600,502,383,757,572,481,363,688,495,412,302,590,406,329,227,496,315,244,162,410,239,175,106,334,169,115,71,248,108,67,31,156,47,27,11,49,13,7,2
-non_saturating-n_epochs-50-d_alpha-1.2,21,874,682,578,439,846,649,563,424,780,581,489,358,685,476,393,272,590,388,291,191,485,288,215,115,382,212,130,67,290,124,78,32,186,60,26,14,77,13,8,3
-non_saturating-n_epochs-50-d_alpha-2,22,642,462,376,277,621,439,357,266,531,370,300,216,449,302,237,167,384,234,178,128,307,175,136,90,240,128,90,55,174,85,63,36,104,47,34,24,48,21,14,5
-non_saturating-n_epochs-50-d_alpha-2,21,495,353,285,215,406,283,231,170,302,180,150,108,206,118,96,57,143,73,54,32,92,40,26,16,48,21,13,9,26,8,6,3,12,1,1,1,0,0,0,0
-non_saturating-n_epochs-50-d_alpha-1.2,22,703,519,430,312,679,494,412,297,610,425,347,245,515,343,260,195,414,243,202,142,334,184,143,99,254,134,100,64,186,91,64,34,121,48,25,15,43,15,8,3
-non_saturating-n_epochs-50-d_alpha-1.5,22,800,589,497,364,758,558,464,339,665,463,378,274,561,374,291,200,464,289,217,146,376,208,153,97,282,141,106,56,208,90,55,29,128,44,27,10,52,13,6,1
-non_saturating-n_epochs-50-d_alpha-3,21,341,217,174,132,285,181,154,111,210,131,109,83,140,91,76,62,100,68,58,40,78,44,34,20,47,25,17,9,27,11,7,4,12,3,2,2,2,1,1,0
-non_saturating-n_epochs-50-d_alpha-3,23,721,508,419,311,670,464,383,287,552,369,303,211,453,282,221,152,355,206,156,100,278,143,101,67,206,100,67,37,133,63,39,14,81,27,13,4,22,4,2,1
-non_saturating-n_epochs-50-d_alpha-2,23,769,576,471,340,733,540,447,320,631,451,354,249,529,341,256,180,435,242,188,118,325,174,131,81,229,121,88,41,160,68,42,23,98,31,19,8,35,11,5,2
-non_saturating-n_epochs-50-d_alpha-1.5,24,82,56,47,37,40,32,27,23,23,15,12,10,11,8,6,6,8,6,5,4,6,4,4,4,4,2,2,2,2,1,0,0,0,0,0,0,0,0,0,0
-non_saturating-n_epochs-50-d_alpha-2,24,854,656,534,372,833,625,498,349,739,521,402,278,632,408,311,212,525,308,230,153,429,226,171,103,327,164,115,68,237,110,75,43,154,60,39,13,66,17,8,2
-non_saturating-n_epochs-50-d_alpha-1.2,24,764,572,471,350,739,546,447,339,655,461,379,272,576,376,302,211,474,299,235,151,380,217,168,106,304,161,122,65,211,113,73,36,142,50,34,15,58,17,11,4
-non_saturating-n_epochs-50-d_alpha-1.2,25,647,441,350,263,615,408,333,251,498,329,271,207,409,260,215,155,323,211,169,109,257,159,120,82,202,109,81,50,143,66,51,28,85,38,26,13,38,8,7,4
-non_saturating-n_epochs-50-d_alpha-2,25,703,502,423,306,676,471,384,283,568,391,308,240,470,306,254,183,390,243,193,115,308,174,122,76,235,122,89,42,160,66,41,19,87,32,19,9,32,8,5,2
-non_saturating-n_epochs-50-d_alpha-3,24,769,573,478,331,738,545,446,310,651,439,349,250,533,342,270,190,425,261,193,134,336,190,143,91,260,135,87,54,193,86,55,21,118,32,17,4,39,3,1,0
-non_saturating-n_epochs-50-d_alpha-1.5,25,116,76,61,52,89,56,50,44,48,36,34,30,31,23,19,12,18,8,7,6,6,5,3,1,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
-non_saturating-n_epochs-50-d_alpha-3,27,643,440,341,249,555,356,291,202,420,257,186,125,307,154,124,78,222,110,81,49,140,72,41,24,90,35,19,12,47,13,10,4,23,6,1,0,3,0,0,0
-non_saturating-n_epochs-50-d_alpha-1.5,27,767,539,439,309,748,515,429,299,670,452,373,260,574,360,280,188,463,276,210,142,364,208,150,105,272,145,114,80,200,109,84,56,144,71,42,26,69,22,12,4
-non_saturating-n_epochs-50-d_alpha-1.2,28,763,555,445,313,712,510,406,293,600,395,301,220,473,282,236,148,361,213,156,105,280,142,104,71,183,99,76,42,128,65,44,18,76,28,16,6,26,6,2,1
-non_saturating-n_epochs-50-d_alpha-1.5,26,756,548,461,310,716,514,426,284,593,399,307,202,458,291,214,137,355,205,137,86,278,125,90,61,196,85,62,30,140,45,25,15,62,18,13,6,16,3,1,0
-non_saturating-n_epochs-50-d_alpha-1.2,26,810,604,508,366,772,565,479,332,670,453,375,257,547,346,264,177,426,252,193,128,319,184,135,72,242,123,77,36,166,68,42,17,98,25,14,7,30,4,2,0
-non_saturating-n_epochs-50-d_alpha-2,26,112,72,62,42,91,61,50,37,63,40,35,25,39,29,24,18,32,18,17,15,21,15,14,12,17,12,10,9,11,9,7,5,6,4,4,4,4,2,2,2
-non_saturating-n_epochs-50-d_alpha-3,26,411,263,214,144,348,219,174,126,235,146,111,78,168,95,66,51,111,59,46,30,63,38,28,16,38,22,15,10,24,11,11,5,10,6,5,3,4,1,1,1
-non_saturating-n_epochs-50-d_alpha-1.2,27,624,449,383,271,598,422,358,260,508,351,293,216,426,283,227,159,347,213,165,123,263,159,121,89,215,116,89,48,164,79,50,28,90,40,25,15,42,14,9,2
-non_saturating-n_epochs-50-d_alpha-3,25,449,295,235,177,335,201,168,119,195,121,100,67,120,78,58,33,75,39,29,22,39,26,18,11,26,15,9,5,13,7,5,3,6,2,2,0,0,0,0,0
-non_saturating-n_epochs-50-d_alpha-2,27,705,497,407,284,677,472,390,275,582,396,311,221,487,313,242,169,383,223,175,118,307,168,121,77,229,110,80,50,162,71,54,29,99,45,29,17,44,16,11,7
-non_saturating-n_epochs-50-d_alpha-1.5,28,795,560,463,317,760,532,432,305,685,445,351,256,573,358,286,209,471,280,226,156,370,223,167,98,284,168,112,71,214,98,60,34,143,55,33,9,47,11,3,1
-non_saturating-n_epochs-50-d_alpha-2,28,666,478,391,290,642,450,375,281,551,389,316,231,471,315,256,176,399,251,194,130,327,195,143,95,271,137,110,62,200,94,68,37,137,59,33,19,55,15,10,4
-non_saturating-n_epochs-50-d_alpha-3,28,873,709,608,450,840,661,561,395,760,551,439,298,660,430,321,198,543,309,221,118,413,213,137,71,312,129,77,40,217,68,38,18,121,34,18,6,48,5,2,0
-non_saturating-n_epochs-50-d_alpha-1.5,29,701,512,437,319,676,491,422,306,593,428,347,255,502,347,276,189,417,279,211,151,352,217,167,107,288,161,113,65,213,104,74,44,140,63,40,20,65,22,17,10
-non_saturating-n_epochs-50-d_alpha-1.2,29,836,650,521,393,817,617,497,377,727,507,412,293,640,415,324,225,534,312,243,159,429,234,179,111,334,170,126,72,248,122,78,39,171,58,32,17,76,21,6,1
-non_saturating-n_epochs-50-d_alpha-2,29,740,524,414,300,700,492,394,282,623,406,322,233,510,320,248,175,404,250,189,127,320,185,138,88,250,131,97,66,187,95,65,29,116,49,26,17,52,14,5,2
-non_saturating-n_epochs-50-d_alpha-3,29,718,550,457,318,694,528,428,302,621,438,345,251,516,324,265,200,424,259,208,140,334,206,155,100,272,151,110,64,197,103,67,38,122,52,35,14,55,16,7,1
-non_saturating-n_epochs-50-d_alpha-1.2,30,862,687,575,401,843,651,547,371,772,553,430,298,671,427,320,234,547,327,247,178,433,248,194,126,336,181,136,69,249,117,75,32,158,50,24,9,55,9,5,2
-non_saturating-n_epochs-50-d_alpha-2,30,647,430,329,228,570,356,279,199,430,260,202,146,329,182,146,99,234,132,97,55,170,83,64,38,128,56,37,27,85,33,29,19,45,24,19,8,19,5,3,0
-non_saturating-n_epochs-50-d_alpha-1.5,30,809,563,463,332,796,551,450,324,715,487,406,284,625,410,341,232,538,347,276,179,464,281,220,140,386,215,155,99,296,163,114,72,225,103,76,44,109,53,28,13
-non_saturating-n_epochs-50-d_alpha-2,32,790,599,490,352,749,564,443,313,645,429,345,231,524,325,239,170,412,229,168,118,314,162,120,78,241,114,88,53,163,79,61,28,108,42,22,5,38,6,1,0
-non_saturating-n_epochs-50-d_alpha-3,32,655,463,379,263,611,425,354,233,511,340,259,189,412,242,188,132,327,172,136,96,232,127,101,66,165,90,63,41,112,59,41,29,70,31,17,7,24,7,2,0
-non_saturating-n_epochs-50-d_alpha-1.2,33,167,125,111,90,147,110,96,76,111,78,69,53,77,55,45,35,64,40,32,27,45,25,22,21,31,19,16,13,21,10,9,7,9,5,2,1,3,0,0,0
-non_saturating-n_epochs-50-d_alpha-3,30,371,243,211,166,296,200,173,128,211,135,110,78,147,91,70,47,100,57,39,34,70,39,31,22,45,26,17,11,23,12,9,6,12,5,4,3,4,0,0,0
-non_saturating-n_epochs-50-d_alpha-3,33,727,548,472,358,683,506,426,320,599,400,326,231,491,305,237,159,389,224,165,104,299,153,109,69,222,102,63,29,145,61,33,12,81,14,9,1,18,2,0,0
-non_saturating-n_epochs-50-d_alpha-1.5,33,795,598,521,404,756,576,487,371,665,487,404,305,571,387,319,230,468,306,239,170,389,229,186,102,306,168,121,57,224,100,62,31,139,55,32,15,60,19,9,6
-non_saturating-n_epochs-50-d_alpha-2,33,902,735,648,491,877,701,609,460,806,618,515,378,719,514,416,291,618,404,311,192,521,301,219,107,404,203,125,55,290,120,66,23,180,52,30,8,71,12,6,4
-non_saturating-n_epochs-50-d_alpha-1.5,31,682,493,396,301,643,443,376,286,554,371,314,223,455,309,248,174,368,232,177,126,304,179,138,88,235,118,86,52,161,82,52,24,100,28,16,3,32,4,1,0
-non_saturating-n_epochs-50-d_alpha-1.2,31,763,597,492,369,743,567,458,339,675,474,377,259,565,354,274,188,443,260,195,125,352,190,141,82,261,127,89,53,184,80,54,27,98,35,18,5,28,6,2,0
-non_saturating-n_epochs-50-d_alpha-2,31,727,500,395,267,683,448,346,242,544,343,260,178,419,242,181,125,315,171,134,93,241,117,97,66,175,86,64,45,124,60,45,26,84,36,24,15,32,18,11,8
-non_saturating-n_epochs-50-d_alpha-1.5,32,707,499,397,272,644,458,363,248,543,356,259,177,428,230,184,123,326,162,125,90,233,114,90,63,154,87,68,35,111,57,36,21,64,28,22,14,25,13,10,6
-non_saturating-n_epochs-50-d_alpha-1.2,34,735,538,451,334,705,512,425,314,614,432,360,240,516,336,269,174,425,251,189,125,346,188,138,89,271,136,97,53,188,90,62,28,116,45,26,13,40,12,9,4
-non_saturating-n_epochs-50-d_alpha-1.2,32,834,631,522,379,800,595,479,345,698,471,372,255,568,353,267,181,453,257,194,117,340,183,131,72,250,117,77,39,175,77,44,22,100,34,21,14,32,14,10,6
-non_saturating-n_epochs-50-d_alpha-3,31,226,152,127,103,163,122,110,87,118,82,78,57,81,54,42,28,50,32,24,20,36,20,19,12,20,13,11,7,13,7,4,2,3,2,1,1,1,0,0,0
-non_saturating-n_epochs-50-d_alpha-2,34,676,470,392,292,626,446,369,275,540,358,298,220,439,276,232,164,338,222,169,108,255,158,106,70,197,105,73,43,139,65,47,30,84,34,27,13,30,14,6,3
-non_saturating-n_epochs-50-d_alpha-1.5,34,741,555,451,318,720,535,432,306,636,446,362,269,527,345,289,205,441,284,218,154,362,219,171,112,290,165,126,74,218,116,81,39,149,63,38,9,58,12,4,1
-non_saturating-n_epochs-50-d_alpha-3,34,595,396,311,206,451,288,217,152,304,174,144,91,200,110,83,56,142,69,53,36,94,47,32,25,63,30,25,16,36,18,15,11,21,10,9,4,13,4,2,2
-non_saturating-n_epochs-50-d_alpha-2,35,800,591,483,353,776,562,462,333,668,462,378,264,572,374,290,200,487,287,220,135,396,207,148,102,297,141,103,62,222,97,64,34,140,53,32,15,64,19,7,3
-non_saturating-n_epochs-50-d_alpha-1.5,35,842,653,536,401,816,620,514,381,718,515,420,316,630,429,342,236,525,323,250,170,428,241,184,97,339,168,110,63,260,104,72,33,146,61,34,15,65,19,11,5
-non_saturating-n_epochs-50-d_alpha-1.2,35,45,32,29,23,35,26,25,19,21,14,12,12,13,10,9,8,8,7,7,6,6,6,5,5,5,4,4,4,3,1,1,1,1,1,1,1,1,1,1,1
-non_saturating-n_epochs-50-d_alpha-1.2,36,679,494,429,350,633,463,403,327,527,388,327,251,446,317,251,185,370,233,186,123,280,172,128,82,204,115,86,40,140,64,41,18,72,25,14,5,18,5,4,0
-non_saturating-n_epochs-50-d_alpha-1.5,36,656,451,368,261,633,428,340,253,547,349,280,194,437,272,212,151,353,204,159,105,280,158,118,83,223,120,87,57,159,85,61,37,100,53,40,22,55,22,16,7
-non_saturating-n_epochs-50-d_alpha-2,36,700,526,446,351,680,500,434,341,618,438,381,293,532,375,322,230,458,311,260,176,379,255,190,129,314,183,141,80,249,140,95,55,176,78,47,23,87,21,14,8
-non_saturating-n_epochs-50-d_alpha-3,37,853,650,539,369,823,607,496,337,714,497,388,252,613,383,279,187,506,280,205,125,403,202,135,88,307,138,96,56,217,82,61,32,123,50,29,14,51,11,8,6
-non_saturating-n_epochs-50-d_alpha-3,35,393,272,223,165,305,193,165,132,196,130,105,79,127,78,65,45,91,53,39,24,64,32,22,11,32,16,12,7,14,5,4,3,6,2,2,0,2,0,0,0
-non_saturating-n_epochs-50-d_alpha-3,36,817,646,546,407,773,599,495,362,688,478,387,285,571,372,300,203,471,273,208,130,378,206,135,77,278,133,87,38,197,79,45,9,105,31,12,2,30,1,0,0
-non_saturating-n_epochs-50-d_alpha-2,37,666,477,402,304,632,454,379,286,550,382,315,224,447,301,234,167,371,223,171,125,287,167,133,84,215,125,93,47,162,76,53,35,94,39,30,19,36,15,10,3
-non_saturating-n_epochs-50-d_alpha-1.2,37,764,536,433,318,740,503,415,312,664,437,348,270,557,355,286,208,462,288,222,154,372,227,163,103,301,162,120,77,226,107,75,51,147,71,49,26,74,29,13,5
-non_saturating-n_epochs-50-d_alpha-1.2,38,214,147,112,86,106,59,47,35,42,21,14,14,16,10,9,7,9,4,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-non_saturating-n_epochs-50-d_alpha-1.5,37,685,483,400,275,638,453,368,253,543,345,277,188,425,255,201,140,330,185,144,98,247,139,105,74,183,100,74,49,133,66,49,25,82,35,20,6,31,5,3,2
