Setting,Seed,0.0-1,0.0-3,0.0-5,0.0-10,0.1-1,0.1-3,0.1-5,0.1-10,0.2-1,0.2-3,0.2-5,0.2-10,0.3-1,0.3-3,0.3-5,0.3-10,0.4-1,0.4-3,0.4-5,0.4-10,0.5-1,0.5-3,0.5-5,0.5-10,0.6-1,0.6-3,0.6-5,0.6-10,0.7-1,0.7-3,0.7-5,0.7-10,0.8-1,0.8-3,0.8-5,0.8-10,0.9-1,0.9-3,0.9-5,0.9-10
-non_saturating-n_epochs-50-d_alpha-1.2,90,19,17,16,14,11,10,10,9,4,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-non_saturating-n_epochs-50-d_alpha-1.2,88,85,58,49,40,54,42,35,27,32,20,16,13,14,11,11,10,11,7,5,5,6,4,4,3,3,1,1,1,3,1,1,0,0,0,0,0,0,0,0,0
-non_saturating-n_epochs-50-d_alpha-1.5,89,705,522,413,283,662,484,377,253,569,369,281,194,474,265,198,138,351,195,146,101,254,136,100,61,196,98,67,36,127,54,30,16,67,25,15,10,23,8,6,3
-non_saturating-n_epochs-50-d_alpha-3,90,858,672,559,411,833,642,541,383,757,546,455,323,654,457,362,251,564,360,276,172,465,267,197,115,392,200,138,66,302,129,74,33,204,61,30,14,72,20,10,3
-non_saturating-n_epochs-50-d_alpha-1.5,88,811,593,456,312,780,557,429,299,690,447,355,246,573,353,269,184,468,273,198,143,366,201,150,99,283,150,111,61,216,104,70,39,136,60,32,17,61,17,8,3
-non_saturating-n_epochs-50-d_alpha-3,89,458,314,255,189,372,252,206,154,264,166,132,96,184,104,86,61,122,62,51,38,75,45,33,23,49,26,17,13,28,12,7,4,14,3,1,1,1,1,0,0
-non_saturating-n_epochs-50-d_alpha-2,90,785,566,462,331,756,539,435,315,671,443,362,276,546,360,291,221,467,291,235,148,377,221,157,95,299,157,106,58,221,92,62,36,145,45,33,15,56,17,8,3
-non_saturating-n_epochs-50-d_alpha-3,88,392,264,217,160,306,211,166,119,208,129,101,73,129,81,59,49,84,52,42,26,48,31,23,15,34,17,11,7,20,10,5,5,10,5,3,3,2,2,0,0
-non_saturating-n_epochs-50-d_alpha-2,88,853,656,560,397,826,625,533,374,745,539,438,307,658,423,340,218,539,332,248,166,441,248,186,113,337,185,128,63,246,120,65,26,160,54,27,8,59,9,4,1
-non_saturating-n_epochs-50-d_alpha-2,92,623,422,336,245,581,391,311,236,487,316,255,186,394,249,194,134,296,193,136,96,231,137,101,73,182,96,78,48,132,70,48,32,84,33,23,13,37,10,4,2
-non_saturating-n_epochs-50-d_alpha-1.2,92,758,551,452,312,715,518,432,295,615,409,325,225,503,312,232,153,393,216,153,96,301,139,105,56,209,92,62,37,151,57,39,19,81,30,18,10,33,10,8,5
-non_saturating-n_epochs-50-d_alpha-1.5,92,903,773,683,550,894,752,666,531,848,695,604,458,783,607,520,348,709,521,408,246,630,405,293,152,527,297,193,73,411,189,91,39,265,86,41,15,110,23,12,3
-non_saturating-n_epochs-50-d_alpha-1.2,93,194,141,126,104,96,74,62,53,47,35,32,28,28,22,19,17,17,11,7,5,5,4,2,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-non_saturating-n_epochs-50-d_alpha-3,92,273,188,150,113,217,137,114,90,148,90,78,52,98,55,45,35,58,35,26,20,34,21,14,10,19,11,8,5,9,5,4,1,4,0,0,0,0,0,0,0
-non_saturating-n_epochs-50-d_alpha-2,91,689,482,389,278,659,463,367,263,585,379,305,217,474,301,231,158,385,232,168,109,301,166,115,75,229,123,86,60,167,79,57,43,110,48,38,20,59,22,17,10
-non_saturating-n_epochs-50-d_alpha-1.2,91,683,490,405,296,646,461,381,281,569,379,309,225,459,301,241,170,372,230,178,123,291,173,126,88,227,116,93,61,160,82,62,48,109,56,45,30,66,26,13,7
-non_saturating-n_epochs-50-d_alpha-1.5,91,80,45,36,28,33,17,14,12,7,6,6,4,3,1,1,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-non_saturating-n_epochs-50-d_alpha-1.5,93,707,534,454,340,680,507,432,323,593,420,346,244,501,336,251,171,411,230,174,110,318,165,119,69,222,111,68,33,141,57,36,22,79,25,14,9,26,5,2,1
-non_saturating-n_epochs-50-d_alpha-3,91,839,602,494,361,801,557,464,328,681,455,368,250,571,358,272,170,450,261,177,114,345,176,131,66,256,115,80,42,177,77,48,24,109,34,22,6,49,7,2,2
-non_saturating-n_epochs-50-d_alpha-1.2,94,775,595,511,375,745,575,484,351,657,488,391,280,582,376,301,195,473,285,211,123,377,201,129,78,276,129,80,57,192,80,58,39,115,49,29,12,45,14,9,4
-non_saturating-n_epochs-50-d_alpha-1.5,94,700,519,427,313,670,486,403,297,590,407,324,247,505,309,255,187,402,254,203,141,327,196,151,94,258,140,100,57,172,88,54,29,111,37,23,14,42,14,7,2
-non_saturating-n_epochs-50-d_alpha-2,93,662,506,410,286,633,462,366,262,547,366,280,202,445,274,212,148,347,194,152,106,270,142,109,68,192,99,73,38,132,58,38,16,72,30,15,9,29,8,3,1
-non_saturating-n_epochs-50-d_alpha-3,93,764,566,469,338,728,527,429,304,615,423,329,230,513,318,250,163,389,241,170,103,312,161,114,67,234,102,69,39,161,61,34,18,80,28,18,7,28,7,3,1
-non_saturating-n_epochs-50-d_alpha-1.5,95,818,603,483,344,783,557,443,312,668,463,353,226,568,350,270,167,449,259,181,111,361,181,122,76,283,131,83,50,190,78,50,33,109,43,28,12,46,11,2,0
-non_saturating-n_epochs-50-d_alpha-1.2,95,745,582,502,365,719,552,477,345,632,468,379,275,539,358,281,185,431,265,197,125,341,185,129,81,264,120,82,51,175,73,54,26,102,40,22,7,42,6,2,0
-non_saturating-n_epochs-50-d_alpha-2,94,795,618,526,397,769,584,494,369,681,495,414,300,584,409,320,228,520,319,245,156,423,235,174,102,324,159,107,50,231,105,50,25,146,42,27,13,52,16,9,2
-non_saturating-n_epochs-50-d_alpha-3,94,533,362,302,211,412,283,225,162,279,178,142,105,192,114,92,61,137,73,56,34,93,37,28,16,56,23,13,7,27,8,6,3,9,2,1,0,1,0,0,0
-non_saturating-n_epochs-50-d_alpha-1.5,96,133,85,71,54,85,55,45,37,37,25,22,18,19,13,9,7,8,6,6,5,6,3,2,1,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
-non_saturating-n_epochs-50-d_alpha-3,95,564,390,309,229,455,304,239,182,310,192,150,109,206,119,90,54,139,72,50,34,87,41,34,24,52,27,20,15,31,17,12,6,24,7,3,1,2,0,0,0
-non_saturating-n_epochs-50-d_alpha-2,96,775,583,466,325,751,538,432,304,651,442,345,236,526,338,256,182,422,254,186,134,323,182,140,93,243,136,98,63,172,93,64,34,104,56,36,15,54,18,8,0
-non_saturating-n_epochs-50-d_alpha-2,95,818,579,468,336,784,536,437,309,664,439,346,241,556,342,261,174,430,243,194,120,331,180,136,84,255,128,90,57,181,85,61,37,109,46,34,16,55,19,10,2
-non_saturating-n_epochs-50-d_alpha-1.2,96,489,343,293,227,454,326,276,212,398,275,236,170,331,216,176,122,272,166,130,102,209,126,104,79,159,96,82,60,122,71,59,39,85,53,38,19,40,14,10,5
-non_saturating-n_epochs-50-d_alpha-2,97,825,614,508,351,794,572,467,333,688,462,373,261,565,373,280,189,460,283,198,127,355,199,141,79,278,139,91,47,194,80,50,29,114,40,25,16,53,11,8,2
-non_saturating-n_epochs-50-d_alpha-1.2,98,747,527,443,324,721,511,420,312,606,422,342,242,510,343,256,184,420,244,198,123,311,182,133,88,237,133,95,57,164,90,55,33,103,47,29,13,40,13,6,4
-non_saturating-n_epochs-50-d_alpha-1.5,98,644,423,347,245,594,388,322,226,500,316,249,177,396,243,183,120,304,177,123,82,230,116,85,59,165,76,54,33,97,49,34,19,61,24,16,11,22,8,5,4
-non_saturating-n_epochs-50-d_alpha-1.2,97,637,469,397,292,605,429,360,267,496,339,277,197,395,252,197,125,304,175,129,82,231,119,88,53,161,78,50,28,111,43,27,10,52,14,8,3,12,1,0,0
-non_saturating-n_epochs-50-d_alpha-3,96,725,547,443,319,671,489,383,278,572,370,302,218,470,269,214,160,360,206,162,114,275,157,111,62,211,109,69,38,148,61,40,18,88,30,19,5,35,4,4,1
-non_saturating-n_epochs-50-d_alpha-1.2,99,520,371,287,212,406,265,211,165,274,174,144,109,178,117,92,68,133,74,58,38,85,47,31,20,42,26,16,10,30,10,6,3,10,3,1,1,2,1,0,0
-non_saturating-n_epochs-50-d_alpha-1.5,97,801,606,489,352,768,573,454,328,665,468,371,259,567,362,282,189,454,271,202,134,353,185,139,96,269,138,98,45,194,85,61,25,120,48,24,7,40,8,1,0
-non_saturating-n_epochs-50-d_alpha-3,97,439,270,220,170,365,223,184,148,261,166,138,100,192,120,96,71,142,87,70,50,102,63,46,31,73,40,27,16,46,20,16,11,27,12,6,3,8,2,2,0
-non_saturating-n_epochs-50-d_alpha-1.5,99,813,592,495,358,785,563,467,335,685,468,383,257,573,375,283,193,473,283,206,138,384,205,152,85,280,145,102,52,209,84,57,33,115,44,32,16,55,19,9,3
-non_saturating-n_epochs-50-d_alpha-2,98,757,547,441,282,718,516,404,247,619,412,293,186,520,274,208,135,396,197,145,100,293,135,104,74,207,100,74,49,144,69,50,36,93,42,28,14,38,8,3,1
-non_saturating-n_epochs-50-d_alpha-3,98,338,226,172,140,228,147,119,95,127,81,63,44,77,44,31,18,46,19,13,10,28,12,7,5,15,6,5,4,7,4,3,3,3,2,2,1,2,1,0,0
-non_saturating-n_epochs-50-d_alpha-1.2,100,689,503,409,303,663,481,392,285,579,406,327,228,482,316,251,179,404,244,187,130,314,179,141,99,241,136,103,71,178,103,76,49,128,67,41,27,67,23,15,6
-non_saturating-n_epochs-50-d_alpha-2,100,625,468,383,292,598,436,364,279,528,376,309,226,446,297,234,170,359,224,183,125,279,180,135,81,219,123,88,54,162,73,52,28,89,36,22,10,28,4,3,1
-non_saturating-n_epochs-50-d_alpha-3,100,362,235,193,144,279,180,142,120,183,117,100,80,125,82,63,53,85,57,46,28,62,32,22,15,38,16,13,9,19,11,8,3,7,2,2,0,0,0,0,0
-non_saturating-n_epochs-50-d_alpha-1.5,100,654,455,390,285,628,435,370,271,535,362,300,223,436,287,235,167,363,220,173,125,279,161,129,86,215,116,89,55,151,69,48,28,89,36,20,7,33,9,6,2
-non_saturating-n_epochs-50-d_alpha-3,99,180,110,86,55,145,94,70,51,100,59,51,43,71,46,40,33,45,33,30,24,41,25,22,15,26,17,11,7,17,7,5,5,8,4,4,2,3,1,1,1
-non_saturating-n_epochs-50-d_alpha-2,99,781,573,477,345,754,555,456,329,667,461,387,269,581,374,299,204,486,281,221,149,392,217,157,105,300,150,113,62,219,110,69,43,143,60,36,17,61,21,11,3
