setting,seed,train_test_split,noise_dim,batch_size,save_images,n_epochs,epoch_step,lr,model_width,beta1,amp,d_alpha,g_alpha,non_saturating,ls_gan,errors,epochs,fid_scores,time
non_saturating-n_epochs-100-epoch_step-10-lr-5e-05-d_alpha-0.5-g_alpha-1,2,0.8,100,64,False,100,10,5e-05,64,0.9,False,0.5,1.0,True,False,"[0.4324975461764968, 0.6784004045090866, 0.2743523393117397, 0.21931233455280927, 0.3015823443681033, 0.12504089705838614, 0.2997531304839237, 0.11570149608875405, 0.19368846851670088, 0.08514023973112043]","[10, 20, 30, 40, 50, 60, 70, 80, 90, 100]","[1450.8539205969375, 1424.9792811161246, 837.872418328569, 791.9244193486352, 583.7898890445792, 996.0082050385449, 745.0190529496163, 437.28788395012543, 447.77798369042785, 451.94178683825817]",4809
non_saturating-n_epochs-100-epoch_step-10-lr-0.0002-d_alpha-0.5-g_alpha-1,1,0.8,100,64,False,100,10,0.0002,64,0.9,False,0.5,1.0,True,False,"[0.1555872817584248, 0.4385354391600488, 0.3713155468308498, 0.40202551976443296, 0.402337824573927, 0.36930787305553076, 0.49202879152910384, 0.28669581511555275, 0.15051604651854494, 0.3801344397846584]","[10, 20, 30, 40, 50, 60, 70, 80, 90, 100]","[2129.480478509827, 1562.447120285772, 902.5045418313584, 816.0514167409253, 764.1503051177638, 626.4789090982131, 500.41601798792, 540.4527980159655, 409.0717824190217, 399.73889235412935]",4859
non_saturating-n_epochs-100-epoch_step-10-lr-2e-05-d_alpha-0.5-g_alpha-1,2,0.8,100,64,False,100,10,2e-05,64,0.9,False,0.5,1.0,True,False,"[0.06176199399185033, 0.19624639362303323, 0.013994229796853157, 0.049924154546265725, 0.24828232354778262, 0.11192409505963535, 0.0014425507867106867, 0.35897207102703665, 0.0593974004342524, 0.07084857678236817]","[10, 20, 30, 40, 50, 60, 70, 80, 90, 100]","[2280.6017133291407, 1046.229687407818, 1922.4596860824404, 1778.4619578009206, 1845.6636129212163, 1538.9134245003452, 1263.5532975453368, 1142.3997599776203, 1314.1033913852, 1425.711496537961]",4780
non_saturating-n_epochs-100-epoch_step-10-lr-2e-05-d_alpha-0.9-g_alpha-1,2,0.8,100,64,False,100,10,2e-05,64,0.9,False,0.9,1.0,True,False,"[0.08497665149757593, 0.05670563040956545, 0.15216680051158502, 0.06152404747033104, 0.1648523244400821, 0.16049492876476013, 0.11037744266975998, 0.11257844799381339, 0.23329169269206745, 0.14056690758751972]","[10, 20, 30, 40, 50, 60, 70, 80, 90, 100]","[1682.2471872549386, 1014.5354408007008, 1034.300781841192, 643.0826959833057, 556.040647833313, 560.7249212159397, 552.8287140085476, 479.16356530754297, 456.03529924873624, 450.5648275852527]",4837
non_saturating-n_epochs-100-epoch_step-10-lr-0.0002-d_alpha-0.9-g_alpha-1,1,0.8,100,64,False,100,10,0.0002,64,0.9,False,0.9,1.0,True,False,"[0.2844204515035246, 0.2073257785312751, 0.13177775794890098, 0.18736801403884476, 0.26938520567502455, 0.16723178965527496, 0.16519437256476607, 0.34993010320930373, 0.23831831295916242, 0.1010380417001279]","[10, 20, 30, 40, 50, 60, 70, 80, 90, 100]","[1722.1472660985387, 774.3089958603096, 507.6343781431244, 494.84240909351, 406.1329683802596, 446.8282145721646, 358.45207941867216, 366.9681167142942, 356.0653718634537, 334.61795493490627]",4803
non_saturating-n_epochs-100-epoch_step-10-lr-0.0001-d_alpha-1-g_alpha-1,2,0.8,100,64,False,100,10,0.0001,64,0.9,False,1.0,1.0,True,False,"[0.07864132536212486, 0.14410636209511912, 0.17978346866541745, 0.19939918503316378, 0.16092620683501382, 0.2731626067041432, 0.31405966509027095, 0.21440468754647393, 0.4234407067011689, 0.35507569673715833]","[10, 20, 30, 40, 50, 60, 70, 80, 90, 100]","[1317.0585575887094, 651.7398076203208, 591.0592622658619, 443.499457387584, 396.15189691066007, 396.2716013331692, 375.67290450858513, 369.68874037274554, 365.20124982755783, 382.77566830779415]",4858
non_saturating-n_epochs-100-epoch_step-10-lr-1e-05-d_alpha-0.7-g_alpha-1,2,0.8,100,64,False,100,10,1e-05,64,0.9,False,0.7,1.0,True,False,"[0.2543350881889295, 0.13048392373813986, 0.06403735760387853, 0.15694060259956574, 0.22677790666547692, 0.15353499301032092, 0.09920882781594836, 0.10419083311025847, 0.15097706790398857, 0.12086196127420362]","[10, 20, 30, 40, 50, 60, 70, 80, 90, 100]","[2118.8190157680665, 1352.8430931711432, 1204.6479461627086, 1290.621930169284, 716.3665605886099, 625.5512237010232, 659.7409434316855, 674.2726865109198, 526.3307599430709, 464.323521439876]",4901
non_saturating-n_epochs-100-epoch_step-10-lr-5e-05-d_alpha-0.7-g_alpha-1,2,0.8,100,64,False,100,10,5e-05,64,0.9,False,0.7,1.0,True,False,"[0.043246780286130694, 0.18711519585973052, 0.1866541744742869, 0.29322447279973823, 0.2417387942060022, 0.13818744237232683, 0.22606406710091906, 0.15823443681032687, 0.16644359180274235, 0.20351863418696647]","[10, 20, 30, 40, 50, 60, 70, 80, 90, 100]","[1700.1230180511118, 767.6718170288509, 644.9001171769421, 504.13388006307605, 466.34674729652306, 439.8480185279511, 473.29880806119036, 381.61027220870574, 893.1452422842856, 372.1985308719957]",4762
non_saturating-n_epochs-100-epoch_step-10-lr-0.0002-d_alpha-0.7-g_alpha-1,1,0.8,100,64,False,100,10,0.0002,64,0.9,False,0.7,1.0,True,False,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[10, 20, 30, 40, 50, 60, 70, 80, 90, 100]","[2669.760797448528, 2669.9696012513673, 2669.405428855527, 2669.8302206803273, 2669.5949738233726, 2669.5504578759087, 2669.780268997991, 2669.250442975422, 2669.38715416558, 2669.5249666222]",4903
non_saturating-n_epochs-100-epoch_step-10-lr-5e-05-d_alpha-0.9-g_alpha-1,2,0.8,100,64,False,100,10,5e-05,64,0.9,False,0.9,1.0,True,False,"[0.11101692394634306, 0.11573123940394396, 0.12884804140269474, 0.15420421760209393, 0.20592784271734926, 0.29225781505606613, 0.16189286457868593, 0.15884417477172005, 0.10665952827102108, 0.32781594836560485]","[10, 20, 30, 40, 50, 60, 70, 80, 90, 100]","[1348.5419333929842, 729.143164445996, 555.9779473207386, 471.02710063063614, 485.07648946102836, 459.97440236562784, 652.6204029459711, 538.4962630511968, 454.1825716521182, 369.65556474409914]",4854
non_saturating-n_epochs-100-epoch_step-10-lr-1e-05-d_alpha-1-g_alpha-1,1,0.8,100,64,False,100,10,1e-05,64,0.9,False,1.0,1.0,True,False,"[0.21419648434014454, 0.08448588679694238, 0.10887540525266946, 0.12560602004699445, 0.14428482198625858, 0.17032509443502572, 0.17148508372743226, 0.12881829808750483, 0.1191963356235686, 0.11953838374825258]","[10, 20, 30, 40, 50, 60, 70, 80, 90, 100]","[2025.4907883982999, 1601.7771387298742, 1057.1680650048947, 894.1350696042134, 911.1354630171913, 780.4436359382571, 594.2698930161826, 595.2743188057593, 545.2992782687666, 479.40340586135517]",5016
non_saturating-n_epochs-100-epoch_step-10-lr-5e-05-d_alpha-1-g_alpha-1,1,0.8,100,64,False,100,10,5e-05,64,0.9,False,1.0,1.0,True,False,"[0.08494690818238601, 0.1096338597900122, 0.12612652806281788, 0.18594033490972903, 0.34520091609410786, 0.1723773831831296, 0.2546771363136135, 0.25054281550221585, 0.15109604116474823, 0.22402665001041017]","[10, 20, 30, 40, 50, 60, 70, 80, 90, 100]","[1427.9630349035704, 855.9274438211478, 635.598299002746, 495.9934914506391, 459.97459679328836, 438.47847174855315, 409.52435281910857, 386.29639494621733, 369.8405972457449, 384.70538279332663]",5007
non_saturating-n_epochs-100-epoch_step-10-lr-0.0002-d_alpha-1-g_alpha-1,2,0.8,100,64,False,100,10,0.0002,64,0.9,False,1.0,1.0,True,False,"[0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5]","[10, 20, 30, 40, 50, 60, 70, 80, 90, 100]","[2027.4552033494913, 2027.3976652764038, 2027.268323166757, 2025.6852664882772, 2027.0715351303088, 2026.930589534496, 2030.3306326739955, 2026.39352379429, 2027.6705477972857, 2026.1466049190797]",5093
non_saturating-n_epochs-100-epoch_step-10-lr-0.0001-d_alpha-0.9-g_alpha-1,2,0.8,100,64,False,100,10,0.0001,64,0.9,False,0.9,1.0,True,False,"[0.09955087594063235, 0.1201629933672407, 0.4723833318461676, 0.20702834537937598, 0.3290502959459861, 0.4721156420094584, 0.2797358793611136, 0.17539632967490557, 0.17975372535022754, 0.16095595015020375]","[10, 20, 30, 40, 50, 60, 70, 80, 90, 100]","[1499.772292023385, 582.7658755478835, 493.27533539383876, 446.117216130099, 405.34174156786366, 1032.278831639615, 383.30949628413714, 383.0206534060278, 351.9779089272604, 340.46303503036734]",4941
non_saturating-n_epochs-100-epoch_step-10-lr-2e-05-d_alpha-1-g_alpha-1,1,0.8,100,64,False,100,10,2e-05,64,0.9,False,1.0,1.0,True,False,"[0.1353915707444752, 0.15390678445019482, 0.1615656881115969, 0.15166116415335654, 0.09914934118556855, 0.12419321257547367, 0.09831652836025104, 0.16329080039261176, 0.17596145266351387, 0.16495642604324678]","[10, 20, 30, 40, 50, 60, 70, 80, 90, 100]","[1619.5734306046397, 962.1374636532883, 869.1770982528892, 663.7191557667168, 611.0980897612619, 491.2898259422275, 491.8803781462293, 554.9465048056354, 658.6297247921505, 467.5776179680731]",5009
non_saturating-n_epochs-100-epoch_step-10-lr-0.0001-d_alpha-0.7-g_alpha-1,2,0.8,100,64,False,100,10,0.0001,64,0.9,False,0.7,1.0,True,False,"[0.11915172065078374, 0.13613515362422296, 0.20305761280152285, 0.21993694417179738, 0.16619077362362808, 0.26200886350792657, 0.14990630855715179, 0.2893578418250498, 0.4579280806638708, 0.2680467564914785]","[10, 20, 30, 40, 50, 60, 70, 80, 90, 100]","[1450.4526016352934, 718.5927919400419, 513.9140353718758, 435.85764474715893, 421.4004308461458, 442.8142165224174, 389.44829584081276, 383.8399616519198, 1723.0829221716294, 1721.0187792303693]",4943
non_saturating-n_epochs-100-epoch_step-10-lr-0.0001-d_alpha-0.5-g_alpha-1,2,0.8,100,64,False,100,10,0.0001,64,0.9,False,0.5,1.0,True,False,"[0.19221617441480027, 0.1955771690312602, 0.7468992593914517, 0.3015377293953184, 0.3082597186282383, 0.2553612325629815, 0.4659736474227417, 0.5151244757740697, 0.23577525951042502, 0.18940543112935368]","[10, 20, 30, 40, 50, 60, 70, 80, 90, 100]","[1798.2895720305796, 1049.8014636443793, 1069.9157925634622, 710.5677311322806, 534.8681352227659, 570.7827747923877, 468.47973636822417, 501.6724236140715, 428.35883745931574, 390.8702790987054]",4950
non_saturating-n_epochs-100-epoch_step-10-lr-0.0001-d_alpha-0.5-g_alpha-1,1,0.8,100,64,False,100,10,0.0001,64,0.9,False,0.5,1.0,True,False,"[0.31255762767318046, 0.25817197584842805, 0.42235507569673714, 0.3988429850391125, 0.20930370899140419, 0.24704797596740133, 0.3033818149370929, 0.21797388536926326, 0.16028672555843074, 0.23671217393890723]","[10, 20, 30, 40, 50, 60, 70, 80, 90, 100]","[1424.0167810285498, 1308.3492946215933, 761.7501414017465, 836.8805354619667, 891.9460781001496, 608.0379582573883, 533.6184394304591, 504.81011294016685, 478.48958773630557, 426.10221815690943]",5069
non_saturating-n_epochs-100-epoch_step-10-lr-0.001-d_alpha-1-g_alpha-1,1,0.8,100,64,False,100,10,0.001,64,0.9,False,1.0,1.0,True,False,"[0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5]","[10, 20, 30, 40, 50, 60, 70, 80, 90, 100]","[2856.1295903666714, 2856.1715459424986, 2855.997529305481, 2856.0300217716754, 2856.0789416830526, 2856.09993148235, 2856.063934551007, 2856.0408345573874, 2855.98955004164, 2856.03982600168]",5105
non_saturating-n_epochs-100-epoch_step-10-lr-0.0005-d_alpha-1-g_alpha-1,2,0.8,100,64,False,100,10,0.0005,64,0.9,False,1.0,1.0,True,False,"[0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5]","[10, 20, 30, 40, 50, 60, 70, 80, 90, 100]","[2108.4725741607913, 2105.135057037471, 2106.134558139311, 2105.2322374737582, 2105.86233975259, 2106.785129382153, 2108.636634390434, 2107.087338197412, 2105.6409447201636, 2106.235539997264]",5109
non_saturating-n_epochs-100-epoch_step-10-lr-2e-05-d_alpha-0.5-g_alpha-1,1,0.8,100,64,False,100,10,2e-05,64,0.9,False,0.5,1.0,True,False,"[0.3702001725112281, 0.13637310014574225, 0.1938520567502454, 0.12365783290205526, 0.33357127985485263, 0.15563189673120967, 0.08461973171529699, 0.17893578418250497, 0.08081258737098837, 0.10471134112608191]","[10, 20, 30, 40, 50, 60, 70, 80, 90, 100]","[1874.529394440371, 1167.2374621295148, 801.4577539778179, 974.067876669978, 1019.4515882403934, 973.5011523173398, 778.0613588039055, 791.3828494132435, 694.716408566426, 613.2409575864849]",5118
non_saturating-n_epochs-100-epoch_step-10-lr-0.0001-d_alpha-1-g_alpha-1,1,0.8,100,64,False,100,10,0.0001,64,0.9,False,1.0,1.0,True,False,"[0.1866541744742869, 0.1635138752565361, 0.13203057612801522, 0.12223015377293953, 0.27848666012313733, 0.2258856072097796, 0.2973439219535409, 0.2587668421522263, 0.14650069896790696, 0.25546533416614614]","[10, 20, 30, 40, 50, 60, 70, 80, 90, 100]","[1590.659695418998, 706.7765602160589, 500.5460766459212, 440.26124857071, 428.6665587702573, 388.3257571986328, 405.7527692080946, 374.8656667942148, 365.85389730416114, 368.8021257609046]",5124
non_saturating-n_epochs-100-epoch_step-10-lr-1e-05-d_alpha-0.7-g_alpha-1,1,0.8,100,64,False,100,10,1e-05,64,0.9,False,0.7,1.0,True,False,"[0.1916659230837869, 0.16970048481603758, 0.14572737277296927, 0.13729514291662948, 0.15048630320335504, 0.2489961631123405, 0.16091133517741887, 0.13045418042294996, 0.17789476815085808, 0.13192647452485054]","[10, 20, 30, 40, 50, 60, 70, 80, 90, 100]","[2018.274752905491, 1401.2905367780952, 1405.9163961999038, 836.9497365715276, 791.4809210744136, 751.3429016895534, 620.6752623964605, 635.0839203603252, 550.7803425773952, 554.871186257521]",5104
non_saturating-n_epochs-100-epoch_step-10-lr-0.0002-d_alpha-0.5-g_alpha-1,2,0.8,100,64,False,100,10,0.0002,64,0.9,False,0.5,1.0,True,False,"[0.5987031914577199, 0.1999048213913923, 0.5605722613842539, 0.19209720115404064, 0.33389845632194165, 0.17001278962553165, 0.4724428184765474, 0.24727105083132567, 0.24028137176169656, 0.22308973558192796]","[10, 20, 30, 40, 50, 60, 70, 80, 90, 100]","[1872.074643696354, 1327.3715455898896, 974.8338792157224, 952.2167292114552, 1041.0030961813686, 687.5595064313434, 685.6782649201941, 668.4671882844245, 674.4537366067711, 559.2469428327404]",5166
non_saturating-n_epochs-100-epoch_step-10-lr-1e-05-d_alpha-0.5-g_alpha-1,1,0.8,100,64,False,100,10,1e-05,64,0.9,False,0.5,1.0,True,False,"[0.5889325124178341, 0.2827845691680795, 0.051084143838672255, 0.2327116980458642, 0.37974777668718956, 0.09580321822670355, 0.00236459355759793, 0.1723476398679397, 0.06020046994438, 0.023318759108890277]","[10, 20, 30, 40, 50, 60, 70, 80, 90, 100]","[1948.499471840605, 1854.9523503756586, 1425.0472371126034, 1039.5739834720753, 2362.1247433081894, 1783.4457836862825, 1847.4386620242847, 1801.1574201324668, 1339.8375316806641, 1458.5097746982328]",5119
non_saturating-n_epochs-100-epoch_step-10-lr-5e-05-d_alpha-0.5-g_alpha-1,1,0.8,100,64,False,100,10,5e-05,64,0.9,False,0.5,1.0,True,False,"[0.33473126914725915, 0.08567561940453883, 0.17381993396984027, 0.0654501650753993, 0.08848636268998543, 0.04638470003866631, 0.08045566758870944, 0.16500104101603164, 0.42616222004104576, 0.06283275333868713]","[10, 20, 30, 40, 50, 60, 70, 80, 90, 100]","[1292.7210091719644, 1749.269761417545, 702.5518940223833, 999.2754102225624, 809.6601892078847, 709.8122789443382, 730.8104082419361, 613.0810814175288, 562.9773237191978, 582.983884533407]",5134
non_saturating-n_epochs-100-epoch_step-10-lr-2e-05-d_alpha-0.9-g_alpha-1,1,0.8,100,64,False,100,10,2e-05,64,0.9,False,0.9,1.0,True,False,"[0.17863835103060588, 0.35553671812260196, 0.19505666101543678, 0.09314119151720651, 0.15405550102614438, 0.12261681687040837, 0.20231402992177508, 0.19389667172303024, 0.15008476844829124, 0.14084946908182386]","[10, 20, 30, 40, 50, 60, 70, 80, 90, 100]","[1397.3324303911595, 833.0932943000437, 731.2473526405274, 581.8712698515856, 558.8787961871844, 468.8614186320683, 495.16831065862357, 554.7184461410081, 453.59084165405875, 462.693411122817]",5288
