Setting,Seed,FID Score,Epochs,FIDs
-non_saturating-n_epochs-100-epoch_step-10-g_lr-0.0005-g_alpha-1-d_alpha-0.9,12,94.9502200268065,"[10, 20, 30, 40, 50, 60, 70, 80, 90, 100]","[730.368395184323, 223.31523296764215, 104.13034321038833, 65.33695963371997, 51.66679435850574, 56.434057621241664, 87.85260598180344, 82.23798759359738, 91.26578557371556, 94.9502200268065]"
-non_saturating-n_epochs-100-epoch_step-10-g_lr-0.0005-g_alpha-1-d_alpha-0.5,12,88.95465870075088,"[10, 20, 30, 40, 50, 60, 70, 80, 90, 100]","[968.9984820653519, 2423.0208355493805, 659.3119938127602, 556.1529699848959, 391.5358162303289, 231.15680035950925, 139.25017273136132, 417.281618700683, 144.4913045499395, 88.95465870075088]"
-non_saturating-n_epochs-100-epoch_step-10-g_lr-0.0006-g_alpha-1-d_alpha-0.8,12,46.91020625085628,"[10, 20, 30, 40, 50, 60, 70, 80, 90, 100]","[571.4030403842972, 206.68879718462472, 117.30636394303485, 63.884559711485394, 65.51852627179096, 52.42705261530352, 53.292773443486794, 49.58806985499791, 66.84016351120749, 46.91020625085628]"
-non_saturating-n_epochs-100-epoch_step-10-g_lr-0.0006-g_alpha-1-d_alpha-0.7,12,109.33444436300988,"[10, 20, 30, 40, 50, 60, 70, 80, 90, 100]","[557.2976917576859, 209.57469506858024, 101.51673700294054, 84.12661470816988, 47.489188296986754, 53.498339709578204, 74.25155899469542, 49.31350196345511, 90.16377978249739, 109.33444436300988]"
-non_saturating-n_epochs-100-epoch_step-10-g_lr-0.0007-g_alpha-1-d_alpha-0.5,12,105.76964111682514,"[10, 20, 30, 40, 50, 60, 70, 80, 90, 100]","[1216.7695715779744, 1510.7880731475752, 1523.0963622961276, 550.1918610957857, 416.82865936709175, 274.06370212690865, 308.0758740266649, 157.72186766175673, 81.97553921658755, 105.76964111682514]"
-non_saturating-n_epochs-100-epoch_step-10-g_lr-0.0006-g_alpha-1-d_alpha-0.6,12,45.89094145903118,"[10, 20, 30, 40, 50, 60, 70, 80, 90, 100]","[1016.521812723098, 1147.2660298091537, 278.8767518083631, 194.11655358014684, 93.30234883760534, 115.34557980025954, 56.48479115515397, 80.40678314880154, 212.74906533305398, 45.89094145903118]"
-non_saturating-n_epochs-100-epoch_step-10-g_lr-0.0006-g_alpha-1-d_alpha-0.5,12,86.97298757988165,"[10, 20, 30, 40, 50, 60, 70, 80, 90, 100]","[1628.2039322103535, 2270.20706899771, 2095.257068806422, 503.1220231697638, 373.55443285151887, 462.596159303238, 271.5022083369105, 211.22987250576, 162.4392523395378, 86.97298757988165]"
-non_saturating-n_epochs-100-epoch_step-10-g_lr-0.0007-g_alpha-1-d_alpha-0.6,12,97.80069535497137,"[10, 20, 30, 40, 50, 60, 70, 80, 90, 100]","[2266.294378298392, 851.1950486774904, 456.8539293714533, 190.91889681696045, 103.53961325683781, 61.579495851970705, 43.183926621803835, 44.104267841412366, 52.73671129658089, 97.80069535497137]"
-non_saturating-n_epochs-100-epoch_step-10-g_lr-0.0006-g_alpha-1-d_alpha-0.9,12,84.7596807494134,"[10, 20, 30, 40, 50, 60, 70, 80, 90, 100]","[881.0714322473796, 191.09535434919098, 93.43401029331778, 62.93573164188297, 49.22590590785239, 43.05359669751135, 75.69706230871168, 65.95681027921705, 79.1645497577681, 84.7596807494134]"
-non_saturating-n_epochs-100-epoch_step-10-g_lr-0.0006-g_alpha-1-d_alpha-1,12,50.053141873466984,"[10, 20, 30, 40, 50, 60, 70, 80, 90, 100]","[1025.7940964419413, 149.98447246057742, 105.1463791370054, 75.32445606282204, 57.37598540839167, 48.188869742828274, 42.84847522504572, 47.58678352498987, 45.15672196115679, 50.053141873466984]"
-non_saturating-n_epochs-100-epoch_step-10-g_lr-0.0007-g_alpha-1-d_alpha-0.7,12,1986.3145117485983,"[10, 20, 30, 40, 50, 60, 70, 80, 90, 100]","[1731.723214270524, 594.1882159344636, 188.90014128420728, 121.82914191294981, 68.3971892553717, 62.6643868296494, 54.71091308986297, 69.08362194513597, 2024.529052015287, 1986.3145117485983]"
-non_saturating-n_epochs-100-epoch_step-10-g_lr-0.0007-g_alpha-1-d_alpha-0.9,12,42.56044187475618,"[10, 20, 30, 40, 50, 60, 70, 80, 90, 100]","[553.0859373715464, 195.90860584694906, 97.59362712849588, 93.10253972425551, 43.52786548276538, 58.525562035691564, 39.10126432422828, 46.72989103754435, 37.64851062595824, 42.56044187475618]"
-non_saturating-n_epochs-100-epoch_step-10-g_lr-0.0007-g_alpha-1-d_alpha-0.8,12,241.63671772680118,"[10, 20, 30, 40, 50, 60, 70, 80, 90, 100]","[860.1011635956907, 254.40635218146224, 108.2971170225835, 72.3978104075859, 72.51657843863893, 51.09743211109185, 67.58210911510992, 70.78801478983928, 44.25767718883253, 241.63671772680118]"
-non_saturating-n_epochs-100-epoch_step-10-g_lr-0.0007-g_alpha-1-d_alpha-1,12,44.41103492257196,"[10, 20, 30, 40, 50, 60, 70, 80, 90, 100]","[799.1576066964587, 164.95601503161924, 114.78732076051563, 66.56365246467271, 48.32406567326052, 46.98562591429004, 47.71993434297178, 49.5345166550087, 101.46934952497566, 44.41103492257196]"
-non_saturating-n_epochs-100-epoch_step-10-g_lr-0.0008-g_alpha-1-d_alpha-0.6,12,42.748226873528324,"[10, 20, 30, 40, 50, 60, 70, 80, 90, 100]","[1487.05332321386, 648.2024619798077, 301.8802688787687, 213.8957491984538, 108.73506673139264, 139.0059459734715, 84.09831363921933, 57.53392549266823, 53.27833162386685, 42.748226873528324]"
-non_saturating-n_epochs-100-epoch_step-10-g_lr-0.0008-g_alpha-1-d_alpha-0.7,12,56.520691085113185,"[10, 20, 30, 40, 50, 60, 70, 80, 90, 100]","[1428.057147614315, 302.8399233654094, 138.28320669902905, 93.15701162391974, 101.06745932663011, 53.33524494109565, 54.58545850651694, 84.03327349070923, 73.12185405292553, 56.520691085113185]"
-non_saturating-n_epochs-100-epoch_step-10-g_lr-0.0008-g_alpha-1-d_alpha-0.8,12,117.42483298509273,"[10, 20, 30, 40, 50, 60, 70, 80, 90, 100]","[482.0903323953503, 202.94503433117347, 91.68982443025209, 72.63154123830384, 61.13945864259631, 49.54464048262264, 59.37553359124399, 64.40792470014776, 1032.1417698773841, 117.42483298509273]"
-non_saturating-n_epochs-100-epoch_step-10-g_lr-0.0008-g_alpha-1-d_alpha-1,12,39.87988261389444,"[10, 20, 30, 40, 50, 60, 70, 80, 90, 100]","[506.0886409150364, 187.48367791670387, 91.7691637194605, 81.7414778739012, 65.02616264310132, 49.939223520729456, 42.464843579615035, 43.12253784249674, 57.97990247410405, 39.87988261389444]"
-non_saturating-n_epochs-100-epoch_step-10-g_lr-0.0009-g_alpha-1-d_alpha-0.9,12,37.90722823145643,"[10, 20, 30, 40, 50, 60, 70, 80, 90, 100]","[435.4674670640852, 215.47866940996823, 81.2572045453062, 68.31696777579145, 47.58371494604455, 55.33872224000231, 60.75360333120068, 51.8664220953583, 38.24185107489075, 37.90722823145643]"
-non_saturating-n_epochs-100-epoch_step-10-g_lr-0.0008-g_alpha-1-d_alpha-0.9,12,119.33362142616829,"[10, 20, 30, 40, 50, 60, 70, 80, 90, 100]","[750.8607455427261, 219.89513529686815, 86.84440473119264, 73.23987540246071, 56.98473329457204, 56.543508853373396, 97.9952229616323, 151.98253781523113, 118.08328198837262, 119.33362142616829]"
-non_saturating-n_epochs-100-epoch_step-10-g_lr-0.0009-g_alpha-1-d_alpha-0.5,12,87.48640873865054,"[10, 20, 30, 40, 50, 60, 70, 80, 90, 100]","[1160.1432029400123, 1263.387323780294, 616.6076501171442, 965.2503299629692, 376.677171761944, 454.9304761814801, 332.2327434157189, 255.08932032615894, 94.45339117502135, 87.48640873865054]"
-non_saturating-n_epochs-100-epoch_step-10-g_lr-0.0001-g_alpha-1-d_alpha-1,13,70.54439389635786,"[10, 20, 30, 40, 50, 60, 70, 80, 90, 100]","[445.0625535965927, 134.16524980531915, 66.00781125608125, 53.081896573445874, 67.52819065014194, 88.88294014864641, 80.43557403508851, 91.56278646166584, 94.18072082924243, 70.54439389635786]"
-non_saturating-n_epochs-100-epoch_step-10-g_lr-0.0009-g_alpha-1-d_alpha-0.8,12,1887.0104380668624,"[10, 20, 30, 40, 50, 60, 70, 80, 90, 100]","[600.1801340358958, 254.82673262630874, 107.88035913065721, 76.65063506185095, 52.543346295825586, 52.77059980384058, 54.69649830464925, 1888.0480021653984, 1890.1332333752057, 1887.0104380668624]"
