Setting,Seed,Modes,High-Quality Samples,KL,Reverse KL,JSD,TVD
alpha-0.5_dlayers-1_glayers-2_dwidth-200_gwidth-400_dlr-0.0001_glr-0.0001_,6,0,0.0,6.781675623100128,2.0763270312195545,0.49567934465894903,0.8747200895713372
alpha-0.5_dlayers-1_glayers-2_dwidth-200_gwidth-400_dlr-0.0001_glr-0.0001_,10,0,0.0,6.781675623100128,2.0763270312195545,0.49567934465894903,0.8747200895713372
alpha-0.5_dlayers-1_glayers-2_dwidth-200_gwidth-400_dlr-0.0001_glr-0.0001_,7,0,0.0,6.781675623100128,2.0763270312195545,0.49567934465894903,0.8747200895713372
alpha-0.5_dlayers-1_glayers-2_dwidth-200_gwidth-400_dlr-0.0001_glr-0.0001_,3,0,0.0,6.781675623100128,2.0763270312195545,0.49567934465894903,0.8747200895713372
alpha-0.5_dlayers-1_glayers-2_dwidth-200_gwidth-400_dlr-0.0001_glr-0.0001_,5,0,0.0,6.781675623100128,2.0763270312195545,0.49567934465894903,0.8747200895713372
alpha-0.5_dlayers-1_glayers-2_dwidth-200_gwidth-400_dlr-0.0001_glr-0.0001_,9,0,0.0,6.781675623100128,2.0763270312195545,0.49567934465894903,0.8747200895713372
alpha-0.5_dlayers-1_glayers-3_dwidth-200_gwidth-400_dlr-0.0001_glr-0.0001_,4,0,0.0,6.781675623100128,2.0763270312195545,0.49567934465894903,0.8747200895713372
alpha-0.5_dlayers-1_glayers-3_dwidth-200_gwidth-400_dlr-0.0001_glr-0.0001_,8,0,0.0,6.781675623100128,2.0763270312195545,0.49567934465894903,0.8747200895713372
alpha-0.5_dlayers-1_glayers-3_dwidth-200_gwidth-400_dlr-0.0001_glr-0.0001_,6,0,0.0,6.781675623100128,2.0763270312195545,0.49567934465894903,0.8747200895713372
alpha-0.2_dlayers-1_glayers-3_dwidth-200_gwidth-400_dlr-0.0001_glr-0.0001_,4,0,0.0,6.781675623100128,2.0763270312195545,0.49567934465894903,0.8747200895713372
alpha-0.5_dlayers-1_glayers-3_dwidth-200_gwidth-400_dlr-0.0001_glr-0.0001_,2,0,0.0,6.781675623100128,2.0763270312195545,0.49567934465894903,0.8747200895713372
alpha-0.2_dlayers-1_glayers-3_dwidth-200_gwidth-400_dlr-0.0001_glr-0.0001_,10,0,0.0,6.781675623100128,2.0763270312195545,0.49567934465894903,0.8747200895713372
alpha-0.2_dlayers-1_glayers-3_dwidth-200_gwidth-400_dlr-0.0001_glr-0.0001_,8,0,0.0,6.781675623100128,2.0763270312195545,0.49567934465894903,0.8747200895713372
alpha-0.2_dlayers-1_glayers-3_dwidth-200_gwidth-400_dlr-0.0001_glr-0.0001_,5,0,0.0,6.781675623100128,2.0763270312195545,0.49567934465894903,0.8747200895713372
alpha-0.5_dlayers-1_glayers-3_dwidth-200_gwidth-400_dlr-0.0001_glr-0.0001_,3,0,0.0,6.781675623100128,2.0763270312195545,0.49567934465894903,0.8747200895713372
alpha-0.5_dlayers-1_glayers-3_dwidth-200_gwidth-400_dlr-0.0001_glr-0.0001_,7,0,8e-05,6.781675623100128,2.0763270312195545,0.49567934465894903,0.8747200895713372
alpha-0.2_dlayers-1_glayers-3_dwidth-200_gwidth-400_dlr-0.0001_glr-0.0001_,7,0,0.0,6.781675623100128,2.0763270312195545,0.49567934465894903,0.8747200895713372
alpha-0.2_dlayers-1_glayers-3_dwidth-200_gwidth-400_dlr-0.0001_glr-0.0001_,9,0,0.0,6.781675623100128,2.0763270312195545,0.49567934465894903,0.8747200895713372
alpha-0.2_dlayers-1_glayers-3_dwidth-200_gwidth-400_dlr-0.0001_glr-0.0001_,1,0,0.0,6.781675623100128,2.0763270312195545,0.49567934465894903,0.8747200895713372
alpha-0.2_dlayers-1_glayers-3_dwidth-200_gwidth-400_dlr-0.0001_glr-0.0001_,2,0,0.0,6.781675623100128,2.0763270312195545,0.49567934465894903,0.8747200895713372
alpha-0.5_dlayers-1_glayers-2_dwidth-200_gwidth-400_dlr-0.0001_glr-0.0001_,4,0,0.0,2.456651965768659,0.8837414557888154,0.23553287003848633,0.5700575815738963
alpha-0.5_dlayers-1_glayers-3_dwidth-200_gwidth-400_dlr-0.0001_glr-0.0001_,5,0,0.0,6.781675623100128,2.0763270312195545,0.49567934465894903,0.8747200895713372
alpha-0.2_dlayers-1_glayers-3_dwidth-200_gwidth-400_dlr-0.0001_glr-0.0001_,6,0,8e-05,6.781675623100128,2.0763270312195545,0.49567934465894903,0.8747200895713372
alpha-0.5_dlayers-1_glayers-3_dwidth-200_gwidth-400_dlr-0.0001_glr-0.0001_,1,1,0.3304,6.781675623100128,2.0763270312195545,0.49567934465894903,0.8747200895713372
alpha-0.2_dlayers-1_glayers-3_dwidth-200_gwidth-400_dlr-0.0001_glr-0.0001_,3,0,0.0,6.781675623100128,2.0763270312195545,0.49567934465894903,0.8747200895713372
alpha-0.5_dlayers-1_glayers-2_dwidth-200_gwidth-400_dlr-0.0001_glr-0.0001_,2,8,0.46708,0.04077632380341156,0.04314230354960061,0.010413375081030633,0.12791906589891233
alpha-0.5_dlayers-1_glayers-3_dwidth-200_gwidth-400_dlr-0.0001_glr-0.0001_,9,0,0.0,6.781675623100128,2.0763270312195545,0.49567934465894903,0.8747200895713372
alpha-0.5_dlayers-1_glayers-4_dwidth-200_gwidth-400_dlr-0.0001_glr-0.0001_,6,0,0.0,6.781675623100128,2.0763270312195545,0.49567934465894903,0.8747200895713372
alpha-0.5_dlayers-1_glayers-4_dwidth-200_gwidth-400_dlr-0.0001_glr-0.0001_,2,0,0.0,6.781675623100128,2.0763270312195545,0.49567934465894903,0.8747200895713372
alpha-0.2_dlayers-1_glayers-4_dwidth-200_gwidth-400_dlr-0.0001_glr-0.0001_,9,1,0.35992,6.781675623100128,2.0763270312195545,0.49567934465894903,0.8747200895713372
