setting,seed,train_test_split,noise_dim,batch_size,save_images,n_epochs,epoch_step,lr,model_width,beta1,amp,d_alpha,g_alpha,non_saturating,ls_gan,errors,epochs,fid_scores,time
non_saturating-n_epochs-100-epoch_step-10-lr-0.0005-g_alpha-1-d_alpha-1,12,0.8,100,64,False,100,10,0.0005,64,0.9,False,1.0,1.0,True,False,"[0.4076618779929211, 0.36981350941375923, 0.43724160494928765, 0.20298325451354807, 0.4492579042860117, 0.30064542993962107, 0.1788316825793403, 0.1827131852116237, 0.32479700187382887, 0.3962107016448053]","[10, 20, 30, 40, 50, 60, 70, 80, 90, 100]","[1713.8655336875686, 1201.6616464921335, 830.0510383642672, 514.3851380627334, 435.4970344334904, 433.854195315404, 415.16400160795797, 381.1913690197939, 366.4943116363147, 398.7918868877173]",4784
non_saturating-n_epochs-100-epoch_step-10-lr-0.0005-g_alpha-1-d_alpha-1,8,0.8,100,64,False,100,10,0.0005,64,0.9,False,1.0,1.0,True,False,"[0.20102019571101395, 0.18821569852175724, 0.3589571993694417, 0.19737663960024984, 0.3567264507301984, 0.37072068052705154, 0.3290205526307962, 0.4237083965378781, 0.3065494780048184, 0.25283305077183904]","[10, 20, 30, 40, 50, 60, 70, 80, 90, 100]","[1670.1206366761512, 792.8479055669427, 623.7976719167807, 550.9655360308084, 451.30654934778886, 434.4091807021414, 406.37987848893727, 358.24612746025196, 431.00335515310667, 377.6146031053845]",4791
non_saturating-n_epochs-100-epoch_step-10-lr-0.0005-g_alpha-1-d_alpha-1,6,0.8,100,64,False,100,10,0.0005,64,0.9,False,1.0,1.0,True,False,"[0.3396389161535945, 0.31963653668837927, 0.462553166175902, 0.36300229023526964, 0.1684661372356563, 0.2888373338092264, 0.21370571963951102, 0.24837155349335238, 0.2428392968680289, 0.2888075904940365]","[10, 20, 30, 40, 50, 60, 70, 80, 90, 100]","[1858.558030830973, 995.6943111229855, 787.1318840227752, 534.5008795573481, 482.7048671603718, 418.5281446688316, 404.3177123192729, 414.2934223044456, 395.2122910433086, 402.7167118470934]",4797
non_saturating-n_epochs-100-epoch_step-10-lr-0.001-g_alpha-1-d_alpha-1,19,0.8,100,64,False,100,10,0.001,64,0.9,False,1.0,1.0,True,False,"[0.5123286041462182, 0.2869932482674519, 0.21376520626989085, 0.3134350554712828, 0.21699235596799618, 0.18863210493441598, 0.38395645578656196, 0.3037387347193718, 0.2816691948484578, 0.1482258112489218]","[10, 20, 30, 40, 50, 60, 70, 80, 90, 100]","[1706.3767273398535, 994.432902378222, 849.5748282935094, 600.2284771261961, 549.0333686166537, 415.8487635869294, 417.90257756395977, 440.70644403609936, 422.74909242253307, 419.47166288701237]",4801
non_saturating-n_epochs-100-epoch_step-10-lr-0.01-g_alpha-1-d_alpha-1,13,0.8,100,64,False,100,10,0.01,64,0.9,False,1.0,1.0,True,False,"[0.1654174474286904, 0.3532762261681687, 0.20902114749710002, 0.19681151661164153, 0.2016001903572172, 0.0020374170905089082, 0.14138484875524227, 0.3050920555605128, 0.09004788673745576, 0.3225513815769906]","[10, 20, 30, 40, 50, 60, 70, 80, 90, 100]","[1379.3143508225326, 2005.5889286680483, 1287.763197408977, 955.7442545385929, 1499.592730150549, 1956.9566356525393, 1961.3739051988882, 1431.2369629168252, 1662.761298283277, 1719.8750661863985]",4806
non_saturating-n_epochs-100-epoch_step-10-lr-0.001-g_alpha-1-d_alpha-1,12,0.8,100,64,False,100,10,0.001,64,0.9,False,1.0,1.0,True,False,"[0.1510068112191785, 0.22731328633889533, 0.4660033907379317, 0.3601766752922281, 0.2592278635376699, 0.238794206002201, 0.45449272775943605, 0.23803575146485828, 0.27616668153832424, 0.19814996579518754]","[10, 20, 30, 40, 50, 60, 70, 80, 90, 100]","[1755.83376434635, 1347.3618841487723, 1000.5081943190619, 573.3656730522202, 536.4066572532151, 503.80234987920653, 437.01876812273804, 391.4825357071379, 353.08338066668375, 368.1032539147102]",4813
non_saturating-n_epochs-100-epoch_step-10-lr-0.005-g_alpha-1-d_alpha-1,17,0.8,100,64,False,100,10,0.005,64,0.9,False,1.0,1.0,True,False,"[0.4839683531126379, 0.2214389815888879, 0.053389250765890364, 0.08219565152731924, 0.08301359269504179, 0.012640908955712203, 0.43666161030308437, 0.15523036197614587, 0.04485291930638589, 0.32188215698521755]","[10, 20, 30, 40, 50, 60, 70, 80, 90, 100]","[1711.960537375026, 1506.0761697861853, 1948.1977173403948, 1571.3430340867612, 1558.9757197835474, 2028.687409959551, 1708.3356406493572, 1780.518931292506, 1937.8519230778088, 1410.100019670127]",4827
non_saturating-n_epochs-100-epoch_step-10-lr-0.0005-g_alpha-1-d_alpha-1,11,0.8,100,64,False,100,10,0.0005,64,0.9,False,1.0,1.0,True,False,"[0.28911989530353055, 0.27414413610541033, 0.44500461021385446, 0.14693197703816066, 0.29545522143898156, 0.22972249486927812, 0.3747806430504744, 0.3938461080872074, 0.4606942089765325, 0.4995984652449362]","[10, 20, 30, 40, 50, 60, 70, 80, 90, 100]","[1515.2769965417433, 969.2837849004227, 689.4919363188417, 556.7421591146715, 472.13086371008103, 466.2472897745231, 445.280367386011, 381.89857645102416, 410.7362653658174, 375.2261359682807]",4702
non_saturating-n_epochs-100-epoch_step-10-lr-0.001-g_alpha-1-d_alpha-1,17,0.8,100,64,False,100,10,0.001,64,0.9,False,1.0,1.0,True,False,"[0.5392463043930876, 0.25814223253323815, 0.27218107730287616, 0.4218345676809137, 0.15274679515778827, 0.3191606436453407, 0.2677195800243895, 0.195993575443919, 0.44714612890752803, 0.4216709794473692]","[10, 20, 30, 40, 50, 60, 70, 80, 90, 100]","[1649.905148851061, 999.4159674626535, 654.2183020563423, 565.7349735636751, 491.806332362376, 467.1474902732839, 426.2446060253176, 426.05222446280004, 364.5874564484859, 452.2557834346783]",4706
non_saturating-n_epochs-100-epoch_step-10-lr-0.005-g_alpha-1-d_alpha-1,18,0.8,100,64,False,100,10,0.005,64,0.9,False,1.0,1.0,True,False,"[0.24279468189524406, 0.2728800452098391, 0.19165105142619196, 0.13336902531156122, 0.06848398322477023, 0.03407096755004313, 0.14861247434639066, 0.05332976413551054, 0.31927961690610035, 0.23372297076232118]","[10, 20, 30, 40, 50, 60, 70, 80, 90, 100]","[1678.923226237594, 1741.522521854502, 1731.9239652741626, 1470.5076138854129, 1774.530208735815, 1808.3533920404827, 1528.0659724149423, 1579.8971001529437, 1633.5796839530967, 1905.6507313184413]",4834
non_saturating-n_epochs-100-epoch_step-10-lr-0.005-g_alpha-1-d_alpha-1,16,0.8,100,64,False,100,10,0.005,64,0.9,False,1.0,1.0,True,False,"[0.11631123405014723, 0.41032390470241814, 0.06296659825704173, 0.20029148448886114, 0.0315725290740906, 0.12709318580648998, 0.07826953392225097, 0.17500966657743672, 0.2623360399750156, 0.11080872074001369]","[10, 20, 30, 40, 50, 60, 70, 80, 90, 100]","[1964.0103964707146, 1626.7373032285318, 1756.1245023336205, 1319.2810418642518, 1473.1571528484558, 1273.2718118361463, 1272.1689934128353, 1676.4756962886993, 1114.9705973137648, 1474.0553624753757]",4712
non_saturating-n_epochs-100-epoch_step-10-lr-0.001-g_alpha-1-d_alpha-1,18,0.8,100,64,False,100,10,0.001,64,0.9,False,1.0,1.0,True,False,"[0.35443621546057524, 0.1680199875078076, 0.2815650932452931, 0.2543499598465245, 0.20152583206924243, 0.17236251152553464, 0.4926236578329021, 0.16373695012046044, 0.18982183754201243, 0.13197108949763542]","[10, 20, 30, 40, 50, 60, 70, 80, 90, 100]","[1496.0828590100546, 1597.6523157251927, 786.9394293832261, 556.7655140078202, 508.48317315153236, 449.9313626025421, 380.27845083291936, 396.08304592798504, 367.11617224553856, 384.90881797529323]",4838
non_saturating-n_epochs-100-epoch_step-10-lr-0.005-g_alpha-1-d_alpha-1,20,0.8,100,64,False,100,10,0.005,64,0.9,False,1.0,1.0,True,False,"[0.05100978555069748, 0.0911037744266976, 0.17865322268820083, 0.13081110020522888, 0.336783557895363, 0.14550429790904496, 0.32857440290294754, 0.3727432259599655, 0.06582195651527319, 0.4639064870170429]","[10, 20, 30, 40, 50, 60, 70, 80, 90, 100]","[1540.8664117949797, 1485.142561782618, 1208.2872459053376, 1508.5409145767082, 1522.0920715981817, 1405.2175302145868, 1484.2731863469226, 1662.3598182582518, 1755.6039860038516, 1586.4979501127655]",4718
non_saturating-n_epochs-100-epoch_step-10-lr-0.005-g_alpha-1-d_alpha-1,14,0.8,100,64,False,100,10,0.005,64,0.9,False,1.0,1.0,True,False,"[0.2914844888611285, 0.29881621605544156, 0.30064542993962107, 0.17893578418250497, 0.14313970435144702, 0.1500698967906963, 0.09513399363493055, 0.31637964367508403, 0.2671693286933762, 0.4035424288391184]","[10, 20, 30, 40, 50, 60, 70, 80, 90, 100]","[1568.9617691028993, 1609.0000304566265, 1277.6223364107345, 1168.6170753379884, 1337.7354166914292, 1270.7376295434985, 1586.5399682377356, 1266.6824867983025, 1108.99765415943, 1339.711310665224]",4810
non_saturating-n_epochs-100-epoch_step-10-lr-0.01-g_alpha-1-d_alpha-1,15,0.8,100,64,False,100,10,0.01,64,0.9,False,1.0,1.0,True,False,"[0.20027661283126616, 0.40510395288658874, 0.11262306296659826, 0.034725320484221174, 0.3305969483358615, 0.08045566758870944, 0.43135242854168526, 0.060899437851342914, 0.12576960828053896, 0.35256238660361083]","[10, 20, 30, 40, 50, 60, 70, 80, 90, 100]","[1498.9517069745896, 1410.9071340809191, 1428.9130582474372, 1746.4498651723907, 1675.323260739644, 1944.2578858513284, 1628.3567225822565, 1546.1003038617196, 1435.9574800302626, 1592.2654855147402]",4729
non_saturating-n_epochs-100-epoch_step-10-lr-0.0001-g_alpha-1-d_alpha-1,13,0.8,100,64,False,100,10,0.0001,64,0.9,False,1.0,1.0,True,False,"[0.036881710835489724, 0.25280330745664914, 0.2663811308408435, 0.19743612623062967, 0.0925760685285982, 0.2803307456649118, 0.5, 0.1395258915558728, 0.23323220606168762, 0.2421105856458761]","[10, 20, 30, 40, 50, 60, 70, 80, 90, 100]","[1507.003838044651, 766.8193781782884, 499.03410171045334, 463.11442552671315, 418.1204018637518, 444.31796977735485, 1252.281730776388, 345.5470931664995, 381.55788287778955, 479.4230729433075]",4816
non_saturating-n_epochs-100-epoch_step-10-lr-0.0001-g_alpha-1-d_alpha-1,10,0.8,100,64,False,100,10,0.0001,64,0.9,False,1.0,1.0,True,False,"[0.26245501323577525, 0.11196871003242022, 0.18292138841795305, 0.15236013206031945, 0.20177865024835667, 0.39686505457898336, 0.3238006008149668, 0.2799886975402278, 0.285625055768716, 0.22106719014901402]","[10, 20, 30, 40, 50, 60, 70, 80, 90, 100]","[1404.7844118694813, 835.807321860445, 498.99544615447144, 444.1691655313839, 406.1502866699866, 386.91982497497133, 365.91506140621277, 353.16440157158036, 358.02217448802276, 324.27044867691075]",4858
non_saturating-n_epochs-100-epoch_step-10-lr-0.0001-g_alpha-1-d_alpha-1,12,0.8,100,64,False,100,10,0.0001,64,0.9,False,1.0,1.0,True,False,"[0.04668213319056542, 0.26409089557122034, 0.17423634038249902, 0.18539008357871567, 0.29172243538264775, 0.22106719014901402, 0.34368400701942237, 0.10740311115076887, 0.24028137176169656, 0.3321436007257369]","[10, 20, 30, 40, 50, 60, 70, 80, 90, 100]","[1581.7974835894197, 619.2133983406607, 498.9252142796295, 459.30480686266424, 379.23978516455145, 385.96854044206907, 369.1037996629477, 344.1089799870633, 369.6523581075994, 360.87628324037587]",4712
non_saturating-n_epochs-100-epoch_step-10-lr-0.01-g_alpha-1-d_alpha-1,17,0.8,100,64,False,100,10,0.01,64,0.9,False,1.0,1.0,True,False,"[0.40788495285684545, 0.3534249427441183, 0.21776568216293388, 0.20389042562684037, 0.22961839326611344, 0.37082478213021625, 0.04718776954879391, 0.2123375271407751, 0.18373932958567563, 0.2717795425478124]","[10, 20, 30, 40, 50, 60, 70, 80, 90, 100]","[1485.8162808345814, 1480.7006058652782, 1400.7567419045968, 1461.6940095651833, 1749.2120263674083, 1580.4951269846385, 1600.1714442767088, 1831.603124900133, 1219.2243250730448, 1430.4430650283814]",4864
