setting,seed,train_test_split,noise_dim,batch_size,save_images,n_epochs,epoch_step,lr,model_width,beta1,amp,d_alpha,g_alpha,non_saturating,ls_gan,errors,epochs,fid_scores,time
non_saturating-n_epochs-150-epoch_step-10-lr-0.0001-d_alpha-0.6-g_alpha-1.05,11,0.8,100,64,False,150,10,0.0001,64,0.9,False,0.6,1.05,True,False,"[0.12233425537610422, 0.14727402516284466, 0.3012997828737991, 0.2252163826180066, 0.30690639778709733, 0.22891942535915052, 0.24612593319651407, 0.2486987299604414, 0.37964367508402486, 0.27259748371553494, 0.22621278367686862, 0.2018678801939264, 0.2542607299009548, 0.26660420570476784, 0.28116355849022934]","[10, 20, 30, 40, 50, 60, 70, 80, 90, 100, 110, 120, 130, 140, 150]","[1461.168111415941, 803.5234004712015, 525.8417089234486, 491.08244999304566, 567.1274175191227, 401.40448856059766, 391.20091742124464, 569.4014134436343, 350.7687673161438, 365.4021862978807, 348.3580881016753, 443.07718919211675, 347.68237989983027, 436.32844522355936, 351.97286713864105]",7507
non_saturating-n_epochs-150-epoch_step-10-lr-0.0003-d_alpha-0.6-g_alpha-1.05,10,0.8,100,64,False,150,10,0.0003,64,0.9,False,0.6,1.05,True,False,"[0.0, 0.0, 7.435828797477767e-05, 1.4871657594955533e-05, 0.00011897326075964427, 0.00016358823354451087, 2.9743315189911066e-05, 2.9743315189911066e-05, 7.435828797477767e-05, 0.00010410160316468874, 4.46149727848666e-05, 4.46149727848666e-05, 0.00010410160316468874, 4.46149727848666e-05, 2.9743315189911066e-05]","[10, 20, 30, 40, 50, 60, 70, 80, 90, 100, 110, 120, 130, 140, 150]","[2370.0095063360454, 2370.2091319205906, 2370.2854501159377, 2370.26665462135, 2370.1910089820426, 2370.2166849000314, 2370.1727893888446, 2370.2302385138582, 2370.05265925083, 2370.0831599334715, 2370.5976818722106, 2370.152311086367, 2370.2754170927337, 2370.323628004584, 2370.0768631185333]",7610
non_saturating-n_epochs-150-epoch_step-10-lr-0.0005-d_alpha-0.6-g_alpha-1.2,11,0.8,100,64,False,150,10,0.0005,64,0.9,False,0.6,1.2,True,False,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[10, 20, 30, 40, 50, 60, 70, 80, 90, 100, 110, 120, 130, 140, 150]","[2284.0541704150532, 2284.5622388933944, 2285.763518314493, 2285.897662983781, 2284.7518963748716, 2285.123809878094, 2284.0876313376925, 2285.4729588610644, 2284.193782637105, 2283.872022905049, 2285.4307830604916, 2286.4270970575335, 2283.8844592450673, 2285.4705899744695, 2284.081317602088]",7362
non_saturating-n_epochs-150-epoch_step-10-lr-0.0003-d_alpha-0.6-g_alpha-1.2,11,0.8,100,64,False,150,10,0.0003,64,0.9,False,0.6,1.2,True,False,"[0.09333452306594094, 0.29127628565479907, 0.11689122869635049, 0.060051753368430445, 0.05310668927158621, 0.0633086463817257, 0.28149073495731836, 0.2669908688022367, 0.14545968293626008, 0.26536985812438657, 0.06192558222539484, 0.043633443383599535, 0.10420570476785343, 0.08744534665833854, 0.07798697242794682]","[10, 20, 30, 40, 50, 60, 70, 80, 90, 100, 110, 120, 130, 140, 150]","[2576.9354575684024, 2577.517951278642, 2578.732092846229, 2579.2218148692264, 2577.9143407898027, 2578.230784127786, 2576.9383529224788, 2578.221066447718, 2577.127750109543, 2576.508933361483, 2578.658195759487, 2579.197131235651, 2576.660450462963, 2578.546467321188, 2577.036561858136]",7462
non_saturating-n_epochs-150-epoch_step-10-lr-0.0002-d_alpha-0.6-g_alpha-1.2,11,0.8,100,64,False,150,10,0.0002,64,0.9,False,0.6,1.2,True,False,"[0.04025757710954463, 0.21309598167811783, 0.23135837720472324, 0.14843401445525117, 0.14995092352993664, 0.15432319086285357, 0.34755063799411084, 0.3412450551738497, 0.23135837720472324, 0.3501085631004432, 0.11766455489128819, 0.10585645876089349, 0.19031260224264596, 0.15755034056095893, 0.14299098777549746]","[10, 20, 30, 40, 50, 60, 70, 80, 90, 100, 110, 120, 130, 140, 150]","[2705.2443995929975, 2705.2641507628036, 2704.4621914360987, 2704.724039690955, 2704.6987482702457, 2704.780859815576, 2705.084831610685, 2705.083667114714, 2705.5106413006956, 2705.128843989246, 2704.100991831918, 2704.454673900747, 2705.734794376348, 2705.099484072513, 2705.211728616145]",7578
non_saturating-n_epochs-150-epoch_step-10-lr-0.0002-d_alpha-0.6-g_alpha-1.1,12,0.8,100,64,False,150,10,0.0002,64,0.9,False,0.6,1.1,True,False,"[0.4940067219892329, 0.48961958299872105, 0.4996133369025312, 0.49680259361708456, 0.4998661550816454, 0.4972338716873383, 0.49733797329050294, 0.49995538502721515, 0.49348621397340947, 0.4995687219297463, 0.49976205347848074, 0.49992564171202525, 0.48694268463162904, 0.4968472085898694, 0.4999405133696202]","[10, 20, 30, 40, 50, 60, 70, 80, 90, 100, 110, 120, 130, 140, 150]","[2579.4221816256804, 2580.2574536871757, 2578.5344829312457, 2578.229631259748, 2577.8086114565667, 2579.575129241679, 2583.867049155055, 2576.099251271503, 2578.986607856686, 2579.4498223197297, 2577.9977020593715, 2580.3913747349798, 2578.0795839040957, 2577.9646881152694, 2578.3179513061195]",7361
non_saturating-n_epochs-150-epoch_step-10-lr-0.0004-d_alpha-0.6-g_alpha-1.05,11,0.8,100,64,False,150,10,0.0004,64,0.9,False,0.6,1.05,True,False,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[10, 20, 30, 40, 50, 60, 70, 80, 90, 100, 110, 120, 130, 140, 150]","[2615.3523523389467, 2614.9758374670832, 2615.0317130625144, 2614.8524956211068, 2614.7045169066764, 2615.3410201783972, 2615.2481455721727, 2614.614045050262, 2615.3433533873745, 2615.147249604125, 2614.91928588579, 2614.5141249631088, 2615.9268604491176, 2614.5741141049098, 2614.90170600784]",7593
non_saturating-n_epochs-150-epoch_step-10-lr-0.0003-d_alpha-0.6-g_alpha-1.1,11,0.8,100,64,False,150,10,0.0003,64,0.9,False,0.6,1.1,True,False,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[10, 20, 30, 40, 50, 60, 70, 80, 90, 100, 110, 120, 130, 140, 150]","[2464.3170588272155, 2464.781270850293, 2465.1858660224375, 2465.45036525038, 2464.780226439095, 2465.222477489959, 2464.679010211447, 2465.0292463525075, 2464.6565924284055, 2464.4700530347754, 2465.2001061506016, 2465.206674102957, 2464.6002878741797, 2465.232092802242, 2464.593011297459]",7622
non_saturating-n_epochs-150-epoch_step-10-lr-0.0001-d_alpha-0.6-g_alpha-1.2,12,0.8,100,64,False,150,10,0.0001,64,0.9,False,0.6,1.2,True,False,"[2.9743315189911066e-05, 2.9743315189911066e-05, 2.9743315189911066e-05, 2.9743315189911066e-05, 1.4871657594955533e-05, 2.9743315189911066e-05, 2.9743315189911066e-05, 1.4871657594955533e-05, 2.9743315189911066e-05, 1.4871657594955533e-05, 1.4871657594955533e-05, 1.4871657594955533e-05, 2.9743315189911066e-05, 2.9743315189911066e-05, 1.4871657594955533e-05]","[10, 20, 30, 40, 50, 60, 70, 80, 90, 100, 110, 120, 130, 140, 150]","[2971.5147921425587, 2972.255992805289, 2972.8721001697227, 2971.5530042081605, 2971.90113745362, 2970.4292738338468, 2971.677943919567, 2972.112636589782, 2972.1399600611826, 2971.727342227336, 2971.877143467981, 2972.82142330787, 2972.001042549448, 2971.279248478706, 2971.738252422792]",7459
non_saturating-n_epochs-150-epoch_step-10-lr-0.0003-d_alpha-0.6-g_alpha-1.2,12,0.8,100,64,False,150,10,0.0003,64,0.9,False,0.6,1.2,True,False,"[0.32806876654471906, 0.39008357871568367, 0.43536777609232324, 0.2569227566104518, 0.19102644180720382, 0.2356562862496654, 0.2613098956009637, 0.2166503078433122, 0.20191249516671128, 0.09613039469379257, 0.2514351149579132, 0.40108860533595075, 0.16355849022932095, 0.2826358525921299, 0.19960738823949317]","[10, 20, 30, 40, 50, 60, 70, 80, 90, 100, 110, 120, 130, 140, 150]","[1580.8992169572978, 1844.71546242478, 898.0895213457284, 610.8764885564001, 589.7977890478419, 500.1572346008329, 615.8012825382566, 403.7706308170293, 569.0294097909682, 420.15178517857976, 441.85716071546494, 855.0004516208196, 367.74988867108414, 389.2975286670189, 371.66831371175385]",7351
non_saturating-n_epochs-150-epoch_step-10-lr-0.0001-d_alpha-0.6-g_alpha-1.1,12,0.8,100,64,False,150,10,0.0001,64,0.9,False,0.6,1.1,True,False,"[0.3723714345200916, 0.1572231640938699, 0.24670592784271736, 0.29935159572885994, 0.35247315665804113, 0.3202611463073674, 0.41518693673596857, 0.20750423842241456, 0.27701436602123675, 0.09071711132922876, 0.1051128758811457, 0.23442193866928407, 0.22624252699205855, 0.29851878290354245, 0.2569078849528568]","[10, 20, 30, 40, 50, 60, 70, 80, 90, 100, 110, 120, 130, 140, 150]","[1441.304515114844, 826.5313922797855, 593.7194443797412, 477.8878479545515, 669.4137842335222, 442.87797018086576, 426.18439614435965, 372.0672196167641, 380.21654738146776, 349.033546825445, 444.2692938138225, 367.01342580433334, 323.15367191426685, 335.2432849946624, 345.5049802363433]",7528
non_saturating-n_epochs-150-epoch_step-10-lr-0.0002-d_alpha-0.6-g_alpha-1.1,13,0.8,100,64,False,150,10,0.0002,64,0.9,False,0.6,1.1,True,False,"[0.140804854109039, 0.11248921804824366, 0.1260224264596532, 0.08594330924124803, 0.17152969870021711, 0.13854436215460575, 0.09901549626721394, 0.12040093988876, 0.15323755985842183, 0.12866958151155528, 0.13771154932928825, 0.07782338419440231, 0.10902412182861902, 0.09993753903810118, 0.11027334106659528]","[10, 20, 30, 40, 50, 60, 70, 80, 90, 100, 110, 120, 130, 140, 150]","[2718.6184493778533, 2717.2463558823856, 2717.261323021352, 2718.093319770703, 2718.0068171465364, 2717.1485169121943, 2718.6391764592154, 2716.5673720253735, 2718.688191556334, 2717.3997339238213, 2717.2749550312888, 2717.878985881444, 2717.066629860634, 2717.118570603958, 2718.8228293320935]",7295
non_saturating-n_epochs-150-epoch_step-10-lr-0.0004-d_alpha-0.6-g_alpha-1.05,12,0.8,100,64,False,150,10,0.0004,64,0.9,False,0.6,1.05,True,False,"[0.00020820320632937748, 0.000223074863924333, 0.00020820320632937748, 0.00023794652151928853, 0.00020820320632937748, 0.00020820320632937748, 0.00020820320632937748, 0.00019333154873442195, 0.00020820320632937748, 0.00020820320632937748, 0.00020820320632937748, 0.00020820320632937748, 0.00023794652151928853, 0.000223074863924333, 0.00019333154873442195]","[10, 20, 30, 40, 50, 60, 70, 80, 90, 100, 110, 120, 130, 140, 150]","[2557.542398085196, 2557.005052817501, 2556.63007893719, 2557.530449653912, 2556.575698686011, 2557.352829923848, 2557.9403991894133, 2557.1128761522587, 2556.6279901436087, 2556.675734901342, 2557.323650733806, 2557.457221322733, 2556.771491101886, 2556.5501191142216, 2556.8980388505947]",7627
